place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,11733834,이화이트치과의원,112,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,서대문역치과 서대문구임플란트 독립문역틀니 구강검진 사랑니무통마취,,0.33134,0.245212,0.33222,,0,-,-,,-,-,-
2,19523151,윤선치과의원,6,126,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.219533,0.330265,,0,-,-,,-,-,-
3,31357697,바른이치과교정과치과의원 서대문점,2,118,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.135185,0.323899,,0,-,-,,-,-,-
4,986626094,미유치과의원,15,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,경희궁자이_치과 서대문역_치과 독립문역_치과 광화문_치과 영유아구강검진,,0.33134,0.222264,0.141809,,0,-,-,,-,-,-
5,38767151,소중한이치과의원,2,106,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,턱관절치과 잇몸치료 임플란트 심미보철 신경치료,,0.33134,0.199028,0.140055,,0,-,-,,-,-,-
6,1687170077,신세계치과의원,11,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,치과 경희궁자이 영천시장 독립문 서대문,,0.33134,0.197796,0.139962,,0,-,-,,-,-,-
7,19866694,바른서울치과의원,7,153,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,서대문역치과 임플란트 충치치료 치주치료 심미보철,,0.33134,0.193082,0.139606,,0,-,-,,-,-,-
8,19524846,김성철치과의원,1,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.191837,0.139495,,0,-,-,,-,-,-
9,11486092,서울연치과의원,6,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.187626,0.139177,,0,-,-,,-,-,-
10,36432281,사람사랑치과의원 서대문점,73,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 치아교정 치과 충치 사랑니,,0.33134,0.183532,0.138886,,0,-,-,,-,-,-
11,19524409,김선욱치과의원,2,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.182472,0.138788,,0,-,-,,-,-,-
12,11670756,서울리더스치과의원 광화문점,7,89,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.178025,0.138453,,0,-,-,,-,-,-
13,19531507,평화로운치과의원,5,212,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,평화로운치과 임플란트치과 광화문치과 경복궁치과 심미치료,,0.33134,0.172395,0.138045,,0,-,-,,-,-,-
14,37278725,향기로운서울훈치과의원,2,109,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,훈치과 임플란트 치과진료 사랑니발치 치과,,0.33134,0.172005,0.138016,,0,-,-,,-,-,-
15,13013542,백상치과의원,3,115,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.171156,0.137934,,0,-,-,,-,-,-
16,11523837,프리미어중앙치과의원,378,446,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,시청역치아교정 시청역교정치과 시청역임플란트 서대문역임플란트치과 서울시청역치과,,0.33134,0.167747,0.137694,,0,-,-,,-,-,-
17,1084815482,충정로예치과의원,10,137,치과,건강의료>병원>병원의원>치과>예치과,4.37,,충정로역_치과 충정로_투명교정 충정로_소아치과 충정로임플란트 충정로충치치료,,0.33134,0.164583,0.137455,,0,-,-,,-,-,-
18,36373512,연세미담치과의원,0,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,충정로치과 중림동치과 임플란트 치의학박사 치주과전문의,,0.33134,0.16186,0.13725,,0,-,-,,-,-,-
19,36477415,미치과의원,0,112,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.155277,0.136736,,0,-,-,,-,-,-
