place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21868775,미플란트치과의원 전주,2334,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,전주치과 전주임플란트치과 매복사랑니발치치과 전주라미네이트 치아미백스케일링,,0.33134,0.491904,0.350838,,0,-,-,,-,-,-
2,1562191676,그랜드치과의원 전주,2798,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,전주치과 전주무삭제라미네이트 뼈이식3D네비게이션임플란트 사랑니발치틀니보철치료 앞니치아미백,,0.33134,0.474011,0.349488,,0,-,-,,-,-,-
3,1745271578,전주365치과의원,1684,738,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주완산구치과 전주임플란트치과 전주충치치료치과 전주완산구임플란트치과,,0.33134,0.472211,0.349352,,0,-,-,,-,-,-
4,1390412461,전주이든치과의원,2255,89,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 전주임플란트치과 전주이든치과 전주야간치과,,0.33134,0.464575,0.348776,,0,-,-,,-,-,-
5,36177594,보가치과의원 전주,3155,968,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,전주치과 전주임플란트치과 전주턱관절치과 전주어린이치과 전주완산구치과,,0.33134,0.441711,0.34705,,0,-,-,,-,-,-
6,38296571,열정치과의원 전주,2622,633,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,전주임플란트 전주신시가지치과 전주치과 전주수면임플란트 전주사랑니,,0.33134,0.424442,0.345747,,0,-,-,,-,-,-
7,1183448321,링크치과의원,3258,90,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 임플란트 완산구치과 완산구보철치료,,0.33134,0.417756,0.345242,,0,-,-,,-,-,-
8,13265587,미소심는치과의원,2201,615,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,전주치과 전주효자동치과 전주임플란트치과 전주신시가지치과 전주사랑니,,0.33134,0.41474,0.345014,,0,-,-,,-,-,-
9,32233012,예일치과의원,1306,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,전주치과 전주효자동치과 전주임플란트 전주신시가지치과 전주임플란트치과,,0.33134,0.368441,0.34152,,0,-,-,,-,-,-
10,36477492,유디전주효자치과의원,508,231,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,임플란트 충치치료 스케일링 전주치과 전주효자동치과,,0.33134,0.333203,0.338861,,0,-,-,,-,-,-
11,1742521817,올곧바른치과의원,280,127,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,전주사랑니 전주임플란트 효천치과 전주효자동치과 효천지구치과,,0.33134,0.322258,0.338035,,0,-,-,,-,-,-
12,1128154673,더미소치과교정과치과의원,984,405,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,전주치아교정 전주교정치과 전주교정 전주치과 효자동교정치과,,0.33134,0.307562,0.336925,,0,-,-,,-,-,-
13,419686418,서울바른치과교정과치과의원,296,346,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,소아교정 전주교정치과 전주치아교정 전주치과 전주교정전문,,0.33134,0.30348,0.336617,,0,-,-,,-,-,-
14,13057501,사람사랑치과의원 전주점,180,574,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,임플란트 충치치료 어린이치과 사랑니 신경치료,,0.33134,0.298866,0.336269,,0,-,-,,-,-,-
15,37485868,바르다김인주치과의원,59,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,전주치과 전주임플란트 전주틀니 전주사랑니발치 전주효자동치과,,0.33134,0.289013,0.335526,,0,-,-,,-,-,-
16,20650206,노블리안치과의원,1248,344,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,중화산동치과 전주치과 전주치과야간진료 완산구치과 전주임플란트,,0.33134,0.285815,0.335284,,0,-,-,,-,-,-
17,1473460784,온가족치과의원,29,903,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,전주치과 전주임플란트 전주어린이치과 치주과전문의 소아치과전문의,,0.33134,0.28275,0.335053,,0,-,-,,-,-,-
18,31599737,모던치과의원,9,392,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,임플란트 소아치과전문의 영유아구강검진 치아교정 턱교정,,0.33134,0.282108,0.335004,,0,-,-,,-,-,-
19,13265513,이튼튼구강악안면외과치과의원,75,331,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,전주사랑니 사랑니발치 전주구강외과 사랑니당일발치,,0.331294,0.279121,0.334762,,0,-,-,,-,-,-
20,13266121,고운미소치과의원,32,279,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,전주성인교정 전주턱교정 전주양악수술교정 전주부분교정 전주인비절라인,,0.331294,0.274766,0.334433,,0,-,-,,-,-,-
21,31480703,오승환힐링치과의원,12,147,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,양악수술 임플란트 전악임플란트 네비게이션임플란트 골이식,,0.331294,0.273651,0.334349,,0,-,-,,-,-,-
22,11531359,홍성준치과교정과치과의원,89,348,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주교정 전주교정치과 전주치아교정 전주부정교합 전주주걱턱,,0.33134,0.272659,0.334291,,0,-,-,,-,-,-
23,1042297107,바른누리치과의원,166,375,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 전주어린이치과 소아치과전문의 전주사랑니,,0.33134,0.269761,0.334073,,0,-,-,,-,-,-
