place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1353733577,더행복한치과의원,504,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,용산역치과 신용산역치과 용산치과 신용산치과 용산역임플란트,,0.33134,0.276156,0.370782,,0,-,-,,-,-,-
2,13476991,연세리더스치과의원 숙대점,456,439,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,숙대치과 숙대역치과 숙대역교정치과 교정전문의 용산구치과,,0.33134,0.265998,0.370015,,0,-,-,,-,-,-
3,31849449,엠치과의원,14,200,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.254234,0.36911,,0,-,-,,-,-,-
4,19529976,키즈앤쥬니어치과의원,4,155,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,소아치과 어린이치과 영유아구강검진,,0.33134,0.250625,0.368855,,0,-,-,,-,-,-
5,35629741,연세행복치과의원,34,139,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 틀니 충치치료 임플란트 사랑니,,0.33134,0.233643,0.367573,,0,-,-,,-,-,-
6,32358576,인터서울치과의원,1487,418,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,신용산치과 신용산역치과 외국인치과 용산치과 용산임플란트,,0.33134,0.23256,0.367491,,0,-,-,,-,-,-
7,1303469279,닥터고치과의원,0,233,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,숙대입구치과 사랑니발치 용산구치과 닥터고치과 임플란트,,0.33134,0.231517,0.367413,,0,-,-,,-,-,-
8,12980810,샘치과의원,201,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,치과수면마취 수면임플란트 수면사랑니발치 치아교정 치과공포증,,0.33134,0.231163,0.367386,,0,-,-,,-,-,-
9,19532240,연세치과의원,4,89,치과,건강의료>병원>병원의원>치과>치과-일반,3.91,,,,0.331294,0.229455,0.36724,,0,-,-,,-,-,-
10,729642057,연세바른생각치과의원,9,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,숙대입구역치과 남영역치과 숙대치과 서울역치과 용산치과,,0.33134,0.227702,0.367125,,0,-,-,,-,-,-
11,13526060,더블유스타일치과의원 용산,82,302,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 교정 사랑니 소아치과 심미보철,,0.33134,0.224999,0.366921,,0,-,-,,-,-,-
12,1815683189,BFO교정치과의원,502,131,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,치아교정 용산교정치과 교정치과 용산치아교정 BFO교정치과,,0.33134,0.222582,0.366738,,0,-,-,,-,-,-
13,13391105,연세휴치과의원 동부이촌점,365,708,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,이촌동치과 이촌치과 이촌역치과 이촌치아교정 이촌임플란트,,0.33134,0.216785,0.366301,,0,-,-,,-,-,-
14,13017592,시카고치과의원,15,106,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,한남동치과 야간진료 용산구치과 임플란트 교정치과,,0.33134,0.21266,0.36599,,0,-,-,,-,-,-
15,498479660,서울미소치과의원,2,99,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 서울미소 신경치료 임플란트,,0.33134,0.21199,0.365939,,0,-,-,,-,-,-
16,19524916,청파치과의원,3,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.206894,0.365537,,0,-,-,,-,-,-
17,11539753,브라이트치과의원,12,70,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,한남동치과 치아미백 임플란트 인비절라인 라미네이트,,0.33134,0.206643,0.365535,,0,-,-,,-,-,-
18,19534287,굿모닝치과의원,3,188,치과,건강의료>병원>병원의원>치과>치과-일반,4.12,,,,0.331294,0.205841,0.365458,,0,-,-,,-,-,-
19,31557923,유디남영치과의원,2,281,치과,건강의료>병원>병원의원>치과>유디치과,4.26,,유디치과 충치치료 임플란트 치과,,0.33134,0.201964,0.365182,,0,-,-,,-,-,-
20,1250640431,슈어플란트치과의원,6,88,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이촌동치과 이촌동임플란트 이촌역치과 이촌역임플란트 용산임플란트,,0.33134,0.200442,0.365067,,0,-,-,,-,-,-
21,13151375,서울휴치과의원,3,163,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,후암동치과 숙대입구치과 해방촌치과 서울휴치과 휴치과,,0.33134,0.199364,0.364986,,0,-,-,,-,-,-
22,11723767,연치과의원,5,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.19723,0.364808,,0,-,-,,-,-,-
23,31683332,서울유엔치과의원,45,194,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,한남동치과 임플란트 충치치료 인비절라인 교정치과,,0.33134,0.195946,0.364728,,0,-,-,,-,-,-
24,1694900051,글로벌치과의원,4,172,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,이태원치과 녹사평치과 외국인치과 이태원임플란트 용산치과,,0.33134,0.193601,0.364551,,0,-,-,,-,-,-
25,19531731,참좋은치과의원,83,181,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,임플란트 덴쳐 심미보철 사랑니발치 자가골이식술,,0.331294,0.19325,0.364507,,0,-,-,,-,-,-
26,19530106,세라세진치과의원,2,72,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.192061,0.364418,,0,-,-,,-,-,-
27,11626139,연세밝은미소치과의원,7,175,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,용산치과 용산역치과 아이파크몰치과 이촌동치과 삼각지치과,,0.33134,0.185759,0.363959,,0,-,-,,-,-,-
28,154970385,서울일미치과의원,15,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,보철 보존 임플란트 민생회복쿠폰,,0.331294,0.185384,0.363914,,0,-,-,,-,-,-
29,18733623,힐탑치과의원,1,105,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.185331,0.36391,,0,-,-,,-,-,-
30,11541858,나비드치과의원,9,130,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.184057,0.363814,,0,-,-,,-,-,-
31,19524682,한마음치과의원,3,349,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,스켈링 용산구치과 서울역치과 서계동치과 임플란트,,0.33134,0.183557,0.363793,,0,-,-,,-,-,-
32,1281940499,서울하우치과의원,133,152,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용산구치과 후암동치과 용산치과 숙대입구치과 서울역치과,,0.33134,0.181815,0.363662,,0,-,-,,-,-,-
33,19526691,서울이촌치과의원,1,73,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,이촌동치과 서울대치과 용산구치과,,0.33134,0.180493,0.363562,,0,-,-,,-,-,-
34,1762207512,서울엠치과의원,9,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,서울대전문의 임플란트 심미보철 치아미백 숙대입구치과,,0.33134,0.180218,0.363541,,0,-,-,,-,-,-
35,35483514,효창치과의원,2,144,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.179198,0.363447,,0,-,-,,-,-,-
36,19530498,보스톤치과의원,4,56,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,이촌역치과 이촌동치과 용산구치과 공단구강검진 영유아구강검진,,0.33134,0.1785,0.363411,,0,-,-,,-,-,-
37,19520076,서울역예치과의원,22,285,치과,건강의료>병원>병원의원>치과>예치과,0.0,,서울역치과 용산구치과 임플란트 사랑니발치 치아교정,,0.33134,0.176834,0.363286,,0,-,-,,-,-,-
38,12867124,성대혁치과의원,1539,478,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,임플란트 당일매복사랑니발치 충치치료 치아교정 구강악안면치의학박사치과,,0.33134,0.17548,0.363183,,0,-,-,,-,-,-
39,1411002013,홍치과의원,225,214,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,라미네이트 이태원라미네이트 한남동라미네이트 옥수동치과 한남동치과,,0.33134,0.17353,0.363036,,0,-,-,,-,-,-
40,31222161,이엔치과의원,3,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.171934,0.362899,,0,-,-,,-,-,-
41,19516937,윤치과의원,1,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,치과 임플란트 잇몸치료 신경치료 충치치료,,0.33134,0.171518,0.362884,,0,-,-,,-,-,-
42,10998930,한진서울치과의원,2,114,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,,,0.331294,0.170678,0.362804,,0,-,-,,-,-,-
43,1922035104,연세휴치과보철과치과의원,89,54,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,이촌동치과 동부이촌동치과 이촌충치치료 이촌임플란트 이촌틀니,,0.33134,0.169364,0.362722,,0,-,-,,-,-,-
44,13562271,서울준치과의원,1,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 틀니 보험진료 소아진료 치아교정,,0.331294,0.168792,0.362661,,0,-,-,,-,-,-
45,1864886626,닥터오르치과의원,1,27,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 구강검진 신경치료 충치치료 심미보철,,0.331294,0.168101,0.362609,,0,-,-,,-,-,-
46,19524426,세명치과의원,1,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,,,0.331294,0.165283,0.362397,,0,-,-,,-,-,-
47,1531605665,함께하는치과의원,3,51,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,레진치료 보철치료 임플란트 보험임플란트 치주치료,,0.331294,0.164662,0.36235,,0,-,-,,-,-,-
