place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,20367709,용인치과의원,2143,585,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,용인미니쉬치과 매복사랑니발치 임플란트염증재수술 앞니무삭제라미네이트 충치신경잇몸치료,,0.33134,0.470923,0.403594,,3.0,181.0,7.0,,0.019447,0.046598,0.013874
2,1432309247,편한미소치과의원,2102,764,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,처인구치과 용인임플란트 김량장동사랑니 보철과전문의 치아교정,,0.33134,0.450699,0.402068,,3.0,354.0,7.0,,0.019447,0.02694,0.012391
3,2056524469,연세온아치과병원,788,188,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 기흥구사랑니발치 신갈역전악임플란트 마북동구강검진 구성역임플란트,,0.33134,0.438573,0.401153,,0.0,150.0,49.0,,0.019447,0.010703,0.011166
4,1418944304,인플란트치과의원,1412,132,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 용인임플란트 용인사랑니 용인충치치료 턱관절질환,,0.33134,0.433452,0.400766,,0.0,115.0,2.0,,0.019447,-0.005935,0.009909
5,1241216570,연세강남그랜드치과의원,434,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,처인구치과 역북동치과 용인임플란트 용인교정치과 처인구교정치과,,0.33134,0.433115,0.400741,Hot,10.0,55.0,-1.0,,0.019447,0.080278,0.016416
6,1825966018,화이트이치과의원 용인,2835,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 치과 용인임플란트 처인구치과 임플란트,,0.33134,0.43117,0.400594,,0.0,411.0,0.0,,0.019447,0.006039,0.010813
7,1179408072,다인아트치과의원,2368,300,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 광교치과 광교임플란트 소아치과진료 용인임플란트,,0.33134,0.420416,0.399782,,0.0,238.0,-2.0,,0.019447,0.005602,0.01078
8,1737201378,용인스마트치과의원,1797,1159,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,용인임플란트 용인치아교정 용인사랑니 수면임플란트 용인치과,,0.33134,0.420346,0.399777,,1.0,170.0,18.0,,0.019447,0.021838,0.012006
9,1512280565,서울하늘플란트치과의원,3295,52,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포곡치과 포곡임플란트 처인구치과 서울하늘플란트치과 용인둔전치과,,0.33134,0.418026,0.399602,,0.0,404.0,9.0,,0.019447,0.008589,0.011006
10,1410819144,THE웃는치과의원,1614,393,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,처인구치과 역북동치과 용인치과 용인임플란트 역북치과,,0.33134,0.417801,0.399585,,0.0,214.0,1.0,,0.019447,0.010946,0.011184
11,1917265497,서울감동치과의원,361,437,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포곡임플란트 포곡사랑니 둔전임플란트 잇몸치료 신경치료,,0.331294,0.391631,0.397593,Hot,20.0,178.0,37.0,,0.019447,0.121078,0.019496
12,1407215695,서울닥터유치과의원 용인본점,1048,416,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인임플란트치과 죽전치과 임플란트 치아교정 보정동치과,,0.33134,0.385767,0.397167,,0.0,57.0,3.0,,0.019447,0.0052,0.01075
13,13443792,연세미소라인치과교정치과의원,1353,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,용인교정치과 용인치과 용인교정진단 치아교정진단 용인치아교정,,0.33134,0.382987,0.396958,,1.0,120.0,0.0,,0.019447,0.020628,0.011915
14,1181181602,에버플란트치과의원,1154,235,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,처인구치과 처인구임플란트 김량장동매복사랑니발치 틀니보철심미치료,,0.33134,0.379624,0.396704,,0.0,317.0,0.0,,0.019447,0.010456,0.011147
15,1386962753,수지플란트치과의원,1149,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수지치과 용인치과 죽전역치과 죽전동치과 죽전역임플란트,,0.33134,0.371504,0.396091,,0.0,78.0,6.0,,0.019447,-0.007842,0.009766
16,13456041,보스톤서울치과의원,666,1383,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,임플란트 용인치과 수지치과 성복동치과 성복역치과,,0.33134,0.348772,0.394375,,1.0,35.0,8.0,,0.019447,0.006992,0.010885
17,1000570235,용인선플란트치과의원,853,374,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인선플란트치과 용인시장라미네이트 용인사거리크라운치료 용인터미널충치검진 김량장동수면임플란트,,0.33134,0.343147,0.393951,,2.0,60.0,21.0,,0.019447,0.016078,0.011571
18,1681390413,고릴라치과의원,310,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 사랑니 용인치과 역북동치과,,0.33134,0.341233,0.393806,,0.0,4.0,5.0,,0.019447,-0.002403,0.010176
19,2098103809,용인터미널퍼스트치과의원,668,228,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,용인치과 용인임플란트 용인라미네이트 용인터미널치과 처인구치과,,0.33134,0.33925,0.393657,,0.0,123.0,58.0,,0.019447,0.008772,0.01102
