place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1467192956,큰치과병원,404,1654,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,울산북구치과 임플란트 치아교정 심미보철 충치치료,,0.33134,0.338189,0.339237,,0,-,-,,-,-,-
2,32812493,아이샘치과의원,27,672,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,울산어린이치과 울산소아치과 울산북구어린이치과 울산북구소아치과 울산치과,,0.33134,0.334014,0.338922,,0,-,-,,-,-,-
3,1341773258,송정봄소아치과의원,238,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산소아치과 울산어린이치과 울산영유아구강검진 북구진정치료 송정동충치치료,,0.33134,0.310098,0.337117,,0,-,-,,-,-,-
4,1825557966,라인치과교정과치과의원,584,557,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산치아교정 울산교정치과 울산인비절라인 울산북구치과 울산북구교정,,0.33134,0.278175,0.334708,,0,-,-,,-,-,-
5,13253166,준치과의원,7,281,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.259178,0.333257,,0,-,-,,-,-,-
6,1726720040,채움치과의원,2,156,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,치과 충치 임플란트 소아치과 양심진료,,0.33134,0.248747,0.332487,,0,-,-,,-,-,-
7,13253181,밝은이치과의원,121,212,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,울산치과 울산북구치과 울산화봉동치과 울산송정치과 울산임플란트,,0.33134,0.248681,0.332482,,0,-,-,,-,-,-
8,1583308797,이바른치과교정과치과의원 울산북구송정점,101,178,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,울산북구교정치과 교정유지장치수리 어린이교정프리올소 자동차교통사고보험처리 투명교정인비절라인,,0.33134,0.247066,0.33236,,0,-,-,,-,-,-
9,1144921720,희망찬치과의원,177,286,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산송정치과 울산임플란트 울산북구치과 울산북구송정치과 울산충치치료,,0.33134,0.246543,0.33232,,0,-,-,,-,-,-
10,20725313,서울수치과의원,1,326,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,울산치과,,0.33134,0.243728,0.332108,,0,-,-,,-,-,-
