place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1773195152,비타민치과의원,880,327,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트치과 태화동치과 울산임플란트 울산중구치과 울산중앙동치과,,0.33134,0.304673,0.372934,,0,-,-,,-,-,-
2,1494222637,치카치카소아치과의원,35,510,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,치카치카소아치과 울산소아치과 울산어린이치과 울산중구소아치과 울산중구어린이치과,,0.33134,0.272888,0.370535,,0,-,-,,-,-,-
3,13252338,산정치과의원,6,441,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.26068,0.369596,,0,-,-,,-,-,-
4,1883667906,스마일플러스 치과의원,19,740,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산중구치과 울산성남동치과 울산임플란트 울산충치치료 울산사랑니스케일링,,0.33134,0.244001,0.368355,,0,-,-,,-,-,-
5,13253241,학성연세치과의원,4,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.242511,0.368225,,0,-,-,,-,-,-
6,1977996101,로원치과의원,224,377,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,울산임플란트치과 울산치과 울산임플란트 울산틀니치과 울산일요일치과,,0.33134,0.23935,0.368004,,0,-,-,,-,-,-
7,1032953259,울산스마트치과의원,160,125,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,울산중구치과 울산임플란트 울산신경치료 병영치과 울산틀니,,0.33134,0.238427,0.367934,,0,-,-,,-,-,-
8,36932107,참잘하는치과의원,3,135,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,임플란트 신경치료 야간진료 잇몸치료 사랑니발치,,0.331294,0.228673,0.367181,,0,-,-,,-,-,-
9,13252339,태화서울치과의원,145,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,전체임플란트 보험틀니 사랑니발치 턱관절치료 잇몸치료,,0.331294,0.226948,0.367051,,0,-,-,,-,-,-
10,16337187,허브치과의원,112,230,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 시린이치료 사랑니발치 스케일링,,0.331294,0.225077,0.366909,,0,-,-,,-,-,-
11,13253220,연합치과의원,4,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.223392,0.366782,,0,-,-,,-,-,-
12,1876774168,유디우정치과의원,23,217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,유디치과 우정동치과 울산유디치과 임플란트 유디치과우정점,,0.33134,0.220536,0.366584,,0,-,-,,-,-,-
