place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1221660137,오늘의치과의원,2969,670,치과,건강의료>병원>병원의원>치과>치과-일반,4.98,,부천임플란트치과 부천수면마취치과 라미네이트 부천치아교정치과 부천교정전문의,,0.33134,0.513303,0.36151,,0.0,351.0,11.0,,0.019447,0.020248,0.008867
2,1362516303,연세하이브치과의원 부천,2980,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,부천치과 부천심곡동치과 부천원미구치과 부천역치과 부천임플란트,,0.33134,0.464119,0.357798,,1.0,97.0,1.0,,0.019447,-0.010275,0.006564
3,19524204,서울리더스치과의원,2970,1140,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,임플란트 치아교정 턱관절 치과보존과 신중동치과,,0.33134,0.459895,0.357479,,0.0,6.0,0.0,,0.019447,-0.020456,0.005795
4,1440766467,더센트럴치과의원,1582,65,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치아교정 상동사랑니발치 부천시청임플란트 부천중동치과 민생회복소비쿠폰사용처,,0.33134,0.458576,0.357379,,3.0,150.0,0.0,,0.019447,0.023666,0.009124
5,33787028,365봄치과의원,3160,836,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 춘의역임플란트 부천역충치치료 부천치아교정 사랑니발치,,0.33134,0.440727,0.356032,,0.0,151.0,4.0,,0.019447,-0.016486,0.006094
6,1022270310,연세365치과의원 부천상동,1481,892,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,상동치과 부천치과 부천교정치과 부천임플란트 부천치아교정,,0.33134,0.439594,0.355947,Hot,16.0,197.0,5.0,,0.019447,0.071102,0.012705
7,1113119661,상상플란트치과의원,1548,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 틀니보철심미치료 원미구사랑니발치 턱관절치료치과,,0.33134,0.434674,0.355575,,0.0,119.0,2.0,,0.019447,-0.000298,0.007316
8,482436895,부천청담네오플란트치과의원,2517,590,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,부천임플란트 부천교정치과 사랑니발치 부천중동치과 치아교정,,0.33134,0.430978,0.355297,,0.0,461.0,3.0,,0.019447,-0.00684,0.006823
9,41921887,상동21세기치과의원,1636,1333,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,구강외과 산재보험 턱관절 기공실 틀니수리,,0.331294,0.430236,0.355223,,0.0,48.0,0.0,,0.019447,-0.002535,0.007147
10,1656398876,연세바로치과교정과치과의원 부천점,1772,360,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치아교정 상동교정치과 중동교정치과 상동치아교정 부천교정치과,,0.33134,0.42917,0.35516,Hot,14.0,231.0,9.0,,0.019447,0.067804,0.012456
11,1702221995,이보다치과의원 부천본원,887,232,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천중동치과 부천치아미백 신중동역치과 부천임플란트치과 부천사랑니치과,,0.33134,0.427687,0.355048,,3.0,197.0,5.0,,0.019447,0.02225,0.009018
12,34857027,연세퍼스트치과의원,2305,1244,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,부천교정치과 임플란트 라미네이트 부천치과 스케일링,,0.33134,0.424859,0.354835,,0.0,186.0,7.0,,0.019447,0.001261,0.007434
13,1391321974,에센스치과의원 부천신중동,2460,412,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 신중동치과 부천임플란트 부천치아교정 부천에센스치과,,0.33134,0.422452,0.354653,,0.0,264.0,3.0,,0.019447,0.012853,0.008309
14,1819849498,1미리치과의원 신중동역,1585,596,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신중동치과신경치료 부천중동치과틀니 구강내과라미네이트심미보철 턱관절통증야간진료 일미리치아미백앞니레진,,0.33134,0.398593,0.352852,,3.0,113.0,10.0,,0.019447,0.013474,0.008355
15,1089988808,서울파트너치과의원 부천,672,212,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,역곡치과 부천임플란트치과 치아미백투명교정 원미구사랑니발치 역곡역라미네이트,,0.33134,0.395655,0.352631,,0.0,127.0,1.0,,0.019447,-0.014823,0.00622
16,1147819344,서울이로운치과의원 부천,2512,244,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천치과 부천뼈이식임플란트치과 틀니보철심미치료 매복사랑니발치치과 치아미백,,0.33134,0.395482,0.352618,,0.0,74.0,0.0,,0.019447,-0.012292,0.006411
17,1318993676,상동우수치과의원,123,193,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상동역임플란트 상동역치아미백 상동역치과 상동치과 상동사랑니,,0.33134,0.390773,0.352262,,0.0,28.0,13.0,,0.019447,0.002559,0.007532
18,1133912663,친절한호치과의원,2679,299,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,임플란트 사랑니 턱관절 심미보철 충치치료,,0.331294,0.388394,0.352065,,0.0,57.0,0.0,,0.019447,-0.00502,0.00696
19,2001627784,부천닥터스치과의원,896,100,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부천임플란트치과 신중동치과 임플란트부천중동치과 부천치아교정치과 부천치과,,0.33134,0.383872,0.351741,,1.0,115.0,6.0,,0.019447,0.010046,0.008097
20,19497049,부천정플란트치과의원,2178,2731,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,부천치과 부천역치과 부천임플란트 부천충치치료 부천신경치료,,0.33134,0.377284,0.351244,,0.0,402.0,1.0,,0.019447,-0.004843,0.006973
21,1500354199,부천그랜드치과의원 부천시청역,1974,677,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,부천교정치과병원 신중동사랑니발치 부천시청역턱관절 중동임플란트전문치과 부천치과야간진료,,0.33134,0.367133,0.350478,,0.0,8.0,4.0,,0.019447,-0.006448,0.006852
