place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,764221150,서울매일치과병원,1988,1683,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 치아교정 임플란트 의식하진정법 라미네이트,,0.33134,0.432082,0.442193,,0.0,91.0,1.0,,0.019447,0.001636,0.006458
2,1366448715,중앙플란트치과의원 원주,1431,135,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 임플란트 구강검진 보철치료 평원동치과,,0.33134,0.426904,0.441802,,3.0,0.0,1.0,,0.019447,0.024824,0.008208
3,1551788910,서울수려한치과의원,450,61,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주치과 치주과전문의 원주임플란트치과 원주잇몸치료 치주치료,,0.33134,0.424175,0.441596,,0.0,56.0,3.0,,0.019447,-0.000685,0.006282
4,30947989,28지킴이치과의원,1300,943,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,충치치료 사랑니발치 임플란트 신경치료 치아미백,,0.331294,0.411023,0.440586,,0.0,47.0,10.0,,0.019447,-0.002238,0.006165
5,1792365191,치과명작치과의원,697,494,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면디지털네비게이션임플란트 현미경진료 일요일치과 치과보존과전문의 충치신경보존치료,,0.33134,0.409498,0.440488,,2.0,83.0,0.0,,0.019447,0.03414,0.00891
6,33238523,원주유디치과의원,1151,235,치과,건강의료>병원>병원의원>치과>유디치과,4.27,,임플란트 원주치과 원주단계동치과 원주시 단계동충치,,0.33134,0.396856,0.439534,,0.0,261.0,0.0,,0.019447,-0.009108,0.005647
7,190972778,삼성서울치과의원,1178,596,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,충치치료 구강악안면외과전문의 임플란트전문치과 원주치과 수평매복사랑니당일발치,,0.33134,0.386875,0.438781,,0.0,70.0,23.0,,0.019447,-0.005322,0.005933
8,1719475426,서울니어치과의원 원주,414,409,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,기업도시치과 원주수면치과치료 원주수면임플란트 원주수면마취 원주치과,,0.33134,0.348669,0.435897,,0.0,16.0,1.0,,0.019447,0.002717,0.006539
9,36408885,치과의정석치과의원,700,779,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 심미보철 충치치료,,0.331294,0.320723,0.433771,,0.0,2.0,2.0,,0.019447,0.003329,0.006585
10,1487792975,다람쥐키즈치과의원,56,326,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,원주소아치과 어린이치과 소아진정치료 웃음가스치료 수면치료,,0.33134,0.316282,0.433453,,0.0,4.0,7.0,,0.019447,-0.000375,0.006306
