place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1486994795,친절한홍치과의원,4481,625,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아미백 턱관절치료 심미보철 사랑니발치,,0.331294,0.481717,0.425524,,1.0,432.0,6.0,,0.019447,-0.017223,0.006039
2,20580638,서울금플란트치과의원 은평,3698,355,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,응암동임플란트 불광역충치 은평구치과 연신내수면임플란트 은평구임플란트,,0.33134,0.468439,0.424539,,1.0,324.0,0.0,,0.019447,-0.0169,0.006063
3,31997784,디테일탑치과의원 은평,3118,754,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,은평구치과 연신내사랑니발치 심미보철치아미백 턱관절치료치과 웃음가스임플란트,,0.33134,0.46389,0.424196,,0.0,309.0,0.0,,0.019447,-0.035369,0.00467
4,1682885412,연세탑치과의원 은평,1815,684,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,은평구치과 은평구임플란트 은평사랑니발치 은평치아교정 대조동치과,,0.33134,0.445754,0.422827,,4.0,272.0,3.0,,0.019447,0.030855,0.009668
5,1880658129,서울엘리트치과의원,1600,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,턱관절통증 수면마취치료치과 임플란트 충치신경치료 은평구치과,,0.33134,0.444721,0.422749,,0.0,192.0,4.0,,0.019447,-0.001644,0.007215
6,1954938121,닥터굿플란트치과의원 은평,2635,959,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,은평구치과 구산동임플란트 연신내충치치료 구산역스케일링 연신내역턱관절치료,,0.33134,0.441334,0.422493,,1.0,227.0,4.0,,0.019447,0.009874,0.008084
7,1249364894,서울플랜트치과의원,2352,649,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,임플란트 iGBR급속골이식 플라즈마신경치료 무절개임플란트 민생회복소비쿠폰,,0.331294,0.433934,0.421917,,3.0,277.0,1.0,,0.019447,0.032722,0.009808
8,1126074632,서울숙면치과의원 은평,3309,363,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,수면임플란트 은평구치과 응암동치과 응암역치과 수면치과,,0.33134,0.413339,0.42038,,0.0,378.0,-1.0,,0.019447,-0.022548,0.005637
9,12021715,에이플러스치과의원 은평점,2302,204,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,은평구치과 응암동임플란트 녹번동충치치료 대조동사랑니발치 녹번역치과,,0.33134,0.411646,0.420253,,0.0,296.0,0.0,,0.019447,-0.023455,0.005569
10,1127422924,서울바른훈치과의원,2726,907,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,은평구치과 임플란트 어린이치과 충치 치아교정,,0.33134,0.397979,0.419221,,0.0,112.0,3.0,,0.019447,-0.005429,0.006929
11,1138319901,올스마일치과의원 연신내점,656,432,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,연신내치과 연신내임플란트 연신내교정치과 임플란트 틀니,,0.33134,0.3492,0.41554,,0.0,0.0,1.0,,0.019447,-0.011287,0.006487
12,759208852,홍선생치과교정과치과의원,180,1052,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,치아교정전문 교정치과 인비절라인 임플란트 신경치료,,0.33134,0.317032,0.413112,,2.0,5.0,10.0,,0.019447,-0.003039,0.007109
13,1388290561,연나무치과의원,948,378,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,임플란트 턱관절 매복사랑니 치과 충치,,0.33134,0.307393,0.412384,,0.0,-2.0,1.0,,0.019447,-0.023705,0.005549
