place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1650576218,모두가행복한치과의원,1116,634,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,충북혁신도시치과 네비게이션임플란트 보험임플란트 치아교정 스케일링,,0.33134,0.302652,0.336555,,0,-,-,,-,-,-
2,36627496,더퍼스트치과의원 음성점,374,1024,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,수면임플란트 치아교정 수면마취치과 매복사랑니발치 소아치료,,0.33134,0.289633,0.335572,,0,-,-,,-,-,-
3,21575837,서울더바른치과의원,113,190,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대소치과 충치치료 임플란트 수면임플란트 라미네이트,,0.33134,0.239623,0.331798,,0,-,-,,-,-,-
4,36604658,서울강남플란트치과의원 감곡점,176,141,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,음성치과 감곡치과 음성임플란트 음성충치치료 음성사랑니,,0.33134,0.228943,0.330992,,0,-,-,,-,-,-
5,1754194565,서울미소치과의원,8,105,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,음성치과 음성임플란트 음성교정치과 음성틀니 음성읍치과,,0.33134,0.225565,0.330737,,0,-,-,,-,-,-
6,1556684391,삼성플란트치과의원,4,30,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,음성군치과 음성임플란트 음성치아교정 삼성면치과 음성치과,,0.33134,0.222764,0.330526,,0,-,-,,-,-,-
7,169651076,바른연합치과의원,4,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,충북혁신도시_치과 음성치과 진천치과 음성_임플란트 진천_임플란트,,0.33134,0.201801,0.328944,,0,-,-,,-,-,-
8,1059749791,음성자연치과의원,202,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,충치치료 틀니 임플란트 치주치료 당일식립임플란트,,0.331294,0.201019,0.328867,,0,-,-,,-,-,-
9,37275161,연세제일치과의원,2,70,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 충치 보톡스 턱관절 잇몸치료,,0.331294,0.194597,0.328383,,0,-,-,,-,-,-
10,32473065,금왕연합치과의원,117,247,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.18996,0.328033,,0,-,-,,-,-,-
11,31526146,선플란트치과의원,2,40,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,음성치과 음성읍치과 음성임플란트 임플란트 치과,,0.33134,0.186917,0.32782,,0,-,-,,-,-,-
