place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1655359619,365바른치과의원 창원 유니시티점,2009,1898,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 창원치과 창원임플란트 창원중동치과 의창구치과,,0.33134,0.471415,0.367405,,0.0,77.0,0.0,,0.019447,0.000582,0.007383
2,1147333438,스마트365치과의원 창원중동점,2707,889,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,야간진료치과 창원치과 창원임플란트 창원중동치과,,0.33134,0.434813,0.364643,,0.0,154.0,14.0,,0.019447,-0.004493,0.007
3,36212729,서울오치과의원 창원,1479,560,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,감계치과 북면치과 창원치과 창원임플란트 창원교정치과,,0.33134,0.415755,0.363204,,0.0,79.0,5.0,,0.019447,0.01298,0.008318
4,1400151183,치카푸카소아치과의원,39,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아치과 어린이치과 창원소아치과 창원어린이치과 마산어린이치과,,0.33134,0.350856,0.358306,,0.0,1.0,4.0,,0.019447,0.002016,0.007491
5,33959881,휴먼시아치과의원,298,281,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 잇몸치료 치과 틀니 심미보철,,0.33134,0.318802,0.355887,,2.0,26.0,1.0,,0.019447,0.024183,0.009164
6,1272256603,다온구강악안면외과치과의원,14,522,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,창원치과 의창구임플란트 봉곡동턱관절 창원야간진료치과 창원사랑니,,0.33134,0.305154,0.354857,,0.0,0.0,5.0,,0.019447,-0.004595,0.006992
7,1870402426,카이스트용치과의원,145,398,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,유니시티치과 어반브릭스치과 창원중동치과 창원의창구치과 창원보존과전문의,,0.33134,0.300626,0.354515,,0.0,1.0,1.0,,0.019447,0.003856,0.00763
8,1336693614,다함치과의원,39,691,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,충치치료 앞니라미네이트 유니시티어반브릭스치과 네비게이션임플란트재수술 잇몸질환,,0.33134,0.291113,0.353797,,0.0,3.0,14.0,,0.019447,0.012108,0.008252
9,37166829,닥터함치과의원,69,406,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 치아교정 세렉원데이치료 심미보철치료 치주보존치료,,0.331294,0.264356,0.351761,,0.0,0.0,0.0,,0.019447,-0.000622,0.007292
10,1245581355,유니치과의원,57,377,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 유니시티치과 창원임플란트 어반브릭스치과 창원중동치과,,0.33134,0.248558,0.350586,,1.0,0.0,2.0,,0.019447,0.00946,0.008053
11,1376971615,오늘치과의원,217,317,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,무삭제라미네이트 원데이보철 디지털임플란트 투명교정 창원치과,,0.33134,0.244815,0.350303,,2.0,-1.0,1.0,,0.019447,0.01815,0.008708
12,36084286,감계뉴욕치과의원,4,392,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.241602,0.350043,,0.0,0.0,0.0,,0.019447,-0.003662,0.007062
13,20473317,우리가족치과의원,127,201,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 창원 사랑니 임플란트 미세현미경,,0.33134,0.236574,0.349681,,0.0,0.0,0.0,,0.019447,0.008289,0.007964
14,12851365,미소사랑치과의원,101,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,창원치과 창원임플란트 창원임플란트치과 창원교정치과 창원사랑니,,0.33134,0.231662,0.34931,,5.0,3.0,0.0,,0.019447,0.020744,0.008904
