place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1299914088,연세맑음치과의원,464,271,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천치과 임플란트 사랑니발치 창전동치과 수면임플란트,,0.33134,0.420123,0.408817,,0.0,-7.0,6.0,,0.019447,-0.020722,0.005775
2,20652724,이탑치과의원,412,1127,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,임플란트 치아교정 턱관절치료 공휴일진료 일요일진료,,0.331294,0.410842,0.408099,,0.0,1.0,9.0,,0.019447,-0.001175,0.00725
3,36277160,연세스카이치과병원,1023,762,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,치아교정 사랑니발치 이천치과 임플란트 이천교정,,0.33134,0.391116,0.406628,,0.0,91.0,1.0,,0.019447,-0.009937,0.006589
4,38676715,이솜치과의원,3011,346,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 사랑니발치 심미보철,,0.331294,0.372357,0.405195,,0.0,9.0,4.0,,0.019447,-0.013861,0.006293
5,13233660,이천예치과의원,243,998,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,임플란트 턱관절치료 치아교정 사랑니발치 이천치과,,0.33134,0.36375,0.404562,,1.0,80.0,-1.0,,0.019447,0.05205,0.011267
6,34291747,유디치과의원,523,471,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,임플란트 이천치과 이천유디치과 사랑니치과 여주치과,,0.33134,0.32984,0.402003,,0.0,27.0,4.0,,0.019447,-0.001077,0.007257
7,38523644,서울쥬니어치과의원,36,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천소아치과 이천어린이치과 여주어린이치과 이천소아교정 경기광주어린이치과,,0.33134,0.29402,0.3993,,1.0,1.0,0.0,,0.019447,0.017173,0.008635
8,12074330,이천이다치과의원,276,275,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이천치과 이천임플란트 이천투명교정 부발치과 여주치과,,0.33134,0.286891,0.398762,,0.0,4.0,1.0,,0.019447,0.005505,0.007755
9,1950850917,스탠다드치과의원 이천점,256,500,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,이천임플란트 이천수면치과 수면마취이천치과 이천치과 투명교정,,0.33134,0.269964,0.397484,,0.0,5.0,1.0,,0.019447,0.00466,0.00769
10,1307172158,서울샘치과의원,615,531,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,이천치과 이천임플란트 이천치아교정 이천보철치료 이천과잉진료없는치과,,0.33134,0.265044,0.397113,,2.0,1.0,2.0,,0.019447,0.011219,0.008186
