place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37107117,탑플란트치과의원 익산,521,446,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,익산치과 임플란트 충치치료 익산임플란트 치과,,0.33134,0.358578,0.404172,,0.0,0.0,0.0,,0.019447,3.4e-05,0.007341
2,13267583,미서울치과의원,474,315,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,익산임플란트 익산치과 영등동치과 익산교정치과 익산틀니,,0.33134,0.319223,0.401202,,0.0,5.0,1.0,,0.019447,0.008986,0.008017
3,37912577,원치과의원,794,624,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,익산치과 익산임플란트 익산사랑니발치 익산심미보철 익산충치치료,,0.33134,0.303923,0.400047,,0.0,3.0,2.0,,0.019447,0.006675,0.007842
4,37485867,모현삼성치과의원,579,915,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 원데이보철 스케일링 치과 임플란트,,0.33134,0.296392,0.399479,,0.0,4.0,0.0,,0.019447,0.000325,0.007364
5,11601155,노블리안치과의원,948,488,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,익산치과 익산교정 익산임플란트 익산턱관절장애 영등동치과,,0.33134,0.291536,0.399112,,2.0,0.0,0.0,,0.019447,0.02518,0.009239
6,1042010679,익산하나어린이치과의원,6,27,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 소아치과 어린이치과 충치치료 영유아구강검진,,0.33134,0.281589,0.398362,,0.0,0.0,0.0,,0.019447,0.014319,0.00842
7,37623478,키즈앤어린이치과의원,11,349,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,익산어린이치과 익산소아치과,,0.33134,0.268214,0.397352,,2.0,0.0,0.0,,0.019447,0.025654,0.009275
8,13267565,행복플러스치과의원,6,167,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.264453,0.397051,,0.0,0.0,0.0,,0.019447,0.012901,0.008312
9,1722501290,그랜드치과의원,243,196,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,익산치과 익산임플란트 익산치과임플란트 익산사랑니 임플란트,,0.33134,0.263748,0.397015,,0.0,0.0,0.0,,0.019447,-0.007094,0.006803
10,36237245,정승관치과의원,21,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,임플란트 틀니 충치치료 무통마취 보철치료,,0.331294,0.260634,0.396763,,1.0,0.0,0.0,,0.019447,0.026149,0.009312
11,13267636,다온치과의원,83,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.251323,0.39606,,1.0,0.0,0.0,,0.019447,0.017806,0.008683
12,13084622,에프엠치과의원,22,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,익산치과 익산임플란트 익산의식하진정처치 익산수면임플란트 익산에프엠치과,,0.33134,0.240585,0.395267,,2.0,1.0,0.0,,0.019447,0.013214,0.008336
13,1445019722,대학로치과의원,2,278,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,구강악안면외과전문의 임플란트 자가치아이식술 사랑니발치 뼈이식,,0.331294,0.240481,0.395242,,2.0,0.0,0.0,,0.019447,0.01896,0.00877
14,34455322,차&고치과교정과치과의원,4,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.239797,0.39519,,0.0,0.0,0.0,,0.019447,-0.002638,0.00714
15,1228363272,모현새로이치과의원,7,171,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,익산치과 익산임플란트 익산사랑니 모현동치과 모현동임플란트,,0.33134,0.234866,0.394835,,0.0,0.0,3.0,,0.019447,0.002789,0.007549
16,36796813,닥터홍스치과의원,3,90,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 보철 잇몸치료 틀니 스케일링,,0.331294,0.231591,0.394571,,3.0,0.0,0.0,,0.019447,0.032472,0.00979
17,1256895765,고래치과의원,3,277,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,익산치과 동산동치과 마동치과,,0.33134,0.213328,0.39321,,1.0,0.0,1.0,,0.019447,0.00809,0.00795
18,13267548,하얀치과의원,2,99,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,,,0.331294,0.213182,0.393181,,0.0,0.0,0.0,,0.019447,0.004912,0.007709
19,13267815,이미지치과의원,5,223,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.207282,0.392736,,0.0,0.0,0.0,,0.019447,-0.003804,0.007052
20,11482334,미소준치과의원,1,186,치과,건강의료>병원>병원의원>치과>치과-일반,4.1,,,,0.331294,0.202031,0.39234,,2.0,0.0,0.0,,0.019447,0.008404,0.007973
21,13267504,혜성치과의원,3,112,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.201296,0.392284,,0.0,0.0,0.0,,0.019447,0.004946,0.007712
22,13267793,김종구희망드림치과의원,0,165,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,,,0.331294,0.196,0.391885,,8.0,0.0,0.0,,0.019447,0.01988,0.008839
23,13267490,이장규치과의원,0,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,,,0.331294,0.195831,0.391872,,6.0,0.0,0.0,,0.019447,0.017554,0.008664
24,13267487,조은치과의원,2,79,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.195827,0.391872,Hot,12.0,0.0,0.0,,0.019447,0.02427,0.009171
25,13267489,서울치과의원,0,232,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.195031,0.391812,,6.0,0.0,0.0,,0.019447,0.019979,0.008847
26,13267626,선치과의원,0,103,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,,,0.331294,0.194601,0.391779,Hot,20.0,0.0,0.0,,0.019447,0.039925,0.010352
27,13267623,프라이덴치과의원,2,283,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,임플란트 어양동치과 익산치과 충치치료 야간진료,,0.33134,0.192118,0.391609,,0.0,0.0,2.0,,0.019447,0.007721,0.007922
28,13267584,베스트치과의원,1,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트 이갈이 턱관절통증,,0.331294,0.192269,0.391603,,0.0,0.0,0.0,,0.019447,0.008179,0.007956
29,1326020622,보헌치과의원,1,41,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.191763,0.391565,,0.0,0.0,0.0,,0.019447,-0.005358,0.006934
30,13267561,수치과의원,0,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.01,,,,0.331294,0.188436,0.391314,Hot,11.0,0.0,0.0,,0.019447,0.027218,0.009393
31,35585345,스마일치과의원,0,96,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.186753,0.391187,,6.0,0.0,0.0,,0.019447,0.015344,0.008497
32,17253242,윤치과,1,224,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.186746,0.391186,,0.0,0.0,0.0,,0.019447,0.011947,0.00824
33,12036612,태기출치과의원,2,61,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.184526,0.391019,,0.0,0.0,0.0,,0.019447,0.009738,0.008074
34,35749612,서울조이치과의원,161,182,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,익산치과 모현동치과 익산임플란트 모현동임플란트치과 모현동사랑니,,0.33134,0.181543,0.390811,,0.0,0.0,0.0,,0.019447,-0.00299,0.007113
35,19530391,이편한치과의원,1,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.179812,0.390663,,0.0,0.0,0.0,,0.019447,-0.000183,0.007325
36,13267546,영등치과의원,2,316,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.179808,0.390663,,9.0,0.0,0.0,,0.019447,0.0235,0.009113
37,13267564,한빛치과의원,1,351,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,,,0.331294,0.178877,0.390592,,2.0,0.0,0.0,,0.019447,0.013502,0.008357
38,1794055046,준플란트치과의원,12,90,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,임플란트 함열읍 치과 충치치료 치주과전문의,,0.33134,0.178326,0.390568,Hot,12.0,0.0,0.0,,0.019447,0.028567,0.009495
39,1446979121,피성희치주과 치과의원,0,24,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.177138,0.390461,,0.0,0.0,0.0,,0.019447,0.007,0.007867
40,1745479760,심수영 치과의원,0,122,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.173956,0.390221,,0.0,0.0,0.0,,0.019447,0.00965,0.008067
41,33525279,네이버치과의원,1,138,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.172454,0.390108,,0.0,0.0,0.0,,0.019447,-0.017143,0.006045
42,13267678,마동부부치과의원,0,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.171069,0.390003,,0.0,0.0,0.0,,0.019447,-0.016863,0.006066
43,13267497,박인성치과의원,0,86,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,,,0.331294,0.170631,0.38997,Hot,13.0,0.0,0.0,,0.019447,0.028751,0.009509
44,13267508,열린치과의원,2,206,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.165732,0.3896,,8.0,0.0,0.0,,0.019447,0.018254,0.008716
45,13267657,미주치과의원,1,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.16341,0.389425,,0.0,0.0,0.0,,0.019447,-0.010236,0.006566
46,13267787,황등치과의원,1,32,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,,,0.331294,0.160187,0.389182,,7.0,0.0,0.0,,0.019447,0.012857,0.008309
47,11847927,이심는연합치과의원,4,64,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.158604,0.389062,,0.0,0.0,0.0,,0.019447,-0.000253,0.007319
48,13267539,우리들치과의원,1,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.154281,0.388736,Hot,31.0,0.0,0.0,,0.019447,0.036306,0.010079
49,13267711,금강치과의원,2,174,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,,,0.331294,0.154121,0.388724,,0.0,0.0,0.0,,0.019447,0.003039,0.007568
50,13267667,센트럴치과의원,2,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.153646,0.388688,,0.0,0.0,0.0,,0.019447,-0.003366,0.007085
