place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1816737617,비에스치과의원,24,386,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니 충치치료 송림동치과 송림동임플란트,,0.33134,0.236798,0.331585,,0,-,-,,-,-,-
2,36905708,친절한홍치과의원,81,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,동인천역치과 동인천치과 송현동치과 송현동임플란트 동인천역임플란트,,0.33134,0.228798,0.330981,,0,-,-,,-,-,-
3,13240762,연세스마일치과의원,125,217,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동인천역치과 스마일치과 충치보철치료 뼈이식임플란트 송림동치과,,0.33134,0.203096,0.329041,,0,-,-,,-,-,-
4,1613829596,뿌리앤치과의원,2,120,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송림동치과 임플란트 심미보철 신경치료 충치치료,,0.33134,0.201207,0.328899,,0,-,-,,-,-,-
5,36477455,송림푸른하늘치과의원,39,212,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,송림동치과 도화동치과 가좌동임플란트 인천동구치과 송림소아진료치과,,0.33134,0.186783,0.32781,,0,-,-,,-,-,-
6,1033032802,송림치과의원,0,25,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정 틀니 충치 보철치료,,0.331294,0.185454,0.327693,,0,-,-,,-,-,-
7,1412929701,백치과의원,1,120,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,송림동치과 인천동구치과 인천동구임플란트 송림동임플란트,,0.33134,0.184667,0.32765,,0,-,-,,-,-,-
8,85757604,서울수치과의원,2,188,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,치과 송림동치과 동구치과 네비게이션임플란트 구강스캐너,,0.33134,0.183864,0.32759,,0,-,-,,-,-,-
9,35130523,미드림치과의원,1,185,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,,,0.331294,0.183741,0.327563,,0,-,-,,-,-,-
10,13240879,솔빛치과의원,1,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.176162,0.326991,,0,-,-,,-,-,-
11,13240873,화수치과의원,1,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,화수화평동치과 동인천역치과 임플란트 동구치과 치과,,0.33134,0.17077,0.326602,,0,-,-,,-,-,-
12,13240754,동인천치과의원,2,140,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.164746,0.32613,,0,-,-,,-,-,-
13,13240825,세림치과의원,3,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.163042,0.326001,,0,-,-,,-,-,-
14,13240829,최재혁치과의원,2,125,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,인천동구치과 송림동치과,,0.33134,0.151984,0.325184,,0,-,-,,-,-,-
15,13240759,한울치과의원,1,78,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,,,0.331294,0.151316,0.325116,,0,-,-,,-,-,-
16,31531393,젠치과의원,2,84,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,,,0.331294,0.14711,0.324799,,0,-,-,,-,-,-
17,12057152,양치과의원,2,104,치과,건강의료>병원>병원의원>치과>치과-일반,3.99,,치과 임플란트 보험틀니,,0.33134,0.144285,0.324603,,0,-,-,,-,-,-
18,13240854,세정굿모닝치과의원,1,176,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.142921,0.324483,,0,-,-,,-,-,-
19,36128318,현대치과의원,0,58,치과,건강의료>병원>병원의원>치과>치과-일반,4.06,,,,0.331294,0.135327,0.323909,,0,-,-,,-,-,-
20,21116767,엠플러스치과의원,1,74,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.131813,0.323644,,0,-,-,,-,-,-
21,13240806,이흥우치과의원,2,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.127292,0.323303,,0,-,-,,-,-,-
22,13240753,김윤태치과의원,0,75,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.121743,0.322884,,0,-,-,,-,-,-
23,13240867,중앙치과의원,1,51,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.102782,0.321453,,0,-,-,,-,-,-
24,13240135,남치과의원,1,36,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,,,0.331294,0.098866,0.321158,,0,-,-,,-,-,-
25,1219983496,남포치과의원,0,17,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,,,0.331294,0.06732,0.318777,,0,-,-,,-,-,-
