place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1777947640,서울바로치과의원 인천검단점,1521,595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단교정치과 검단소아치과 검단어린이치과,,0.33134,0.481203,0.389276,,0.0,119.0,3.0,,0.019447,0.00571,0.010789
2,1485303711,이보다구강악안면외과치과의원,2528,481,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단신도시치과 사랑니 턱관절치료,,0.33134,0.468379,0.388308,,0.0,249.0,16.0,,0.019447,0.007241,0.010904
3,21437022,이플러스치과의원 검단,3835,135,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,검단치과 검단신도시치과 매복사랑니발치 검단보철충치치료 틀니뼈이식임플란트,,0.33134,0.458984,0.387599,,0.0,293.0,0.0,,0.019447,0.000209,0.010373
4,1391225343,검단퍼스트치과의원,3249,662,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단신도시치과 심미라미네이트보철 매복사랑니발치 네비게이션임플란트 턱관절치료,,0.33134,0.453815,0.387209,,0.0,332.0,10.0,,0.019447,-0.00109,0.010276
5,1134532954,예온치과병원 인천검단365점,1837,1622,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단치아교정 검단임플란트치과 검단어린이소아치과 인천치과,,0.33134,0.451884,0.387063,,0.0,221.0,54.0,,0.019447,0.004945,0.010731
6,1251605697,서울더탑치과의원,2660,588,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 검단치과 검단신도시치과 인천치과,,0.33134,0.445876,0.38661,,0.0,589.0,9.0,,0.019447,0.002911,0.010578
7,1698942918,플란치과의원 인천 검단점,2073,3299,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 검단임플란트 검단치과 원당동치과 김포치과,,0.33134,0.439516,0.38613,,0.0,315.0,36.0,,0.019447,-0.003307,0.010108
8,1791458774,검암본플란트치과의원,563,133,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검암동치과 인천서구치과 임플란트 사랑니 본플란트,,0.33134,0.384497,0.381977,,0.0,38.0,4.0,,0.019447,0.008994,0.011036
9,1808826495,치과로와치과의원 검단,1480,994,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단신도시치과 검단치과 검단임플란트치과 인천원당동충치치료 인천턱관절,,0.33134,0.380192,0.381652,,1.0,-6.0,6.0,,0.019447,0.007064,0.01089
10,1791974296,서울더블유치과교정과치과의원 검단,928,472,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단신도시치과 인천치아재교정치료 검단임플란트치과 검단비발치교정치과,,0.33134,0.369063,0.380812,,0.0,0.0,4.0,,0.019447,-0.005591,0.009935
