place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1939727294,뿌리플란트치과의원,64,80,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영종도치과 하늘도시치과 진로쇼핑치과 사랑니 임플란트,,0.33134,0.307888,0.33695,,0,-,-,,-,-,-
2,1373841019,예스서울치과의원,86,322,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 스케일링 영종도치과 영종도사랑니발치 영종도임플란트,,0.33134,0.287632,0.335421,,0,-,-,,-,-,-
3,1892360651,슈어 치과교정과 치과병원,59,614,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영종도치과 하늘도시치과 치아교정 인비절라인 교정치과,,0.33134,0.277484,0.334655,,0,-,-,,-,-,-
4,1586715859,하늘별빛어린이치과의원,17,164,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영종도어린이치과 하늘도시어린이치과 영종도키즈치과 인천어린이치과 수면치료,,0.33134,0.270775,0.334149,,0,-,-,,-,-,-
5,36073210,하늘리더스치과의원,105,934,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,영종도치과 하늘도시치과 임플란트 치아교정 사랑니발치,,0.33134,0.269009,0.334016,,0,-,-,,-,-,-
6,36133135,서울THE좋은치과의원,53,552,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,하늘도시치과 영종도임플란트치과 영종도교정치과,,0.33134,0.265835,0.333776,,0,-,-,,-,-,-
7,1532453055,영종국제치과의원,52,538,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영종도치과 영종하늘도시치과 중산동사랑니 영종동임플란트 운서동라미네이트,,0.33134,0.264675,0.333689,,0,-,-,,-,-,-
8,36912422,디지털타임치과의원,722,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,동인천치과 동인천임플란트 동인천치아교정 야간진료치과 수면임플란트치과,,0.33134,0.258147,0.333196,,0,-,-,,-,-,-
9,1850620770,영종디지털치과의원,321,231,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영종도치과 하늘도시치과 영종도임플란트 즉시임플란트 하늘도시교정,,0.33134,0.254152,0.332895,,0,-,-,,-,-,-
10,1492257378,연세세브란스치과의원,296,521,치과,건강의료>병원>병원의원>치과>치과-일반,4.89,,동인천치과 동인천역임플란트 송림동사랑니발치 숭의동충치치료 도원동턱관절진료,,0.33134,0.251646,0.332705,,0,-,-,,-,-,-
11,1102068802,영종웰치과의원,91,396,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,영종도치과 영종도임플란트 영종도치아교정 하늘도시치과 영종치과,,0.33134,0.250791,0.332641,,0,-,-,,-,-,-
12,13240820,이규원치과의원,16,889,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,틀니 신경치료 잇몸치료 임플란트 동인천치과,,0.33134,0.24457,0.332171,,0,-,-,,-,-,-
13,1430054793,하늘퍼스트치과의원,110,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,하늘도시치과 영종도치과 하늘도시교정치과 영종도임플란트치과 인천교정치과,,0.33134,0.23284,0.331286,,0,-,-,,-,-,-
14,19523070,김영열치과의원,1,223,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.223249,0.330545,,0,-,-,,-,-,-
15,1108442183,영종센트럴치과의원,3,289,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정 충치 잇몸 야간진료,,0.331294,0.211956,0.329693,,0,-,-,,-,-,-
16,33385739,하늘수치과의원,12,239,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,치과 스케일링 임플란트 충치 틀니,,0.33134,0.207748,0.329392,,0,-,-,,-,-,-
17,2023563051,연세미다스치과의원,7,32,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.207404,0.329349,,0,-,-,,-,-,-
18,19810022,더본플란트치과의원,29,102,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,동인천치과 동인천임플란트 인천중구치과 답동치과 동인천역치과,,0.33134,0.206243,0.329279,,0,-,-,,-,-,-
19,1815428844,영종 시카고 치과교정과 치과의원,75,252,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치아교정 소아치아교정 영종치과 영종임플란트 하늘도시치과,,0.33134,0.202854,0.329023,,0,-,-,,-,-,-
20,11853897,상아플러스치과의원,5,173,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,동인천치과 동인천교정 동인천임플란트 교정전문의 사랑니발치,,0.33134,0.199912,0.328801,,0,-,-,,-,-,-
21,12988190,노블치과의원,3,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.198243,0.328658,,0,-,-,,-,-,-
22,13240743,이플란트치과의원,4,306,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.197063,0.328569,,0,-,-,,-,-,-
23,12038425,L아름다운치과의원,10,152,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 운서동 영종도 충치 임플란트,,0.33134,0.19486,0.32842,,0,-,-,,-,-,-
24,13240736,이사랑치과의원,3,92,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,,,0.331294,0.183644,0.327556,,0,-,-,,-,-,-
25,13240767,박선희치과의원,320,270,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,동인천치과 동인천스케일링 동인천임플란트 동인천틀니 동인천잇몸치료,,0.33134,0.171823,0.326681,,0,-,-,,-,-,-
26,2045649108,더바른치과의원,0,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 잇몸치료 충치치료 치아미백 임플란트,,0.33134,0.163431,0.326048,,0,-,-,,-,-,-
27,1011555090,바른손치과의원,27,39,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천중구치과 연안동치과 연안동임플란트 사랑니발치 의식하진정요법,,0.33134,0.157285,0.325584,,0,-,-,,-,-,-
28,1637592508,서울하늘치과의원,3,77,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.15643,0.325502,,0,-,-,,-,-,-
29,31704773,큐프라임치과의원 인하점,484,187,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 심미보철 잇몸치료 신경치료 예방치료,,0.331294,0.153686,0.325295,,0,-,-,,-,-,-
30,1486237990,이연세치과의원,33,83,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동인천치과 신포치과 도원동치과 신흥동치과 중구치과,,0.33134,0.146292,0.324754,,0,-,-,,-,-,-
31,13240755,굿모닝치과,2,100,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,,,0.331294,0.14465,0.324613,,0,-,-,,-,-,-
32,1404280789,운서조은사람치과의원,1,20,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,토요일 일요일,,0.331294,0.138912,0.32418,,0,-,-,,-,-,-
33,13240775,정충근치과의원,2,108,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.135019,0.323886,,0,-,-,,-,-,-
34,13344390,더웰치과의원,14,58,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,사랑니발치 임플란트 스케일링 신경치료 교정,,0.331294,0.128768,0.323414,,0,-,-,,-,-,-
35,19533086,김경란치과의원,1,36,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,,,0.331294,0.127585,0.323325,,0,-,-,,-,-,-
36,13241351,민영규치과의원,3,58,치과,건강의료>병원>병원의원>치과>치과-일반,3.89,,연안부두치과 민영규치과 연안부두임플란트 직장인구강검진 영유아구강검진,,0.33134,0.125718,0.323201,,0,-,-,,-,-,-
37,13241406,건치과의원,3,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.123421,0.323011,,0,-,-,,-,-,-
38,1239405495,THE착한치과의원,1,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,동인천 치과 신포동 신포국제시장 신포시장,,0.33134,0.116969,0.322541,,0,-,-,,-,-,-
39,13240760,최현수치과의원,2,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.108959,0.321919,,0,-,-,,-,-,-
40,13240799,허형범치과의원,3,22,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.104869,0.321611,,0,-,-,,-,-,-
41,13240750,김용운치과의원,2,14,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.100064,0.321248,,0,-,-,,-,-,-
42,11615743,오치과의원,2,16,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,,,0.331294,0.0805,0.319771,,0,-,-,,-,-,-
43,13240809,허치과의원,2,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.057804,0.318059,,0,-,-,,-,-,-
44,11686918,인하대병원,446,2031,종합병원,건강의료>병원>종합병원>상급종합병원,4.37,,진료안내 이용안내 병원소개,,0.0,0.409458,0.219582,,0,-,-,,-,-,-
45,13238191,인천기독병원,488,440,종합병원,건강의료>병원>종합병원>종합병원-일반,4.28,,응급실 혈액투석 인천응급실 인천내과 로봇관절수술,,0.0,0.256987,0.208075,,0,-,-,,-,-,-
46,1935011282,리봄치과의원,977,961,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 인비절라인투명교정 임플란트뼈이식재수술 스케일링무통가글마취 충치신경잇몸보존치료,,0.331294,0.441575,0.158343,,0,-,-,,-,-,-
47,1642895987,오즈치과교정과치과의원,514,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,송도교정치과 송도치아교정 송도치과 인천성인교정 인천인비절라인,,0.33134,0.401024,0.1553,,0,-,-,,-,-,-
48,1204671347,SNC시카고치과의원,429,662,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천미추홀구치과 인천임플란트 인천교정치과 인천치아교정 인천어린이치아교정,,0.33134,0.387647,0.15429,,0,-,-,,-,-,-
