place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37864845,연세바로치과교정과치과의원 인천점,4465,2893,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,인천치과 인천교정치과 구월동무삭제라미네이트 인천인비절라인퍼스트 구월동치아교정치과,,0.33134,0.521669,0.407424,,1.0,600.0,29.0,,0.019447,0.006577,0.007835
2,1966350660,더케이365치과병원 인천본점,2864,875,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 턱관절치료 매복사랑니발치 인천치아교정치과 뼈이식임플란트,,0.33134,0.511283,0.40664,,0.0,504.0,20.0,,0.019447,-0.004335,0.007011
3,35497766,라이브치과병원 인천부평,4765,2615,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,인천치과 인천인비절라인치아교정 뼈이식임플란트 매복사랑니발치 라미네이트보철치료,,0.33134,0.503693,0.406067,,2.0,333.0,12.0,,0.019447,0.008151,0.007953
4,1225351456,연세디앤유치과의원,2580,1216,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 무삭제라미네이트 부평교정치과 인천치과,,0.33134,0.503055,0.406019,,0.0,116.0,10.0,,0.019447,-0.003151,0.007101
5,1227621966,화이트드림치과의원,6227,845,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,인천치과 구월동치과 인천치아교정 충치치료 구월동임플란트,,0.33134,0.490541,0.405075,,3.0,130.0,7.0,,0.019447,0.006245,0.00781
6,1835870980,투명플러스치과의원 인천부평,5869,2343,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,부평치과 인천임플란트치과 부평치아교정치과 부평라미네이트 부평역스케일링,,0.33134,0.488923,0.404953,,0.0,417.0,8.0,,0.019447,-0.01304,0.006355
7,1951401500,연세오늘치과의원 주안,2994,379,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 심미보철 사랑니발치 인천치과,,0.33134,0.486338,0.404758,,0.0,196.0,0.0,,0.019447,-0.000984,0.007265
8,1970483636,연세세브란스치과의원,1918,638,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,수면치과치료 사랑니발치 컴퓨터분석임플란트 치아교정치과 보존과전문의,,0.33134,0.484188,0.404595,,0.0,182.0,13.0,,0.019447,-0.002072,0.007182
9,1777947640,서울바로치과의원 인천검단점,1521,595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단교정치과 검단소아치과 검단어린이치과,,0.33134,0.481203,0.40437,,1.0,119.0,3.0,,0.019447,0.00571,0.00777
10,1498152618,365베스트치과의원 부평청천본점,2715,1346,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평임플란트 청천동치과 산곡치과 일요일진료치과,,0.33134,0.47488,0.403893,,6.0,89.0,19.0,,0.019447,0.01632,0.008571
11,1146699780,365서울채움치과의원 부평,2587,871,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 임플란트 라미네이트 소아치과 야간치과,,0.33134,0.468835,0.403437,,1.0,315.0,-179.0,,0.019447,0.005913,0.007785
12,1717860225,강남365치과의원,3475,2552,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,인천치과 인천임플란트 인천치아교정 인천어린이치과 수면임플란트,,0.33134,0.468477,0.40341,,0.0,0.0,24.0,,0.019447,-0.010463,0.006549
13,1485303711,이보다구강악안면외과치과의원,2528,480,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단임플란트 검단신도시치과 사랑니 턱관절치료,,0.33134,0.468379,0.403402,,0.0,249.0,15.0,,0.019447,0.007241,0.007885
14,31059089,디지털해피스치과의원 인천부평,3161,2062,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,부평치과 인천라미네이트 부평수면마취임플란트 부평역전문의임플란트 인천디지털치과,,0.33134,0.462799,0.402981,,0.0,842.0,58.0,,0.019447,0.003941,0.007636
15,1600612830,365서울앞선치과의원,2368,408,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안역치과 미추홀구치과 임플란트 주안치과 주안동치과,,0.33134,0.459419,0.402726,,3.0,255.0,0.0,,0.019447,0.008414,0.007974
16,1549903274,예온치과의원 인천구월365점,2650,1997,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잇몸치료 매복사랑니발치 치아교정 임플란트염증재수술 턱관절장애통증,,0.331294,0.459484,0.402714,,4.0,119.0,48.0,,0.019447,0.010306,0.008117
17,21437022,이플러스치과의원 검단,3835,135,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,검단치과 검단신도시치과 매복사랑니발치 검단보철충치치료 틀니뼈이식임플란트,,0.33134,0.458984,0.402693,,0.0,293.0,0.0,,0.019447,0.000209,0.007354
18,1391225343,검단퍼스트치과의원,3249,662,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단신도시치과 심미라미네이트보철 매복사랑니발치 네비게이션임플란트 턱관절치료,,0.33134,0.453815,0.402303,,0.0,332.0,10.0,,0.019447,-0.00109,0.007256
19,38015391,새이치과의원,3803,350,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동사랑니 구월동임플란트 인천양심치과 인천치과,,0.33134,0.451934,0.402161,,5.0,620.0,2.0,,0.019447,0.007886,0.007934
20,1134532954,예온치과병원 인천검단365점,1837,1622,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,검단치과 검단치아교정 검단임플란트치과 검단어린이소아치과 인천치과,,0.33134,0.451884,0.402157,,2.0,221.0,55.0,,0.019447,0.004945,0.007712
21,1690154148,부평더맑은치과의원,2637,648,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천부평치과 공휴일야간진료치과 부평충치신경치료 부평무삭제라미네이트 인천임플란트치과,,0.33134,0.449142,0.40195,Hot,13.0,354.0,46.0,,0.019447,0.026976,0.009374
22,1186130140,감동플란트치과의원 구월동점,2195,341,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 인천일요일치과 수면임플란트 임플란트 무통마취치과,,0.33134,0.44776,0.401846,,0.0,342.0,4.0,,0.019447,-0.002573,0.007144
23,1251605697,서울더탑치과의원,2660,588,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 검단치과 검단신도시치과 인천치과,,0.33134,0.445876,0.401704,,2.0,589.0,9.0,,0.019447,0.002911,0.007559
24,1393194552,플란치과병원 인천 부평점,2882,2595,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 인천치과 부평치과 인천임플란트 부평임플란트,,0.33134,0.445315,0.401662,,4.0,412.0,12.0,,0.019447,0.006965,0.007865
25,1843571146,서울365치과의원,4501,711,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,구월동치과 구월동치아교정 구월동임플란트 인천사랑니 인천치과,,0.33134,0.443736,0.401542,,0.0,13.0,0.0,,0.019447,-0.005007,0.00696
26,1935011282,리봄치과의원,977,960,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무삭제라미네이트 인비절라인투명교정 임플란트뼈이식재수술 스케일링무통가글마취 충치신경잇몸보존치료,,0.331294,0.441575,0.401362,,3.0,52.0,23.0,,0.019447,0.005196,0.007731
27,1698942918,플란치과의원 인천 검단점,2073,3299,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 검단임플란트 검단치과 원당동치과 김포치과,,0.33134,0.439516,0.401224,,0.0,315.0,36.0,,0.019447,-0.003307,0.007089
28,1018006415,구월의치과의원,1915,388,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구월동치과 구월동임플란트 구월동사랑니 구월동턱관절 구월동양심치과,,0.33134,0.431277,0.400602,,9.0,272.0,11.0,,0.019447,0.016459,0.008581
29,1046979868,계양가온365치과의원,1919,884,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,계산동치과 계양구치과 계양구임플란트 계양구사랑니발치 계양치과,,0.33134,0.428544,0.400396,,0.0,257.0,7.0,,0.019447,-0.016681,0.00608
30,1685454482,유디논현치과의원,854,419,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,인천논현치과 임플란트 틀니 턱관절치료 신경치료,,0.33134,0.427609,0.400325,,6.0,109.0,0.0,,0.019447,0.010587,0.008137
31,1173132115,연세반트치과교정과치과의원,2950,477,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,교정치과 치과교정과전문의 인비절라인치아교정 인천교정전문치과 돌출입교정,,0.33134,0.426909,0.400272,,0.0,58.0,0.0,,0.019447,-0.01391,0.006288
32,1271439996,서울정플란트치과의원,687,246,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천논현동치과 임플란트 턱관절 남동구치과 충치치료,,0.33134,0.420836,0.399814,Hot,18.0,23.0,2.0,,0.019447,0.030517,0.009642
33,13118325,인천W치과의원,381,893,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 치아교정 일반진료 계산동치과 계양구치과,,0.33134,0.420325,0.399776,Hot,15.0,198.0,9.0,,0.019447,0.023588,0.009119
34,1808398683,연세세브란스치과의원 계양,2293,280,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,계양구치과 계양구임플란트 레진빌드업 작전동치과 잇몸심미수술,,0.33134,0.419516,0.399714,Hot,30.0,347.0,5.0,,0.019447,0.059075,0.011797
35,1102074818,동암플란트치과의원,591,409,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일요일치과 동암역치과 십정동치과 임플란트 공휴일치과,,0.33134,0.417419,0.399556,Hot,16.0,104.0,9.0,,0.019447,0.028279,0.009473
36,1023051083,서울정석치과의원 인천,1608,163,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,인천치과 인천임플란트치과 충치잇몸치료 매복사랑니발치 수면마취치과,,0.33134,0.415035,0.399376,,0.0,-2.0,1.0,,0.019447,-0.002323,0.007163
37,38296570,연세위드치과의원,671,1117,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,인천논현동치과 치아교정 인비절라인투명교정 임플란트 충치치료,,0.33134,0.413908,0.399291,,2.0,31.0,6.0,,0.019447,0.003101,0.007573
38,32805944,서울이턱사랑니치과의원,334,6087,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니 서울이턱치과 함치성낭종 사랑니전문병원 구강외과,,0.33134,0.41241,0.399178,Hot,15.0,1.0,35.0,,0.019447,0.025339,0.009251
39,1858548459,부평 나우치과의원,4635,1006,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,부평치과 수면임플란트 치과수면치료 수면사랑니발치 교통사고자동차보험,,0.33134,0.410618,0.399043,Hot,13.0,492.0,0.0,,0.019447,0.022827,0.009062
40,1164975445,연세스마트치과의원,1779,507,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,구월동치과 임플란트 치아교정 충치치료 사랑니발치,,0.33134,0.409466,0.398956,,0.0,-6.0,7.0,,0.019447,-0.013257,0.006338
41,1001988141,나란이턱치과교정과의원,1691,433,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,부평치과 부평치아교정 부평임플란트 부평교정치과 부평역치과,,0.33134,0.406526,0.398734,,1.0,126.0,-1.0,,0.019447,-9e-06,0.007338
42,1046043511,서울그랜드치과의원,2842,1026,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,주안치과 무삭제라미네이트 임플란트 턱관절 치아미백,,0.33134,0.40617,0.398707,,0.0,148.0,16.0,,0.019447,-0.003073,0.007107
43,12803899,큐프라임동암치과의원 동암,1054,270,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,임플란트 턱관절 사랑니 교정치과 큐프라임치과,,0.33134,0.405819,0.398681,,2.0,267.0,0.0,,0.019447,0.003028,0.007568
44,1806221853,윌플란트치과의원,1756,566,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,인천치과 수면임플란트 사랑니발치 앞니보철 노인임플란트,,0.33134,0.404185,0.398557,,0.0,-8.0,-1.0,,0.019447,-0.008979,0.006661
45,13518558,서울티플란트치과의원,5759,853,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,인천치과 부평치과 사랑니 턱관절 임플란트틀니,,0.33134,0.404039,0.398546,,0.0,587.0,7.0,,0.019447,-0.026745,0.00532
46,37811485,연세성민제치과의원,2721,256,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,임플란트틀니 부평교정치과 소아충치치료 부평역시장치과 턱관절보철전문의,,0.33134,0.403092,0.398475,,0.0,210.0,5.0,,0.019447,-0.061258,0.002716
47,13094051,부평우리치과의원,2736,1975,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,부평치과 부평역치과 인천치과 인천임플란트 인천수면치과,,0.33134,0.402008,0.398393,,7.0,228.0,15.0,,0.019447,0.017083,0.008628
48,1642895987,오즈치과교정과치과의원,514,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,송도교정치과 송도치아교정 송도치과 인천성인교정 인천인비절라인,,0.33134,0.401024,0.398319,,0.0,9.0,6.0,,0.019447,-0.004737,0.006981
49,207691387,서울S클래스치과의원,989,411,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,인천논현동치과 남동구치과 인천임플란트치과 소래포구치과 인천교정치과,,0.33134,0.395725,0.397919,,0.0,24.0,0.0,,0.019447,-0.003973,0.007039
50,13427901,부평유디치과의원,1699,617,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 부평치과 부평임플란트 부평치아교정 부평역치과,,0.33134,0.392284,0.397659,,0.0,85.0,0.0,,0.019447,-0.01335,0.006331
