place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1373231596,일산힐치과의원,2015,194,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산턱관절치료치과 심미보철틀니치과 앞니임플란트치료 무삭제라미네이트치과,,0.33134,0.470503,0.35828,,0,-,-,,-,-,-
2,1999984730,연세일등치과의원,1387,1029,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,디지털임플란트 수면무통마취치과 충치신경잇몸치료 턱관절통증장애 매복사랑니발치,,0.33134,0.466694,0.357992,,0,-,-,,-,-,-
3,1227204782,프라임39플란트치과의원,3525,195,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,일산치과 일산임플란트치과 일산임플란트 일산사랑니발치 대화역치과,,0.33134,0.462448,0.357672,,0,-,-,,-,-,-
4,11722800,함박웃음치과의원,3928,439,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,일산임플란트 일산치아교정 일산충치치료 일산역치과 일산치과,,0.33134,0.459584,0.357455,,0,-,-,,-,-,-
5,1294799363,사과나무치과병원,802,4956,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사과나무치과 일산치과 일산임플란트 일산치아교정 일산소아치과,,0.33134,0.386451,0.351936,,0,-,-,,-,-,-
6,1219500612,일산진사랑니치과의원,32,147,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산사랑니 사랑니발치 매복사랑니 사랑니전문 구강악안면외과전문의,,0.331294,0.280094,0.343892,,0,-,-,,-,-,-
7,11689736,연세덴티프로치과의원,42,1238,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,일산치과 일산교정 일산임플란트 일산라미네이트 일산충치,,0.33134,0.27647,0.343636,,0,-,-,,-,-,-
8,1689254915,미소로여는치과의원,180,275,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,미소로여는치과 주엽치과 주엽역치과 고양시치과 일산치과,,0.33134,0.273941,0.343445,,0,-,-,,-,-,-
9,13289922,바른이치과의원 일산주엽점,10,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.269195,0.343069,,0,-,-,,-,-,-
10,1727397797,대화사과나무치과의원,35,607,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,일산치과 일산임플란트 대화역치과 일산크라운 일산야간진료치과,,0.33134,0.259414,0.342348,,0,-,-,,-,-,-
11,37936434,든든한치과의원,8,240,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,구강검진 스케일링 임플란트 보철치료 충치치료,,0.331294,0.257596,0.342194,,0,-,-,,-,-,-
12,1527334023,탄현웰치과의원,3,403,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,탄현웰치과 탄현동치과,,0.33134,0.252368,0.341816,,0,-,-,,-,-,-
13,39572555,뉴욕탑치과의원,378,398,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,임플란트 턱관절치료 치주치료 사랑니발치 일산치과,,0.33134,0.251417,0.341745,,0,-,-,,-,-,-
14,11682706,리빙웰치과병원,597,450,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,주엽역치과 일산사랑니치과 일산치아교정턱관절 일산임플란트 일산충치치료,,0.33134,0.242616,0.341081,,0,-,-,,-,-,-
15,13237168,일산어린이치과의원,8,377,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.228992,0.340035,,0,-,-,,-,-,-
16,35188541,제니스치과의원,1,368,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,,,0.331294,0.228189,0.339974,,0,-,-,,-,-,-
17,11678456,연세예스주니어치과의원,2,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,소아진료 영유아구강검진 소아교정,,0.331294,0.225652,0.339783,,0,-,-,,-,-,-
18,1591461297,바른플란트치과의원,1,283,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.218013,0.339206,,0,-,-,,-,-,-
19,13237080,임윤식치과의원,4,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.217446,0.339164,,0,-,-,,-,-,-
20,1669107964,일산스마트치과의원,100,249,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,탄현치과 탄현임플란트 탄현사랑니 탄현턱관절 일산치과,,0.33134,0.213548,0.338887,,0,-,-,,-,-,-
21,1959363891,온유치과의원,141,225,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 소아진료 충치치료 심미보철,,0.331294,0.213761,0.338886,,0,-,-,,-,-,-
22,11482956,일산연치과의원,180,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,일산치과 치아교정 돌출입교정 부분교정 일산연치과,,0.33134,0.211946,0.338766,,0,-,-,,-,-,-
23,13237214,대화뿌리사랑치과의원,5,91,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,,,0.331294,0.21119,0.338692,,0,-,-,,-,-,-
24,35288050,e미소앤사랑니치과의원,49,265,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 수면치료 일산사랑니 일산치과,,0.33134,0.210252,0.338638,,0,-,-,,-,-,-
25,35503603,제이치과의원,301,381,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,탄현치과 일산치과 일산교정치과 일산임플란트,,0.33134,0.21001,0.33862,,0,-,-,,-,-,-
26,1025765283,유에스씨USC예인치과의원,137,431,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,후곡치과 주엽역치과 일산치과 일산역치과 일산야간진료치과,,0.33134,0.209797,0.338604,,0,-,-,,-,-,-
27,11547247,김충배치과의원,4,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.208499,0.338488,,0,-,-,,-,-,-
28,13237101,조민치과의원,0,255,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,,,0.331294,0.208385,0.33848,,0,-,-,,-,-,-
29,19517203,디오서울치과의원,77,229,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.204865,0.338214,,0,-,-,,-,-,-
30,1169108627,미소플러스치과의원,1,58,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,,,0.331294,0.204379,0.338177,,0,-,-,,-,-,-
31,11588782,서울스마일치과의원,4,122,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,일산 치과 대화역 임플란트 교정,,0.33134,0.203485,0.338127,,0,-,-,,-,-,-
32,36868102,참플란트치과의원,4,202,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 틀니 구강검진 소아치과진료,,0.33134,0.202521,0.338054,,0,-,-,,-,-,-
33,38264440,스타치과교정과치과의원,58,276,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,치아교정전문 교정과전문의 어린이교정 성인교정 청소년교정,,0.331294,0.20031,0.33787,,0,-,-,,-,-,-
34,13237160,연세부부치과의원,4,235,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.199658,0.337821,,0,-,-,,-,-,-
35,11699639,다인치과의원,183,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,네비게이션임플란트 디지털임플란트 오스템임플란트 임플란트재수술 상악동거상술,,0.331294,0.19862,0.337743,,0,-,-,,-,-,-
36,21849133,서울탑치과의원,22,149,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 라미네이트 사랑니 치과 정발산치과,,0.33134,0.195946,0.337558,,0,-,-,,-,-,-
37,13548150,아라치과의원,2,180,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.192332,0.337268,,0,-,-,,-,-,-
38,13237190,후곡치과의원,1,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,턱관절 스플린트 크라운 신경치료 임플란트,,0.331294,0.191713,0.337222,,0,-,-,,-,-,-
39,19527427,연세덴티플러스치과의원,1,255,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.19139,0.337197,,0,-,-,,-,-,-
40,19533140,메트로치과의원,2,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,돌출입교정 성인교정 수술교정 턱관절치료 코골이장치,,0.331294,0.190328,0.337117,,0,-,-,,-,-,-
41,12896544,아름다운미소치과의원,4,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,일요일진료심미보철의치스케일링,,0.331294,0.190199,0.337107,,0,-,-,,-,-,-
42,1390032533,의료법인사과나무의료재단,71,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.188295,0.336964,,0,-,-,,-,-,-
43,1655706112,바른서울치과의원,0,105,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,일산역치과 일산시장치과 임플란트,,0.33134,0.188048,0.336962,,0,-,-,,-,-,-
44,32330727,더고운치과의원,0,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,교정치과 임플란트치과 주엽치과 보철치과 턱관절,,0.33134,0.187973,0.336957,,0,-,-,,-,-,-
45,11690806,아름다운이치과의원,3,106,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,교정치과 설측교정 소아교정 성인교정,,0.33134,0.186691,0.33686,,0,-,-,,-,-,-
46,13237249,연세큐치과의원,3,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.180313,0.336361,,0,-,-,,-,-,-
47,13237920,우리치과의원,4,278,치과,건강의료>병원>병원의원>치과>치과-일반,4.23,,치과 일산치과 구강외과 임플란트 사랑니,,0.33134,0.1765,0.336091,,0,-,-,,-,-,-
48,13237144,서현치과의원,4,92,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,,,0.331294,0.175802,0.336021,,0,-,-,,-,-,-
49,13237148,강선치과의원,4,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.175419,0.335992,,0,-,-,,-,-,-
50,13237270,에이스치과의원,3,92,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,,,0.331294,0.174496,0.335922,,0,-,-,,-,-,-
