place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37070578,더바름 치과병원,2296,1203,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면마취임플란트 치아교정치과 앞니부분교정 인비절라인 치과공포증,,0.33134,0.480214,0.428529,,0.0,335.0,-1.0,,0.019447,-0.02211,0.00567
2,1808748843,연세꿈꾸는치과교정과의원 송파잠실점,1389,234,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실교정치과 인비절라인 송파투명교정 치아재교정 앞니부분교정,,0.33134,0.470194,0.427773,,0.0,104.0,6.0,,0.019447,-0.014605,0.006237
3,1680628161,더365치과의원,1610,682,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실치과 잠실임플란트 잠실새내역치과 일요일치과 365치과,,0.33134,0.459059,0.426932,,4.0,175.0,3.0,,0.019447,0.062397,0.012048
4,1271363073,서울오브치과병원,1901,557,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파구치과 구강악안면외과전문의 치과병원 임플란트 야간진료치과,,0.33134,0.468706,0.425329,,0.0,179.0,36.0,,0.019447,0.000356,0.007365
5,37165486,서울이오스치과교정과치과의원,2095,277,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,교정치과 치아교정 돌출입교정 주걱턱교정 클리피씨교정,,0.33134,0.430051,0.424743,,0.0,209.0,1.0,,0.019447,0.001565,0.007457
6,11879319,연세하이디치과의원,2583,675,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,잠실치과 잠실새내치과 송파구치과 임플란트 잠실라미네이트,,0.33134,0.417505,0.423796,,0.0,285.0,8.0,,0.019447,0.017907,0.00869
7,21016712,연세우리치과의원,867,283,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,치아교정 임플란트 교정전문의 투명교정 부분교정,,0.331294,0.382193,0.421114,,1.0,0.0,0.0,,0.019447,-0.004901,0.006969
8,12023243,미앤미치과의원,975,152,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,잠실임플란트 잠실충치 잠실사랑니 통합치의학과전문의 잠실스케일링치과,,0.33134,0.372927,0.420432,,0.0,84.0,0.0,,0.019447,-0.024903,0.00546
9,1278149479,잠실서울치과의원,955,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,잠실새내치과 잠실치과 잠실새내임플란트 잠실소아진료치과 잠실토요일진료치과,,0.33134,0.342594,0.418142,,0.0,0.0,3.0,,0.019447,-0.010234,0.006566
10,19524571,강주일치과의원,6,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,임플란트 교정 심미치료 틀니수리 사랑니발치,,0.331294,0.339577,0.417898,Hot,21.0,0.0,0.0,,0.019447,0.108993,0.015565
11,1259307268,서울0.1치과의원,2907,712,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,송파치과 잠실치과 무절개임플란트 일요일치과 방이동임플란트,,0.33134,0.489119,0.416593,,0.0,313.0,25.0,,0.019447,0.001956,0.007486
12,1561051139,연세굿플란트치과의원 잠실송파본점,5636,1484,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,사랑니 수면임플란트 라미네이트 송파치과 치과,,0.33134,0.44945,0.414557,,2.0,787.0,17.0,,0.019447,0.007971,0.007941
13,13587349,서울튼튼키즈치과소아치과의원,569,530,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,인비절라인퍼스트 프리올소 잠실어린이치과 잠실소아치과 소아치과전문의2인진료,,0.33134,0.293386,0.414429,,2.0,0.0,8.0,,0.019447,0.012543,0.008286
14,38309781,123치과교정과치과의원,134,389,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,비수술무턱교정 비수술주걱턱교정 재교정수술교정 턱관절질환교정치료 잠실치아교정치과,,0.33134,0.290557,0.414215,,2.0,0.0,0.0,,0.019447,0.013502,0.008358
15,1031177383,위키즈주니어치과의원,165,178,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잠실소아치과 영유아검진 소아교정 소아충치치료 리센츠치과,,0.33134,0.279134,0.413353,,2.0,0.0,3.0,,0.019447,0.009533,0.008058
