place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,19513754,장수치과의원,0,33,치과,건강의료>병원>병원의원>치과>치과-일반,4.15,,장수치과 장수읍치과,,0.341335,0.150929,0.328876,,0,-,-,,-,-,-
2,13266255,성모치과의원,2,48,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,,,0.331294,0.156442,0.325503,,0,-,-,,-,-,-
3,13266230,열린치과의원,1,28,치과,건강의료>병원>병원의원>치과>치과-일반,3.79,,,,0.331294,0.146037,0.324718,,0,-,-,,-,-,-
4,1104091549,우리치과의원,1,19,치과,건강의료>병원>병원의원>치과>치과-일반,3.92,,,,0.331294,0.098171,0.321105,,0,-,-,,-,-,-
5,13266256,장계치과의원,1,4,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.092859,0.320704,,0,-,-,,-,-,-
6,1338967702,장계의료복지사회적협동조합,0,6,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.060953,0.318296,,0,-,-,,-,-,-
7,11668081,장수군보건의료원,4,173,보건소,건강의료>병원>보건소>보건소-일반,4.29,,,,0.0,0.262379,0.208481,,0,-,-,,-,-,-
8,13266280,진안치과의원,1,23,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.169692,0.137824,,0,-,-,,-,-,-
9,1884610357,서울고은치과의원,1,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진안치과 무진장치과 임플란트 구강검진 틀니,,0.33134,0.161648,0.137234,,0,-,-,,-,-,-
10,1725302071,문치과의원,0,11,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.134768,0.135188,,0,-,-,,-,-,-
11,1053328117,연합마이치과의원,0,12,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.117687,0.133899,,0,-,-,,-,-,-
12,2077118870,바른치과의원,0,0,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.102718,0.132769,,0,-,-,,-,-,-
13,19518881,인월치과의원,1,2,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.078589,0.130948,,0,-,-,,-,-,-
14,13267254,산동면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.091955,0.00694,,0,-,-,,-,-,-
15,13267344,인월면보건지소,2,1,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.088961,0.006714,,0,-,-,,-,-,-
16,13267250,덕과면보건지소,0,0,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.06563,0.004953,,0,-,-,,-,-,-
17,13267252,아영면보건지소,0,9,보건지소,건강의료>병원>보건소>보건지소,0.0,,,,0.0,0.041111,0.003103,,0,-,-,,-,-,-
