place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21868775,미플란트치과의원 전주,2334,415,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,전주치과 전주임플란트치과 매복사랑니발치치과 전주라미네이트 치아미백스케일링,,0.33134,0.491904,0.459517,,4.0,454.0,0.0,,0.019447,0.015583,-0.000542
2,1480804216,서울준플란트치과의원 전주,2040,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,전주치아교정치과 전주매복사랑니발치 전주턱관절치과 전주수면임플란트 틀니보철심미치료,,0.33134,0.485777,0.459055,,0.0,281.0,0.0,,0.019447,-0.014244,-0.002793
3,1562191676,그랜드치과의원 전주,2798,163,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,전주치과 전주무삭제라미네이트 뼈이식3D네비게이션임플란트 사랑니발치틀니보철치료 앞니치아미백,,0.33134,0.474011,0.458167,,3.0,311.0,1.0,,0.019447,0.003835,-0.001428
4,1745271578,전주365치과의원,1684,738,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주완산구치과 전주임플란트치과 전주충치치료치과 전주완산구임플란트치과,,0.33134,0.472211,0.458031,,3.0,142.0,18.0,,0.019447,0.004765,-0.001358
5,1390412461,전주이든치과의원,2255,89,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 전주임플란트치과 전주이든치과 전주야간치과,,0.33134,0.464575,0.457455,,3.0,730.0,-5.0,,0.019447,0.014662,-0.000611
6,36177594,보가치과의원 전주,3155,968,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,전주치과 전주임플란트치과 전주턱관절치과 전주어린이치과 전주완산구치과,,0.33134,0.441711,0.455729,,0.0,250.0,2.0,,0.019447,-0.078493,-0.007642
7,38296571,열정치과의원 전주,2622,633,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,전주임플란트 전주신시가지치과 전주치과 전주수면임플란트 전주사랑니,,0.33134,0.424442,0.454426,,0.0,101.0,4.0,,0.019447,-0.051882,-0.005633
8,1219223878,아이브치과의원,1174,366,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 에코시티치과 전주임플란트 전주사랑니 전주충치치료,,0.33134,0.424059,0.454397,,2.0,103.0,9.0,,0.019447,0.002068,-0.001562
9,1183448321,링크치과의원,3258,90,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전주치과 전주임플란트 임플란트 완산구치과 완산구보철치료,,0.33134,0.417756,0.453921,,0.0,222.0,2.0,,0.019447,-0.028414,-0.003863
10,13265587,미소심는치과의원,2201,615,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,전주치과 전주효자동치과 전주임플란트치과 전주신시가지치과 전주사랑니,,0.33134,0.41474,0.453694,,2.0,220.0,2.0,,0.019447,0.018882,-0.000292
