place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1746295173,정읍종로치과의원,50,48,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,정읍치과 정읍임플란트 정읍틀니 정읍임플란트치과 정읍무통마취주사치과,,0.33134,0.329692,0.392935,,0.0,0.0,0.0,,0.019447,-0.003448,0.007078
2,1158652688,서울보다치과의원,15,687,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,정읍치과 정읍임플란트 정읍교정치과 서울보다치과 정읍치아교정,,0.33134,0.284852,0.389551,,0.0,0.0,42.0,,0.019447,0.001561,0.007456
3,13266813,상동치과의원,1,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.229631,0.385366,,4.0,0.0,0.0,,0.019447,0.027622,0.009423
4,13266803,이편한치과,2,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,,,0.331294,0.226341,0.385118,,0.0,0.0,0.0,,0.019447,0.013628,0.008367
5,13266811,수성치과의원,1,123,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,,,0.331294,0.22508,0.385023,,0.0,0.0,0.0,,0.019447,0.013731,0.008375
6,13266753,정읍치과의원,2,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.341289,0.173619,0.38491,,0.0,0.0,0.0,,0.019448,0.009734,0.008073
7,36663053,미플란트치과의원,1,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니 임플란트 심미레진 스케일링,,0.331294,0.21365,0.38416,,0.0,0.0,0.0,,0.019447,0.011334,0.008194
8,13266757,이사랑부부치과의원,3,59,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 보험틀니 보험임플란트 심미보철 정읍치과,,0.33134,0.208138,0.383761,,1.0,0.0,0.0,,0.019447,0.01691,0.008615
9,34907307,더심플란트치과의원,86,151,치과,건강의료>병원>병원의원>치과>치과-일반,4.13,,정읍치과 정읍임플란트 정읍교정치과 고창치과 부안치과,,0.33134,0.20144,0.383256,,1.0,0.0,0.0,,0.019447,0.019116,0.008782
10,1925237394,청담연치과의원,2,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,임플란트 보철 충치 치과 미백,,0.33134,0.194952,0.382766,,0.0,0.0,1.0,,0.019447,0.001109,0.007422
11,36679196,한마음부부치과의원,0,161,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.188227,0.382241,,3.0,0.0,0.0,,0.019447,0.0272,0.009391
