place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1114906070,원플란트치과의원,472,333,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,임플란트_교정 신경치료_틀니 소아치과_충치 미백_턱관절 스케일링_사랑니,,0.33134,0.398419,0.469871,,0.0,56.0,0.0,,0.019447,0.031657,0.009922
2,1881493647,서울강남플란트치과의원,437,241,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천틀니 제천치과 제천임플란트 제천충치치료 제천사랑니,,0.33134,0.338344,0.465337,,0.0,4.0,5.0,,0.019447,0.016703,0.008794
3,1137978269,스타치과의원,1008,191,치과,건강의료>병원>병원의원>치과>치과-일반,3.99,,,,0.331294,0.298975,0.462348,,0.0,0.0,0.0,,0.019447,-0.006297,0.007057
4,37206764,종로미시간치과의원,57,819,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천치과 제천임플란트 제천사랑니 제천틀니 제천충치치료,,0.33134,0.252633,0.458868,,0.0,0.0,9.0,,0.019447,0.003763,0.007817
5,1697658647,스마일치과의원,8,169,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,치과 소아치과 임플란트 교정치과 사랑니,,0.33134,0.249003,0.458594,,0.0,0.0,0.0,,0.019447,0.011451,0.008397
6,13248589,우리치과의원,8,266,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.235844,0.457584,,1.0,0.0,0.0,,0.019447,0.014268,0.00861
7,1733919597,로이스치과의원,5,166,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,제천치아미백 제천턱관절 제천치과 제천임플란트 제천보철치료,,0.33134,0.22637,0.456886,,0.0,0.0,0.0,,0.019447,-0.008438,0.006896
8,13248627,올치과의원,60,205,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,,,0.331294,0.219449,0.456346,,0.0,0.0,0.0,,0.019447,0.000868,0.007598
9,1137098329,서울미소플란트치과의원,2,92,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,제천치과 제천임플란트 제천사랑니 제천충치,,0.33134,0.211073,0.455731,,1.0,0.0,0.0,,0.019447,0.003412,0.00779
10,1442666725,탑치과의원,1,131,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,제천치과 임플란트 교정 하소동치과,,0.33134,0.210829,0.455713,,2.0,0.0,0.0,,0.019447,0.00974,0.008268
