place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13581036,광화문광장치과의원 종로점,2070,155,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,광화문역치과 종로치과 종로인레이치과 광화문치과 광화문광장치과,,0.33134,0.439079,0.346851,,0.0,155.0,3.0,,0.019447,-0.000325,0.007314
2,12786716,연세고운미소치과의원,1853,1280,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,종로치과 임플란트 라미네이트 인레이 치아교정,,0.33134,0.426177,0.345878,,3.0,176.0,2.0,,0.019447,0.034682,0.009957
3,37003605,메이트치과의원,1346,864,치과,건강의료>병원>병원의원>치과>치과-일반,4.78,,충치치료 임플란트 치아교정 광화문치과 사랑니발치,,0.33134,0.415697,0.345087,,3.0,384.0,2.0,,0.019447,0.031592,0.009723
4,1248087137,더스퀘어치과의원,2608,1520,치과,건강의료>병원>병원의원>치과>치과-일반,4.77,,광화문치과 종로치과 광화문교정 광화문임플란트 광화문라미네이트,,0.33134,0.415076,0.34504,,0.0,201.0,3.0,,0.019447,0.021946,0.008995
5,11782693,종로밀레니엄치과의원,1154,425,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,종로치과 종각치과 종로임플란트 종로치아교정 광화문치과,,0.33134,0.392123,0.343307,,0.0,139.0,4.0,,0.019447,-0.007679,0.006759
6,19527085,서울대학교치과병원,484,1524,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.389734,0.34311,,1.0,0.0,1.0,,0.019447,0.012345,0.008271
7,34363156,연세그랑스마일치과의원,1292,1072,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,충치신경치료 종로치과 매복사랑니수술 종각치아교정 광화문임플란트,,0.33134,0.376858,0.342155,,0.0,70.0,2.0,,0.019447,-0.024751,0.00547
8,2008981843,서울새봄플란트치과,262,35,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 광화문치과 광화문심미치료 광화문충치치료 충치치료,,0.33134,0.362231,0.341052,,7.0,165.0,32.0,,0.019447,0.101894,0.015029
9,1612170508,서울사랑니치과의원,58,293,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,구강악안면외과 구강외과전문의 매복사랑니 사랑니발치 대학병원사랑니,,0.331294,0.35333,0.340362,,2.0,0.0,1.0,,0.019447,0.053774,0.011397
10,1481346137,서울제이치과의원,3628,308,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,대학로치과 혜화역치과 충치치료 치아교정 혜화동치과,,0.33134,0.345731,0.339806,,0.0,-22.0,1.0,,0.019447,-0.004137,0.007026
