place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,36782930,명동콤비치과의원,5691,2883,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,명동치과 치과 치아교정 임플란트 명동역치과,,0.33134,0.430231,0.385429,,0.0,109.0,18.0,,0.019447,-0.029434,0.005117
2,31336821,명동독일치과의원,985,46,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,명동치과 임플란트 치아교정 치아성형 보존_미백,,0.33134,0.428823,0.385323,,0.0,93.0,7.0,,0.019447,-0.018683,0.005929
3,33418182,센터원서울치과의원 을지로,2594,284,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,을지로치과 치아성형구강검진 매복사랑니발치 치아미백스케일링 네비게이션임플란트비용,,0.33134,0.418047,0.384509,,1.0,113.0,-1.0,,0.019447,0.001849,0.007478
4,1330721670,가디언즈치과의원 명동점,1360,668,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,명동치과 명동임플란트 명동치아교정 임플란트 치아교정,,0.33134,0.398734,0.383052,,0.0,105.0,5.0,,0.019447,-0.021858,0.005689
5,1179049979,서울하늘에치과의원,3213,818,치과,건강의료>병원>병원의원>치과>치과-일반,4.91,,수면임플란트치과 당일임플란트 명동전체임플란트 명동임플란트재수술 뼈이식임플란트,,0.33134,0.381745,0.381769,,0.0,281.0,3.0,,0.019447,-0.018091,0.005973
6,33373742,로이스명동치과의원,187,116,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,명동치과 명동임플란트 명동역임플란트 명동역치과 명동역사랑니,,0.33134,0.35941,0.380084,Hot,10.0,114.0,1.0,,0.019447,0.084071,0.013684
7,35242181,서울라인치과의원,1824,383,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,명동치과 명동역치과 수면치료 을지로치과 명동임플란트,,0.33134,0.345294,0.379018,,0.0,2.0,2.0,,0.019447,-0.008254,0.006715
8,11713665,덴티스타치과의원,1247,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,명동치과 명동임플란트 명동턱관절치료 충치신경치료 치주질환잇몸치료,,0.33134,0.343511,0.378884,,2.0,247.0,0.0,,0.019447,0.037775,0.01019
9,1020461547,서울바움치과의원,1172,702,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,시청역치과 시청치과 서울시청치과 시청역임플란트 시청역교정치과,,0.33134,0.337174,0.378406,,0.0,1.0,5.0,,0.019447,-0.004568,0.006994
10,13148712,행복한예인치과의원,264,392,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,치과보존과 임플란트 을지로치과 심미보철 시청역치과,,0.33134,0.315164,0.376745,,1.0,56.0,2.0,,0.019447,0.018901,0.008766
