place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1616140601,서울일등치과의원,1359,251,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사가정역치과 면목동치과 중랑구임플란트 사랑니발치 중랑구치과,,0.33134,0.471807,0.382529,,0.0,50.0,0.0,,0.019447,-0.002957,0.001078
2,1185355355,바른선택치과의원 중랑구,2552,837,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,중랑구치과 중랑구임플란트 중랑구매복사랑니발치 면목동구강검진 면목동치과,,0.33134,0.456453,0.38137,,1.0,247.0,-1.0,,0.019447,0.002539,0.001492
3,1859983935,새플란트치과의원 중랑점,2084,571,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,망우역치과 중랑구치과 임플란트 심미치료 턱관절치료,,0.33134,0.454823,0.381247,,0.0,110.0,2.0,,0.019447,-0.011943,0.0004
4,1259266664,중랑퍼스트치과의원,1263,107,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,중랑구치과 중랑구치아교정 중랑구임플란트 상봉동치과 상봉동임플란트,,0.33134,0.45027,0.380903,,0.0,121.0,1.0,,0.019447,0.007788,0.001888
5,37553492,서울이다움치과의원,1767,605,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,중랑구치과 중랑구임플란트 망우동야간진료치과 망우역사랑니발치 망우동충치치료,,0.33134,0.43814,0.379988,,1.0,223.0,0.0,,0.019447,0.013889,0.002349
6,1835439570,서울튼튼치과의원 중랑,3334,824,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,통합치의학과전문의 중랑구임플란트치과 중화동턱관절 중화역치아미백 매복사랑니발치,,0.33134,0.4294,0.379328,,0.0,-45.0,6.0,,0.019447,-0.003931,0.001004
7,1145980198,닥터굿플란트치과의원 중랑,1742,226,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,망우동치과 망우동임플란트 면목역치과 중랑구사랑니 망우동야간진료치과,,0.33134,0.416966,0.37839,,0.0,279.0,9.0,,0.019447,0.006158,0.001766
8,1343395558,아름미소치과의원,1377,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,임플란트틀니 치아교정치과 충치치료 스케일링 턱관절치료,,0.33134,0.376728,0.375353,,1.0,78.0,0.0,,0.019447,0.013552,0.002324
9,1563026481,서울공감치과의원,1810,307,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,디지털임플란트 스케일링구강검진 매복사랑니발치 어린이치아교정치과 중랑구치과,,0.33134,0.365513,0.374507,,3.0,243.0,3.0,,0.019447,0.031565,0.003683
10,241241116,고마운치과의원,811,667,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,중랑구치과 뼈이식3D네비게이션임플란트 투명교정 매복사랑니발치 앞니치아미백,,0.33134,0.359738,0.374071,,3.0,269.0,2.0,,0.019447,0.028916,0.003483
11,1363120373,연세위드치과의원 상봉점,1026,288,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,상봉역치과 상봉치과 상봉교정 상봉임플란트 중랑구치과,,0.33134,0.357357,0.373891,,0.0,78.0,6.0,,0.019447,0.00056,0.001343
12,34761459,태미안치과의원,725,418,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정치과 매복사랑니발치 턱관절스플린트 임플란트틀니 치아미백,,0.33134,0.346442,0.373067,,0.0,40.0,0.0,,0.019447,-0.021225,-0.000301
13,1245789752,서울홍치과의원,636,683,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,중랑구치과 상봉역치과 임플란트 중랑구임플란트 수면치과,,0.33134,0.345107,0.372967,,0.0,10.0,3.0,,0.019447,-0.001873,0.00116
14,37438446,서울갤러리치과의원,211,324,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,중랑구치과 면목동치과 면목역치과 동원사거리치과 면목동임플란트,,0.33134,0.343734,0.372863,,1.0,47.0,6.0,,0.019447,0.036147,0.004029
