place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,35562891,한그루치과의원,1775,944,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,진주치과 진주임플란트 진주임플란트치과 진주사랑니발치 진주수면치과,,0.33134,0.4134,0.421925,,0.0,88.0,2.0,,0.019447,-0.002919,0.007118
2,1199622446,리더플란트치과의원 진주,1184,279,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주신경치료 야간진료 진주사랑니,,0.33134,0.399712,0.420892,,1.0,118.0,-1.0,,0.019447,0.013404,0.00835
3,1058718941,365한결치과의원,520,367,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면치과치료 무통마취 자연치아보존 원데이보철 진주혁신치과,,0.33134,0.380808,0.419465,,2.0,35.0,3.0,,0.019447,0.004213,0.007656
4,1721500172,치아살리기드림365치과의원,980,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,혁신도시 신경치료 심미치료 임플란트 야간,,0.331294,0.37195,0.41878,,0.0,223.0,5.0,,0.019401,-0.021452,0.005703
5,1608286180,청심플란트치과의원,2859,560,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주사랑니 진주충치 진주수면임플란트,,0.33134,0.367462,0.418458,,0.0,76.0,12.0,,0.019447,-0.016164,0.006119
6,1122758306,가지런이치과 교정과 치과의원,311,132,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,진주교정치과 진주턱관절치료 진주소아청소년교정 진주성인치아교정 진주인비절라인,,0.33134,0.321006,0.414952,,0.0,2.0,0.0,,0.019447,-0.003296,0.00709
7,1209413498,365우리들치과병원,230,750,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치 진주치과 진주사랑니 진주임플란트,,0.33134,0.310747,0.414178,,0.0,11.0,24.0,,0.019447,-0.006339,0.00686
8,19985296,진주쥬니어치과의원,17,634,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.307152,0.413889,,2.0,1.0,0.0,,0.019447,0.02908,0.009533
9,12761797,진주예치과의원,177,211,치과,건강의료>병원>병원의원>치과>예치과,4.27,,임플란트 고급보철 심미보철 충치신경치료 턱관절치과,,0.33134,0.299384,0.41332,Hot,37.0,105.0,1.0,,0.019447,0.111041,0.015719
10,1573275460,아이봄치과의원,21,198,치과,건강의료>병원>병원의원>치과>치과-일반,4.2,,진주_어린이_치과 진주_소아치과 평거동_어린이_치과 평거동_소아치과 진주_아이봄_치과,,0.33134,0.287178,0.412399,,1.0,0.0,0.0,,0.019447,0.012009,0.008245
11,1770026346,진주제일치과의원,17,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,진주치과 제일치과 진주사랑니발치 진주임플란트,,0.33134,0.286159,0.412322,,0.0,0.0,1.0,,0.019447,0.001139,0.007425
12,1014443908,로이스치과의원,77,79,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주중앙동치과 진주턱관절치료 매복사랑니발치,,0.33134,0.281222,0.411949,,0.0,0.0,4.0,,0.019447,-0.011527,0.006468
13,1002487245,연세하우치과교정과치과의원,111,230,치과,건강의료>병원>병원의원>치과>치과-일반,4.32,,진주치과 진주치아교정 진주교정치과 진주본성동치과 본성동치과,,0.33134,0.274254,0.411424,,0.0,7.0,0.0,,0.019447,0.000532,0.007379
14,11735816,미르치과병원,30,497,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,진주 치과 임플란트 보철치료 턱관절,,0.33134,0.266185,0.410815,,0.0,0.0,1.0,,0.019447,-0.003625,0.007066
15,1175330520,혁신치과의원,8,155,치과,건강의료>병원>병원의원>치과>치과-일반,4.26,,교정치료 소아치료 임플란트 보철치료 충치치료,,0.331294,0.257314,0.410128,,4.0,1.0,0.0,,0.019447,0.011184,0.008183
16,13111546,진주어린e치과의원,11,190,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,진주어린이치과 진주소아치과 진주어린이충치 진주소아충치 어린이충치치료,,0.33134,0.248431,0.409475,,4.0,0.0,1.0,,0.019447,0.006479,0.007828
17,1478566921,심플라인치과의원,594,465,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,임플란트 진주치과 수면임플란트 일요일진료치과 치아미백,,0.33134,0.247825,0.409429,,4.0,0.0,0.0,,0.019447,0.009805,0.008079
18,523916749,서울수치과의원,5,117,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,치과 임플란트 심미보철 소아교정 성인교정,,0.33134,0.245729,0.409271,,0.0,0.0,0.0,,0.019447,-0.001633,0.007216
19,303150431,바른마음치과의원 진주,99,1120,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,진주치과 진주임플란트 진주교정치과 진주치아교정 초전동치과,,0.33134,0.24507,0.409221,,0.0,0.0,1.0,,0.019447,-0.001912,0.007194
20,1164049280,이바로치과의원,143,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,평거동치과 진주임플란트 진주교정치과 진주치아교정 진주구강검진,,0.33134,0.243435,0.409098,,0.0,2.0,0.0,,0.019447,-0.005667,0.006911
21,12915711,바른이치과의원,488,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,진주교정치과 진주교정 진주치과 진주치아교정 진주교정전문,,0.33134,0.24081,0.4089,,0.0,0.0,0.0,,0.019447,-0.021342,0.005728
22,13261488,고운이치과의원,5,97,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,통합치의학과,,0.331294,0.240853,0.408886,,3.0,0.0,0.0,,0.019447,0.017296,0.008645
23,1283696129,진주타임치과의원,9,76,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,진주임플란트 진주치과 가좌동치과 가좌동임플란트 진주가좌동치과,,0.33134,0.239822,0.408825,,0.0,0.0,0.0,,0.019447,-0.024056,0.005523
24,1758665086,진주50플러스치과의원,118,151,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주임플란트 진주치과 칠암동치과 칠암동임플란트 임플란트,,0.33134,0.238036,0.40869,,0.0,10.0,4.0,,0.019447,0.011604,0.008214
25,38549197,청아치과의원,9,252,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,진주 치과 혁신도시 임플란트 세종빌딩,,0.33134,0.234708,0.408439,,0.0,0.0,0.0,,0.019447,-0.000381,0.00731
26,13261567,다정한부부치과의원,3,164,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,,,0.331294,0.231978,0.408216,,0.0,0.0,0.0,,0.019447,-0.00384,0.007049
27,1359592334,서울현치과의원,90,252,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주치과 진주임플란트 진주사랑니 구강악안면외과전문의 진주턱관절,,0.33134,0.224638,0.407679,,0.0,0.0,22.0,,0.019447,0.007414,0.007898
28,1961858119,예쁜미소치과교정과치과의원,6,43,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진주교정치과 진주혁신치과 치아교정 구강검진 부정교합,,0.33134,0.221817,0.407466,,0.0,0.0,0.0,,0.019447,0.000718,0.007393
29,13261614,혁신센트럴치과의원,4,152,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구여환섭치과 혁신센트럴치과,,0.33134,0.218025,0.40718,,3.0,0.0,0.0,,0.019447,0.011575,0.008212
30,37266771,길치과의원 진주점,4,75,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,진주치과 진주초전동치과 진주임플란트 진주치아교정 진주앞니치료,,0.33134,0.217899,0.40717,,0.0,0.0,0.0,,0.019447,0.001734,0.007469
31,13261478,소망치과의원,2,159,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.217506,0.407123,,6.0,0.0,0.0,,0.019447,0.01997,0.008845
32,13078161,튼튼치과의원,7,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,진주치과 크라운 임플란트 스케일링 치과,,0.33134,0.216429,0.407059,,4.0,0.0,1.0,,0.019447,0.018639,0.008745
33,20150068,역전뿌리깊은치과의원,31,92,치과,건강의료>병원>병원의원>치과>치과-일반,4.37,,진주치과 진주가좌동치과 충치치료 임플란트 신진주역치과,,0.33134,0.216085,0.407033,,0.0,1.0,3.0,,0.019447,0.00959,0.008062
34,11635262,미치과의원,2,150,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.214696,0.406911,,0.0,0.0,0.0,,0.019447,0.009911,0.008086
35,1723963067,손치과교정과치과보철과치과의원,2,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.24,,,,0.331294,0.214223,0.406876,,9.0,0.0,0.0,,0.019447,0.023387,0.009104
36,19533787,복음치과의원,59,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,평거동치과 친절한치과 신안동치과 진주치과 복음병원치과,,0.33134,0.211874,0.406716,Hot,15.0,1.0,0.0,,0.019447,0.028273,0.009473
37,1145221081,성모바른치과의원,3,33,치과,건강의료>병원>병원의원>치과>치과-일반,4.92,,진주_ 혁신치과_ 임플란트_ 소아치료_ 보철치료_,,0.33134,0.207904,0.406416,,5.0,0.0,0.0,,0.019447,0.013065,0.008325
38,1502254132,진주품은치과의원,2,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,사랑니 임플란트 보험임플란트 충치치료 진주치과,,0.33134,0.20779,0.406407,,0.0,0.0,0.0,,0.019447,0.010518,0.008132
39,11784513,하얀미소치과의원,8,179,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,진주교정치과 교정전문 진주교정 교정치과 치과교정전문,,0.33134,0.206685,0.406324,,0.0,0.0,0.0,,0.019447,-0.008558,0.006693
40,1572758163,고운선치과의원,2,93,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,,,0.331294,0.206273,0.406276,,0.0,0.0,0.0,,0.019447,0.004629,0.007688
41,19520634,하얀니치과의원,1,99,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.205752,0.406236,,0.0,0.0,1.0,,0.019447,0.008752,0.007999
42,13261410,김법환치과의원,4,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.203955,0.406101,,8.0,1.0,0.0,,0.019447,0.019623,0.00882
43,1458764716,이튼튼치과의원,1,53,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,치과 구강검진 스케일링 충치치료,,0.33134,0.202162,0.405983,,5.0,0.0,0.0,,0.019447,0.016828,0.008609
44,13261408,김호치과의원,1,171,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.200069,0.405807,Hot,29.0,0.0,1.0,,0.019447,0.038466,0.010241
