place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21025586,진해라온치과병원,315,412,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,치과 임플란트 진해치과 창원치과 사랑니,,0.33134,0.405697,0.389615,,0,-,-,,-,-,-
2,15392255,창원진해미소가득치과의원,199,1315,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진해치과 진해임플란트 진해석동치과 진해치아교정 인비절라인,,0.33134,0.379488,0.387637,,0,-,-,,-,-,-
3,1919393036,365바른치과의원 진해 자은점,254,1598,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진해치과 진해야간치과 진해일요일치과 진해임플란트 진해석동치과,,0.33134,0.340755,0.384714,,0,-,-,,-,-,-
4,11859320,온치과병원 창원진해,103,1091,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 진해치과 임플란트 틀니 치아교정,,0.33134,0.302707,0.381842,,0,-,-,,-,-,-
5,38502834,연세모먼트치과병원,13,613,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 치아교정 잇몸치료 심미보철 사랑니발치,,0.331294,0.286859,0.380629,,0,-,-,,-,-,-
6,21560356,진해어린이치과의원,72,268,치과,건강의료>병원>병원의원>치과>치과-일반,4.51,,진해어린이치과 어린이치과 소아치과전문의 소아치과,,0.33134,0.283313,0.380378,,0,-,-,,-,-,-
7,13260725,연치과의원,687,295,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,진해치과 임플란트 진해어린이치과 충치잇몸치료 매복사랑니발치,,0.33134,0.276408,0.379857,,0,-,-,,-,-,-
8,1010609874,남문중앙치과의원,104,93,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남문동치과 웅동치과 웅천치과 임플란트 턱관절치료,,0.33134,0.251545,0.377981,,0,-,-,,-,-,-
9,1858739739,서울다본치과의원,62,215,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,진해치과 진해임플란트 진해사랑니 진해스케일링 진해신경치료,,0.33134,0.247292,0.37766,,0,-,-,,-,-,-
10,13260821,용원치과의원,3,127,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.242333,0.377268,,0,-,-,,-,-,-
11,1835636777,애플란트치과의원 진해점,61,184,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,임플란트 스케일링 진해치과 창원치과 용원치과,,0.33134,0.241926,0.377255,,0,-,-,,-,-,-
12,652625048,정다운치과의원,12,395,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,소아치료 임플란트 심미보철 보험틀니 진해치과,,0.33134,0.237372,0.376911,,0,-,-,,-,-,-
13,31699917,정부부치과의원,0,111,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.236533,0.376831,,0,-,-,,-,-,-
14,38490770,진해에이스치과의원,3,292,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,임플란트 치아교정 소아진료 심미보철 사랑니발치,,0.331294,0.2312,0.376428,,0,-,-,,-,-,-
15,13260707,하나치과의원,1,167,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,,,0.331294,0.230324,0.376362,,0,-,-,,-,-,-
16,1099504293,남문치과의원,3,109,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,남문치과 남문임플란트 남문검진 남문충치 진해남문치과,,0.33134,0.228564,0.376246,,0,-,-,,-,-,-
17,19527893,진해웰치과의원,1,51,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.223356,0.375836,,0,-,-,,-,-,-
18,13021328,애플치과의원,4,174,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.222649,0.375783,,0,-,-,,-,-,-
19,13260690,서울경희치과의원,3,203,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,치의학박사 치과 1인원장,,0.33134,0.221011,0.375676,,0,-,-,,-,-,-
20,13260810,아름치과의원,2,30,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,,,0.331294,0.219033,0.37551,,0,-,-,,-,-,-
21,20400306,명성치과의원,1,78,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,,,0.331294,0.210114,0.374837,,0,-,-,,-,-,-
22,19534723,황성수치과의원,1,253,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.206974,0.3746,,0,-,-,,-,-,-
23,1056343798,참조은치과의원,1,173,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,진해치과 석동치과 임플란트치과 심미보철 구강검진,,0.33134,0.202113,0.37425,,0,-,-,,-,-,-
24,13260772,공진철치과의원,10,140,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,무절개임플란트 매직코어임플란트 IBS임플란트 임플란트 스케일링,,0.331294,0.200097,0.374081,,0,-,-,,-,-,-
25,13260710,김묵세치과의원,4,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,,,0.331294,0.19987,0.374064,,0,-,-,,-,-,-
26,1812600177,안종우통합치과의원,1,49,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,석동 진해치과 진해임플란트 진해교정 석동치과,,0.33134,0.191951,0.373483,,0,-,-,,-,-,-
27,12824376,진해센텀치과,2,133,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,잇몸재생 충치치료 신경치료 틀니 임플란트,,0.331294,0.191225,0.373411,,0,-,-,,-,-,-
28,21698603,흰돌치과의원,1,45,치과,건강의료>병원>병원의원>치과>치과-일반,4.22,,,,0.331294,0.187222,0.373109,,0,-,-,,-,-,-
29,13260661,행복한치과의원,5,111,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트,,0.331294,0.1774,0.372368,,0,-,-,,-,-,-
30,1536713838,서울플란트치과의원,1,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.95,,창원임플란트 진해치과 진해임플란트 창원사랑니 자체기공소운영,,0.33134,0.176169,0.372292,,0,-,-,,-,-,-
31,1211158025,수민치과의원,6,63,치과,건강의료>병원>병원의원>치과>치과-일반,4.18,,임플란트 심미보철 치주치료 보험틀니 보철치료,,0.331294,0.174106,0.372119,,0,-,-,,-,-,-
32,13260776,진해치과의원,56,153,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,진해치과 임플란트 틀니 무절개임플란트 진해사랑니,,0.33134,0.171654,0.371951,,0,-,-,,-,-,-
33,13260809,기분좋은치과의원,1,85,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.170963,0.371882,,0,-,-,,-,-,-
34,1076661620,벚꽃치과의원,170,65,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,진해치과 임플란트 틀니 심미보철 석동치과,,0.33134,0.170197,0.371841,,0,-,-,,-,-,-
35,13260773,우진오치과의원,2,192,치과,건강의료>병원>병원의원>치과>치과-일반,4.3,,,,0.331294,0.16646,0.371542,,0,-,-,,-,-,-
