place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1188756609,월드플란트치과의원 창원,413,62,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 임플란트 상남동치과 사랑니발치 치아미백,,0.33134,0.48487,0.440873,,5.0,4.0,1.0,,0.019447,0.029561,0.012588
2,1655359619,365바른치과의원 창원 유니시티점,2009,1898,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 창원치과 창원임플란트 창원중동치과 의창구치과,,0.33134,0.471415,0.439858,,0.0,107.0,0.0,,0.019447,0.000582,0.010402
3,1359533278,365바른치과의원 창원 대방점,1919,839,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 창원임플란트치과 야간진료 주말공휴일진료 창원성산구치과,,0.33134,0.471398,0.439857,,0.0,153.0,-2.0,,0.019447,0.006422,0.010843
4,1782101700,온가주치과의원,1970,716,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,창원치과 야간진료 임플란트 틀니 무삭제라미네이트,,0.33134,0.465031,0.439376,,0.0,540.0,7.0,,0.019447,-0.003161,0.010119
5,1984780197,더앞선치과병원 창원,1989,3675,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 교정치과 투명교정 인비절라인 수면,,0.33134,0.464685,0.43935,,0.0,401.0,40.0,,0.019447,0.004541,0.0107
6,1719090943,서울연치과의원,1184,622,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,창원치과 임플란트 교정치과 치아교정 치과,,0.33134,0.455452,0.438653,,1.0,216.0,0.0,,0.019447,0.003377,0.010612
7,1922488563,화이트이치과의원 창원,2282,640,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,창원치과 창원임플란트 창원치아교정 창원교정치과 창원상남동치과,,0.33134,0.455424,0.438651,,0.0,329.0,-2.0,,0.019447,-0.009536,0.009638
8,11680526,램브란트치과병원 창원,2017,1093,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,창원치과 임플란트 치아미백 사랑니발치 치아교정,,0.33134,0.44395,0.437785,,0.0,202.0,5.0,,0.019447,0.003821,0.010646
9,1147333438,스마트365치과의원 창원중동점,2707,889,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,야간진료치과 창원치과 창원임플란트 창원중동치과,,0.33134,0.434813,0.437095,,0.0,154.0,17.0,,0.019447,-0.004493,0.010018
10,1055604627,정직한치과의원 창원상남동본점,2800,530,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,창원치과 상남동치과 임플란트 라미네이트 치아교정,,0.33134,0.418062,0.435831,,1.0,317.0,3.0,,0.019447,0.014708,0.011467
11,36212729,서울오치과의원 창원,1479,560,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,감계치과 북면치과 창원치과 창원임플란트 창원교정치과,,0.33134,0.415755,0.435657,,1.0,80.0,5.0,,0.019447,0.01298,0.011337
12,21025586,진해라온치과병원,315,412,치과,건강의료>병원>병원의원>치과>치과-일반,4.33,,치과 임플란트 진해치과 창원치과 사랑니,,0.33134,0.405697,0.434898,Hot,25.0,200.0,0.0,,0.019447,0.126027,0.019869
13,1957606740,이루다치과의원 창원,1769,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,창원치과 창원임플란트 창원치아미백 창원충치치료 창원스케일링,,0.33134,0.399489,0.434429,,1.0,103.0,1.0,,0.019447,0.006287,0.010832
