place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,629854399,서울베스트치과의원,3546,895,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 치아교정 임플란트 충치 사랑니,,0.33134,0.474328,0.466102,,0.0,304.0,-1.0,,0.019447,-0.013632,0.00631
2,1433406943,우리가족치과의원,2198,1664,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,천안치과 불당동치과 신불당치과 천안임플란트 천안야간진료,,0.33134,0.471032,0.465854,,1.0,96.0,27.0,,0.019447,0.004906,0.007709
3,1038258961,맘애든어린이치과의원,1945,423,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,천안어린이치과 천안소아치과 영유아구강검진 천안키즈치과 천안인비절라인,,0.33134,0.464185,0.465337,,2.0,202.0,19.0,,0.019447,0.003377,0.007594
4,1793265745,샤인이치과의원 천안,2353,248,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,매복사랑니당일발치 충치신경보존치료 무통마취치과 임플란트염증재수술 천안치과,,0.33134,0.459087,0.464952,,0.0,120.0,2.0,,0.019447,-0.012287,0.006411
5,1445804238,스마트플란트치과의원,4028,1299,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 신부동치과 신부동임플란트 임플란트,,0.33134,0.453477,0.464529,,0.0,402.0,13.0,,0.019447,-0.00976,0.006602
6,1541238930,불당본점 서울비디치과의원,2365,5852,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,임플란트 교정치과 인비절라인 수면임플란트 충치치료,,0.33134,0.451198,0.464357,,1.0,120.0,51.0,,0.019447,0.019419,0.008805
7,1627320775,서울니어치과의원 천안,4119,655,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,천안치과 네비게이션디지털임플란트치료 3D상악동뼈이식임플란트 라미네이트심미보철치료 충치잇몸신경치아교정,,0.33134,0.44627,0.463985,,0.0,302.0,1.0,,0.019447,0.009795,0.008078
8,1201636169,바른탑치과의원,1622,510,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 두정동치과 임플란트 치아교정 사랑니발치,,0.33134,0.430828,0.462819,,0.0,192.0,0.0,,0.019447,0.009714,0.008072
9,21428851,열린치과병원,1145,1339,치과,건강의료>병원>병원의원>치과>치과-일반,4.72,,천안치과 불당동치과 천안임플란트 신불당치과 천안불당동치과,,0.33134,0.418546,0.461892,,0.0,8.0,4.0,,0.019447,0.003387,0.007594
10,1793845693,천안365치과의원,957,866,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 천안사랑니 천안야간진료,,0.33134,0.395691,0.460168,,1.0,103.0,35.0,,0.019447,0.009396,0.008048
11,19747952,365아홉가지약속치과의원,834,1602,치과,건강의료>병원>병원의원>치과>치과-일반,4.28,,임플란트 투명교정 수면임플란트 라미네이트 천안치과,,0.33134,0.392419,0.459921,,0.0,43.0,6.0,,0.019447,0.001572,0.007458
12,21667183,단국대학교치과대학병원,151,375,치과,건강의료>병원>병원의원>치과>치과-일반,4.19,,단국대학교치과병원 단국대치대병원 단국대치과병원 천안치과병원,,0.33134,0.386841,0.4595,,0.0,1.0,2.0,,0.019447,0.004466,0.007676
13,20749063,천안영플란트치과의원,679,119,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,신부동치과 부분틀니 사랑니발치 천안치과 임플란트,,0.33134,0.362408,0.457656,Hot,13.0,189.0,0.0,,0.019447,0.076099,0.013082
14,116078163,청당 앤 미소치과의원,573,241,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,청당동치과 천안치과 청당동사랑니 청당동스켈링 천안임플란트,,0.33134,0.35681,0.457233,,0.0,38.0,2.0,,0.019447,0.001923,0.007484
15,1053846986,행복플란트치과의원,1300,243,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,불당동치과 아산치과 임플란트 매복사랑니발치 치아교정치과,,0.33134,0.350149,0.45673,,0.0,29.0,1.0,,0.019447,0.003212,0.007581
16,1277527528,진플란트치과의원,300,165,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 청당동치과 임플란트 주말진료 공휴일진료,,0.33134,0.341635,0.456088,,0.0,8.0,0.0,,0.019447,0.002303,0.007513
17,822219438,아홉가지약속백석치과의원,112,975,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치아교정 임플란트 심미보철 치아미백 충치치료,,0.331294,0.337445,0.455754,,1.0,0.0,2.0,,0.019447,0.006638,0.007839
18,1654514637,한림홍치과의원,852,208,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,신부동임플란트 충치치료 사랑니발치 스케일링 잇몸치료,,0.331294,0.337016,0.455722,,2.0,71.0,1.0,,0.019447,0.021665,0.008974
19,1666932397,새늘치과의원,474,115,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,구성동치과 원성동치과 동남구치과 천안치과 청당동치과,,0.33134,0.333226,0.455453,,0.0,34.0,2.0,,0.019447,-0.003073,0.007107
20,1313541065,천안더맑은치과의원,1738,447,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 뼈이식임플란트 치아미백 심미치료 보철치료,,0.331294,0.322551,0.45463,,0.0,58.0,2.0,,0.019447,-0.012333,0.006408
21,11844416,참조은치과병원,56,1604,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,천안치과 신불당치과 천안임플란트 천안치아교정 천안소아치과,,0.33134,0.320293,0.454477,,0.0,0.0,199.0,,0.019447,0.015018,0.008472
22,1661042743,딩동댕꾸러기치과의원,38,206,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안어린이치과 천안소아치과 영유아구강검진 천안소아교정 투명교정,,0.33134,0.309743,0.453681,,2.0,1.0,0.0,,0.019447,0.020609,0.008894
23,12772165,문치과병원,50,865,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,임플란트 교정치과 천안치과 충치치료 턱관절,,0.33134,0.29698,0.452718,,0.0,0.0,3.0,,0.019447,0.006827,0.007854
24,1654408519,서울다시봄치과의원,326,252,치과,건강의료>병원>병원의원>치과>치과-일반,4.81,,천안치과 천안임플란트 불당동치과 천안장애인치과 천안수면치과,,0.33134,0.294618,0.452539,,0.0,7.0,0.0,,0.019447,-0.023111,0.005594
25,672785300,더보스톤치과병원 천안 불당,1015,2670,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,불당동치과 불당동임플란트 천안임플란트 천안교정치과 수면임플란트,,0.33134,0.294371,0.452521,,0.0,2.0,16.0,,0.019447,0.005655,0.007766
26,1679937052,삼아이치과의원,19,365,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,성성동치과 두정동치과 보존과전문의 신경치료 임플란트,,0.33134,0.287163,0.451977,,3.0,0.0,0.0,,0.019447,0.012111,0.008253
27,34664446,다나웰치과의원,133,615,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,치과 소아치과 보철치료 임플란트 치과전문의진료,,0.33134,0.284032,0.45174,,0.0,2.0,-6.0,,0.019447,-0.009567,0.006616
28,1420156402,두정서울비디치과의원,85,1498,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,임플란트 신경치료 치아복원 전체임플란트 디지털임플란트,,0.331294,0.28371,0.451699,,0.0,0.0,19.0,,0.019447,0.007734,0.007923
29,37355614,불당치과교정과치과의원,22,469,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,천안교정치과 불당동치과 천안치아교정 치과 교정,,0.33134,0.276869,0.4512,,0.0,0.0,4.0,,0.019447,0.000901,0.007407
30,1019322804,서울두정치과의원,179,529,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,두정역치과 두정동치과 천안임플란트 두정동임플란트 천안치과,,0.33134,0.275623,0.451106,,4.0,0.0,9.0,,0.019447,0.013895,0.008388
31,36398399,서울수석치과교정과치과의원,1569,829,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,교정치과 치아교정 교정전문의 인비절라인 투명교정,,0.33134,0.273553,0.45095,,0.0,6.0,14.0,,0.019447,0.007965,0.00794
32,1989967841,송하유승훈소아치과의원,7,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,천안소아치과 두정동소아치과 영유아구강검진 성성동어린이치과 단국대소아치과,,0.33134,0.271322,0.450781,Hot,15.0,0.0,1.0,,0.019447,0.026789,0.00936
33,1811608068,열린치과의원,363,1282,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 천안임플란트 천안사랑니 열린치과 쌍용동치과,,0.33134,0.271137,0.450767,,0.0,2.0,10.0,,0.019447,0.004579,0.007684
34,20095182,키즈웰치과의원,8,339,치과,건강의료>병원>병원의원>치과>치과-일반,4.16,,소아치과 영유아구강검진 어린이치과 어린이교정치과 유아치과,,0.33134,0.269823,0.450668,Hot,17.0,0.0,0.0,,0.019447,0.029444,0.009561
35,1490399944,두정자연치과의원,111,157,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,천안임플란트 천안치과 천안충치치료 두정동치과 임플란트,,0.33134,0.269377,0.450634,,6.0,0.0,2.0,,0.019447,0.019024,0.008774
36,234028657,더건강한치과의원,1011,343,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,천안사랑니 불당동치과 불당동임플란트 구강외과전문의 천안임플란트,,0.33134,0.26485,0.450293,,0.0,0.0,4.0,,0.019447,0.002396,0.00752
37,1632018607,CMC우성구강악안면외과치과의원,89,515,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안턱관절 천안구강악안면외과 수면임플란트 사랑니발치 코골이치료,,0.331294,0.262943,0.450132,,0.0,2.0,19.0,,0.019401,0.001872,0.007463
38,212830459,훈키즈치과의원,23,148,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,어린이치과 소아치과 교정치료 예방교정 수면치료,,0.33134,0.261222,0.450019,,7.0,0.0,1.0,,0.019447,0.016138,0.008557
39,13243718,디즈니치과의원,12,150,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,어린이치과 소아치과전문의 웃음가스진정요법 수면진정요법 성장교정,,0.33134,0.259986,0.449926,Hot,11.0,0.0,0.0,,0.019447,0.016674,0.008597
40,36797058,연세이라인치과교정과치과의원,9,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,교정치과 치아교정 돌출입교정 덧니교정 앞니부분교정,,0.33134,0.259905,0.44992,,0.0,0.0,0.0,,0.019447,0.006565,0.007835
41,36912433,연세편안한치과의원,30,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,천안치과 천안임플란트 임플란트 네비게이션임플란트 디지털임플란트,,0.33134,0.258269,0.449796,Hot,12.0,0.0,0.0,,0.019447,0.020129,0.008858
42,1276730820,여기치과의원,11,160,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성인앞니교정치료 사랑니발치 임플란트 성장기교정 비발치교정,,0.331294,0.257266,0.449703,,0.0,0.0,3.0,,0.019447,-0.006351,0.006859
43,13243830,최우창치과의원,11,21,치과,건강의료>병원>병원의원>치과>치과-일반,4.11,,,,0.331294,0.256857,0.449672,,0.0,0.0,0.0,,0.019447,0.008117,0.007951
44,36912423,쌍용치과의원,8,258,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,임플란트 치과 충치치료 지르코니아 치아교정,,0.33134,0.254504,0.449512,Hot,12.0,0.0,0.0,,0.019447,0.022452,0.009033
45,1011667394,서울강남플란트치과의원 천안점,109,56,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 앞니치료 충치치료 신경치료,,0.331294,0.253563,0.449424,,9.0,1.0,1.0,,0.019447,0.017632,0.00867
46,1958914561,더조은치과의원 천안,586,527,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,천안치과 풀아치임플란트 불당동치과 치아교정 전체임플란트,,0.33134,0.252973,0.449396,,0.0,0.0,1.0,,0.019447,-0.008155,0.006723
47,1745613015,생명나무치과의원,131,527,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 소아진료 청당동치과 청당동임플란트,,0.33134,0.252843,0.449387,,0.0,6.0,7.0,,0.019447,0.005148,0.007728
48,1246554574,턱앤사랑니치과의원,138,609,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,사랑니전문치과 턱관절치과 천안구강악안면외과 천안사랑니 사랑니발치,,0.33134,0.251058,0.449252,,1.0,2.0,7.0,,0.019447,0.007193,0.007882
49,36912425,바른이치과교정과치과의원 천안,880,199,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,교정치과 치아교정 소아교정 치과교정과 천안교정치과,,0.33134,0.248881,0.449088,,0.0,4.0,3.0,,0.019447,0.00396,0.007638
50,11595042,가온치과병원,161,1220,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,교정치과 치아교정 임플란트 충치치료 보철치료,,0.33134,0.246466,0.448905,,0.0,0.0,13.0,,0.019447,0.001977,0.007488
