place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,37885555,연세수치과의원,2018,1002,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치아교정 청주수면임플란트 청주율량치과 청주사랑니 청주충치치료,,0.33134,0.451383,0.34778,,0,-,-,,-,-,-
2,415039319,더바른플란트치과의원,396,225,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,청주치과 청주임플란트 주중동치과 율량동치과 율량임플란트,,0.33134,0.329312,0.338567,,0,-,-,,-,-,-
3,1274433257,오창다온치과의원,29,706,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오창치과 오창임플란트 오창사랑니 청주치과 옥산치과,,0.33134,0.292899,0.335819,,0,-,-,,-,-,-
4,13483626,엔젤미치과의원,371,468,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,오창치과 청주오창치과 오창임플란트 오창충치치료 오창사랑니,,0.33134,0.275737,0.334524,,0,-,-,,-,-,-
5,34917039,우리아이치과의원,8,389,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,소아치과 수면치료 어린이치과 성장기교정치료 외상치료,,0.33134,0.253159,0.33282,,0,-,-,,-,-,-
6,35608408,율량연세치과의원,4,289,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,,,0.331294,0.249973,0.332562,,0,-,-,,-,-,-
7,1461663524,오창어린이치과의원,8,335,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오창어린이치과 오창소아치과 진천어린이치과 증평어린이치과 옥산어린이치과,,0.33134,0.244289,0.33215,,0,-,-,,-,-,-
8,973550472,연세튼튼치과의원,4,395,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주보존과 청주충치치료 청주신경치료 청주임플란트 청주치아보존,,0.331294,0.240419,0.331841,,0,-,-,,-,-,-
9,37438252,서울수치과의원,49,212,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,임플란트 치아교정 심미보철 충치치료 소아치아치료,,0.331294,0.239334,0.331759,,0,-,-,,-,-,-
10,1379859507,오창더센트럴치과의원,7,41,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오창치과 사랑니 임플란트 충치치료 치과,,0.33134,0.231057,0.331152,,0,-,-,,-,-,-
11,11705429,굿모닝치과의원,6,454,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,,,0.331294,0.226126,0.330762,,0,-,-,,-,-,-
12,17485737,연세이탑치과의원,23,437,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 청주치과 오창치과 오창임플란트 오창2산단치과,,0.33134,0.224783,0.330678,,0,-,-,,-,-,-
13,13247551,꿈이있는치과의원,4,410,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,,,0.331294,0.220299,0.330322,,0,-,-,,-,-,-
14,11866970,해맑은치과의원,3,132,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,전문의 임플란트 심미보철 잇몸치료 치의학박사,,0.331294,0.219028,0.330226,,0,-,-,,-,-,-
15,35326235,김지용치과의원,7,130,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.217865,0.330139,,0,-,-,,-,-,-
16,37253869,우리편한치과의원,1,160,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.213632,0.329819,,0,-,-,,-,-,-
17,1984732294,송치과의원,2,127,치과,건강의료>병원>병원의원>치과>치과-일반,4.83,,청주_임플란트 청주_전문의_치과 사천동_치과 율량동_치과 내덕동_치과,,0.33134,0.212628,0.329761,,0,-,-,,-,-,-
