place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1198170782,디지털플란트치과의원,3283,1062,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 청주임플란트 청주365치과 청주수면임플란트 청주일요일치과,,0.33134,0.462431,0.452902,,4.0,330.0,47.0,,0.019447,0.020826,0.011022
2,1192020876,서울탑플란트치과의원 청주,2010,805,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 청주임플란트 수면임플란트 수면치과 사랑니발치,,0.33134,0.461883,0.45286,,1.0,474.0,8.0,,0.019447,0.014863,0.010571
3,37885555,연세수치과의원,2018,1002,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치아교정 청주수면임플란트 청주율량치과 청주사랑니 청주충치치료,,0.33134,0.451383,0.452068,,3.0,184.0,9.0,,0.019447,0.011614,0.010326
4,1460272105,청주웰치과의원,2729,1476,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,청주치과 청주임플란트치과 청주주말치과 수면임플란트 국가보훈병원,,0.33134,0.449928,0.451958,,3.0,292.0,3.0,,0.019447,0.011125,0.010289
5,1587443323,유안치과의원,1952,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,청주치과 임플란트 사랑니 턱관절 청주임플란트,,0.33134,0.448056,0.451817,,0.0,67.0,1.0,,0.019447,-0.05426,0.005355
6,35993204,서울좋은치과병원 청주,3861,1423,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치과 청주임플란트 치아교정 수면임플란트 수면치과,,0.33134,0.436173,0.45092,,0.0,446.0,13.0,,0.019447,-0.006136,0.008987
7,1591230154,365이강치과의원 청주,2594,258,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 상당구치과 임플란트 사랑니발치 365이강치과,,0.33134,0.424378,0.45003,,0.0,133.0,3.0,,0.019447,-0.042227,0.006263
8,1736715289,청주퍼스트 치과의원,448,1013,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주수면임플란트 청주치아교정 청주임플란트 청주치과 청주인비절라인,,0.33134,0.422126,0.44986,,2.0,200.0,19.0,,0.019447,0.016078,0.010663
9,34760019,새롬탑치과의원,876,215,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,사랑니치과 청주치과 임플란트 치아교정 사랑니발치,,0.33134,0.421288,0.449797,,7.0,199.0,0.0,,0.019447,0.060785,0.014038
10,11387884,에이라인치과병원,3136,1950,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,청주치과 청주교정치과 청주임플란트치과 청주충치치료 청주라미네이트,,0.33134,0.404691,0.448544,,0.0,223.0,14.0,,0.019447,-0.014053,0.008389
11,1370069115,바위치과의원 청주본점,789,1021,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 서원구치과 야간진료치과 임플란트 치아교정,,0.33134,0.404049,0.448496,,1.0,12.0,23.0,,0.019447,0.000863,0.009515
12,1981487593,가인치과의원,415,277,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 동남지구치과 임플란트 야간진료 주말진료,,0.33134,0.396763,0.447946,,1.0,18.0,0.0,,0.019447,0.01337,0.010459
13,13248163,서울튼튼치과의원,1117,1922,치과,건강의료>병원>병원의원>치과>치과-일반,4.36,,임플란트 사랑니발치 수면임플란트 충치치료 잇몸치료,,0.331294,0.38876,0.447325,,7.0,331.0,6.0,,0.019447,0.059454,0.013937
