place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1223257482,밸런스치과병원,3545,1669,치과,건강의료>병원>병원의원>치과>치과-일반,4.54,,판교치과 분당치과 판교치아교정 분당임플란트 성남치과,,0.33134,0.463483,0.403033,,0.0,97.0,5.0,,0.019447,-0.001429,0.007231
2,1869489818,서울린치과교정과의원,630,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,돌출입 부분교정 분당치아교정 분당교정치과 인비절라인치과,,0.33134,0.343804,0.394,,0.0,203.0,9.0,,0.019447,-0.016962,0.006058
3,1563160337,판교서울치과교정과치과의원,501,63,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치아교정 판교교정치과 판교치과 판교인비절라인 분당인비절라인,,0.33134,0.318623,0.3921,,1.0,51.0,1.0,,0.019447,0.017432,0.008655
4,1039688700,판교최용훈치과의원,19,84,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아재식술 치근단수술 최소삭제세라믹 신경치료최소화 치아살리기,,0.331294,0.312844,0.391646,,0.0,0.0,2.0,,0.019447,-0.004309,0.007013
5,1089760742,바른소아치과치과의원,9,202,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교어린이치과 판교소아치과 분당소아치과 분당어린이치과 성남소아치과,,0.33134,0.30108,0.390776,,1.0,0.0,0.0,,0.019447,0.013055,0.008324
6,1726132301,연세청춘치과의원,4291,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,임플란트 사랑니발치 보철치료 심미치료 교정치과,,0.33134,0.468562,0.390143,,0.0,-10.0,11.0,,0.019447,-4.3e-05,0.007336
7,13522384,판교어린이치과의원,27,104,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,어린이치과 소아치과 판교어린이치과 웃음가스 영유아구강검진,,0.33134,0.260325,0.3877,,0.0,0.0,0.0,,0.019447,-0.000971,0.007266
8,32628306,서울에펠치과의원,6,124,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,치과 임플란트 교정 충치치료 라미네이트,,0.33134,0.253155,0.387159,,0.0,0.0,0.0,,0.019447,-0.001493,0.007226
9,13234694,김진걸치과의원,249,354,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,판교치과 판교임플란트 판교치아교정 분당임플란트 잇몸이식,,0.33134,0.245158,0.386555,,0.0,0.0,1.0,,0.019447,-0.00619,0.006871
10,1885405554,연세가인치과의원,10,121,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대장동치과 고기동치과 운중동치과 분당치과 병원,,0.33134,0.241027,0.386243,,1.0,0.0,0.0,,0.019447,-0.006396,0.006856
11,21888746,사람그리고치과의원,105,470,치과,건강의료>병원>병원의원>치과>치과-일반,4.8,,,,0.331294,0.237347,0.385948,,2.0,0.0,0.0,,0.019447,0.017153,0.008633
12,13571013,판교우리치과의원,3,161,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 교정치료 치아미백 턱관절진료 운중동치과,,0.33134,0.236498,0.385902,,0.0,0.0,2.0,,0.019447,-0.013919,0.006289
13,35463572,분당후즈후치과의원,1858,336,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,분당치과 수내역치과 사랑니발치 치아교정치과 임플란트치과,,0.33134,0.392922,0.385343,,0.0,1.0,1.0,,0.019447,0.004702,0.007694
14,37160806,서울럭스치과의원,61,281,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 어린이교정 성인교정 충치치료 신경치료,,0.331294,0.209788,0.383868,,5.0,0.0,2.0,,0.019447,0.013011,0.00832
15,36665372,건강한웃음치과의원,216,291,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치과 사랑니발치 잇몸치료 임플란트 치아살리기,,0.33134,0.208148,0.383762,,2.0,0.0,1.0,,0.019447,-0.003224,0.007095
16,1169748908,판교자연치과의원,8,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,고기동치과 대장동치과 운중동치과 판교치과 분당치과,,0.33134,0.206673,0.383651,,0.0,0.0,12.0,,0.019447,-0.011882,0.006442
17,1221729494,연세위드치과의원,4680,797,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,성남치과 성남인비절라인치아교정 성남전체뼈이식임플란트 성남당일매복사랑니발치 분당라미네이트보철치료,,0.33134,0.480592,0.383455,,3.0,309.0,3.0,,0.019447,0.008797,0.008003
18,1883967355,연세크리스마스치과의원,4,304,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,보철과전문의 삼평동치과 판교임플란트 판교보철과전문의 지르코니아크라운,,0.33134,0.202373,0.383326,,0.0,0.0,1.0,,0.019447,-0.015206,0.006191
19,20108257,판교탑치과의원,2,101,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.194078,0.382683,Hot,12.0,0.0,1.0,,0.019447,0.020205,0.008864
20,38264441,연세타워치과의원,3,269,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,치주보철전문 사랑니신경치료 무통임플란트 전악임플란트 무통스켈링치주,,0.331294,0.191684,0.382502,,0.0,0.0,0.0,,0.019447,-0.020996,0.005754
21,20956008,W7치과의원,16,116,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,임플란트 판교치과 운중동치과 치주과전문의 치아미백,,0.33134,0.190924,0.382462,,0.0,0.0,1.0,,0.019447,0.006019,0.007793
22,1320120350,가지런e치과교정과치과의원,108,103,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,판교치과 대장동치과 대장동교정치과 판교교정치과 판교치아교정,,0.33134,0.190875,0.382458,,0.0,0.0,-1.0,,0.019447,-0.020034,0.005826
23,13551328,연세미소치과의원,2,121,치과,건강의료>병원>병원의원>치과>치과-일반,4.27,,,,0.331294,0.190928,0.382445,,0.0,0.0,0.0,,0.019447,0.008413,0.007974
24,33142205,연세CS치과의원,1,113,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,one_day보철 임플란트 교정 충치치료 세렉,,0.331294,0.188468,0.382259,,0.0,0.0,0.0,,0.019447,0.006162,0.007803
