place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1438886515,포항디지털치과의원,331,3,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,네비게이션임플란트 디지털흡착틀니 무통마취 디지털풀아치 원데이디지털보철치료,,0.331294,0.409007,0.344564,,0,-,-,,-,-,-
2,13256431,새론치과의원,1231,255,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항치과 포항임플란트 보철치료 포항전체임플란트 포항무삭제라미네이트,,0.33134,0.40611,0.344363,,0,-,-,,-,-,-
3,1178123248,필립치과의원,658,206,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 포항치과 사랑니발치 치아교정 문덕치과,,0.33134,0.287801,0.335434,,0,-,-,,-,-,-
4,35910792,디자인치과의원,288,373,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,포항이동치과 포항치과 포항치아교정 포항교정과전문의 포항교정치과,,0.33134,0.271203,0.334181,,0,-,-,,-,-,-
5,1549511744,스마트치과의원,6,238,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,틀니 임플란트 충치치료 이갈이 스케일링,,0.331294,0.267359,0.333874,,0,-,-,,-,-,-
6,1392587465,서울부부치과의원,6,482,치과,건강의료>병원>병원의원>치과>치과-일반,4.55,,스켈링 임플란트 크라운 충치치료 문덕소아치과,,0.33134,0.265223,0.33373,,0,-,-,,-,-,-
7,36675851,우리아이치과의원,12,240,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항소아치과 포항키즈치과 포항수면치료 포항어린이치과 구강검진,,0.33134,0.256292,0.333056,,0,-,-,,-,-,-
8,1694398525,행복치과의원,5,145,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,,,0.331294,0.249993,0.332563,,0,-,-,,-,-,-
9,1752282296,로이스치과의원,1,55,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항임플란트 포항사랑니 포항턱관절 오천치과 문덕치과,,0.33134,0.241409,0.331933,,0,-,-,,-,-,-
10,977735783,오희영치과의원 포항,124,550,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항치과 포항오희영치과 포항임플란트 포항남구치과 포항수면치과,,0.33134,0.235397,0.331479,,0,-,-,,-,-,-
11,636592783,조이치과의원,2,115,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,포항치과 오천치과 문덕치과 서문사거리 포항남구치과,,0.33134,0.232714,0.331277,,0,-,-,,-,-,-
12,37779316,포항이살림치과의원,3,188,치과,건강의료>병원>병원의원>치과>치과-일반,4.48,,,,0.331294,0.221187,0.330389,,0,-,-,,-,-,-
13,36477426,베스트치과의원,12,150,치과,건강의료>병원>병원의원>치과>치과-일반,4.43,,,,0.331294,0.220112,0.330308,,0,-,-,,-,-,-
14,31153342,램브란트치과의원,26,227,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 틀니수리 매복사랑니발치 잇몸치료 수면임플란트,,0.331294,0.219135,0.330235,,0,-,-,,-,-,-
15,1297712146,서울정석치과의원,0,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,포항치과 지곡동치과 임플란트 치주과전문의 잇몸치료,,0.33134,0.213793,0.329849,,0,-,-,,-,-,-
16,21783796,서울에스치과의원,2,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.39,,,,0.331294,0.211136,0.329631,,0,-,-,,-,-,-
17,13019456,이사랑치과,4,100,치과,건강의료>병원>병원의원>치과>치과-일반,4.47,,,,0.331294,0.203117,0.329026,,0,-,-,,-,-,-
18,37485873,서울봄치과의원,1,137,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,,,0.331294,0.200254,0.328809,,0,-,-,,-,-,-
19,19533947,승리치과의원,1,201,치과,건강의료>병원>병원의원>치과>치과-일반,4.4,,,,0.331294,0.199923,0.328785,,0,-,-,,-,-,-
20,38007254,더좋은치과의원,1,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,,,0.331294,0.192617,0.328233,,0,-,-,,-,-,-
21,12919564,늘편한치과의원,2,168,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.187955,0.327881,,0,-,-,,-,-,-
22,1161769174,착한치과의원,1,60,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항치과 임플란트 포항남구치과 네비게이션임플란트 심미보철,,0.33134,0.187661,0.327876,,0,-,-,,-,-,-
23,19517967,문덕고운치과의원,1,48,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.187178,0.327823,,0,-,-,,-,-,-
24,1595821224,하나플란트치과의원,1,45,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 심미보철 구강검진 턱관절물리치료,,0.331294,0.184433,0.327615,,0,-,-,,-,-,-
25,36448813,강남탑치과의원,1,133,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,경주탑치과,,0.33134,0.18073,0.327353,,0,-,-,,-,-,-
26,1287919020,효자 효치과의원,0,95,치과,건강의료>병원>병원의원>치과>치과-일반,4.1,,치아보존치료 임플란트식립 심미보철치료 치주치료 예방치료,,0.331294,0.176516,0.327018,,0,-,-,,-,-,-
27,12862772,연세드림치과의원,3,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.14,,포항치과 포항연세드림 포항연세드림치과,,0.33134,0.176012,0.326997,,0,-,-,,-,-,-
28,19534011,유강스마일치과,1,85,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,,,0.331294,0.175602,0.326949,,0,-,-,,-,-,-
29,13256659,스마일치과의원,4,66,치과,건강의료>병원>병원의원>치과>치과-일반,4.25,,,,0.331294,0.174659,0.326878,,0,-,-,,-,-,-
30,13256545,세종치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.42,,,,0.331294,0.174317,0.326852,,0,-,-,,-,-,-
31,36477498,이동연합치과의원 포항,28,136,치과,건강의료>병원>병원의원>치과>치과-일반,4.44,,임플란트 충치치료 크라운 사랑니발치 포항치과,,0.33134,0.169637,0.326516,,0,-,-,,-,-,-
32,34296782,송도치과의원,1,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.52,,,,0.331294,0.169448,0.326485,,0,-,-,,-,-,-
33,36279743,참조은치과의원,4,56,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,치과 임플란트,,0.33134,0.169121,0.326477,,0,-,-,,-,-,-
34,19516652,김대수치과의원,2,47,치과,건강의료>병원>병원의원>치과>치과-일반,4.35,,,,0.331294,0.168048,0.326379,,0,-,-,,-,-,-
35,34469550,참예쁜e치과의원,1,66,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.163446,0.326032,,0,-,-,,-,-,-
36,1243386332,이튼치과의원,0,10,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 포항치과 포항임플란트 포항레진 이튼치과,,0.33134,0.162585,0.325984,,0,-,-,,-,-,-
37,19530487,아세아치과의원,1,128,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.161891,0.325914,,0,-,-,,-,-,-
38,13462483,우리연합에스치과의원,1,69,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,치아교정 틀니 임플란트 충치치료 심미보철,,0.331294,0.159652,0.325745,,0,-,-,,-,-,-
39,11698227,미소치과의원,1,43,치과,건강의료>병원>병원의원>치과>치과-일반,3.94,,,,0.331294,0.157553,0.325587,,0,-,-,,-,-,-
40,13256637,화이트이치과의원,2,68,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,,,0.331294,0.155905,0.325462,,0,-,-,,-,-,-
41,13256632,연일치과의원,2,48,치과,건강의료>병원>병원의원>치과>치과-일반,4.88,,,,0.331294,0.147549,0.324832,,0,-,-,,-,-,-
42,19516688,연일노치과의원,1,82,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.14707,0.324796,,0,-,-,,-,-,-
43,13256417,크리스마스치과의원,1,93,치과,건강의료>병원>병원의원>치과>치과-일반,3.3,,임플란트 심미보철 턱관절치료 잇몸치료,,0.331294,0.144755,0.324621,,0,-,-,,-,-,-
44,19516736,미소드림치과의원,2,45,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,,,0.331294,0.140147,0.324273,,0,-,-,,-,-,-
45,38647957,늘가까운치과의원,1,29,치과,건강의료>병원>병원의원>치과>치과-일반,4.61,,,,0.331294,0.139882,0.324253,,0,-,-,,-,-,-
46,35219735,윤치과의원,2,57,치과,건강의료>병원>병원의원>치과>치과-일반,4.29,,,,0.331294,0.137264,0.324056,,0,-,-,,-,-,-
47,19531461,리더스치과의원,2,33,치과,건강의료>병원>병원의원>치과>치과-일반,4.07,,,,0.331294,0.135083,0.323891,,0,-,-,,-,-,-
48,1197246836,테라치과의원,1,40,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,포항_치과 포항_임플란트 포항_크라운보철치료 지곡_치과 효자_치과,,0.33134,0.133166,0.323764,,0,-,-,,-,-,-
49,1915671850,이지은치과의원,1,52,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,,,0.331294,0.131969,0.323656,,0,-,-,,-,-,-
50,12025789,권진학치과의원,1,75,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,,,0.331294,0.131142,0.323593,,0,-,-,,-,-,-
