place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1236505233,스카이플란트치과의원 포항,1506,224,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항치과 포항죽도동치과 포항북구치과 임플란트 치과,,0.33134,0.417466,0.34522,,0,-,-,,-,-,-
2,1956415115,이결치과의원,961,256,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,이결치과 포항치과 포항북구임플란트 득량동틀니 양학동턱관절,,0.33134,0.394337,0.343475,,0,-,-,,-,-,-
3,1571829500,청담에이치치과의원 포항양덕점,690,154,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 매복사랑니발치 포항양덕치아미백 민생회복지원금사용처소비쿠폰,,0.331294,0.376247,0.342092,,0,-,-,,-,-,-
4,1382323927,하얀e치과의원,930,372,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항치과 임플란트 충치치료 치아교정 포항임플란트,,0.33134,0.318883,0.33778,,0,-,-,,-,-,-
5,13136551,미르치과병원,620,1806,치과,건강의료>병원>병원의원>치과>치과-일반,4.41,,포항치과 임플란트 치아교정 소아치과 사랑니발치,,0.33134,0.313527,0.337376,,0,-,-,,-,-,-
6,1288426878,알파키즈치과의원,24,91,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항키즈치과 영일대치과 포항웃음가스 포항수면치료 포항소아치과,,0.33134,0.307998,0.336958,,0,-,-,,-,-,-
7,13256254,열린이사랑치과의원,290,50,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,임플란트 충치치료 스케일링 신경치료 잇몸치료,,0.331294,0.299149,0.336273,,0,-,-,,-,-,-
8,1222128563,죽파치과의원,177,222,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,포항치과 포항사랑니 포항임플란트 포항교정치과 죽도동치과,,0.33134,0.281821,0.334983,,0,-,-,,-,-,-
9,2016057787,엔젤치과의원,164,56,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,포항치과 포항교정치과 뼈이식3D네비게이션임플란트 사랑니발치틀니보철치료 앞니치아미백,,0.33134,0.281489,0.334958,,0,-,-,,-,-,-
10,34630537,가지런한이연합치과교정과치과의원,45,647,치과,건강의료>병원>병원의원>치과>치과-일반,4.17,,포항교정치과 포항교정전문치과 포항치과 포항교정과 포항소아교정,,0.33134,0.28024,0.334863,,0,-,-,,-,-,-
