place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1335547868,원탑크리스탈치과의원,3074,110,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하남치과 미사턱관절치과 미사임플란트 하남임플란트 하남턱관절치과,,0.33134,0.508358,0.391325,,4.0,332.0,0.0,,0.019447,0.05471,0.011468
2,1905221620,클린이치과의원 감일본점,2674,733,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,감일치과 하남치과 하남임플란트 감일치아교정 하남수면치료,,0.33134,0.475874,0.388874,,4.0,263.0,39.0,,0.019447,0.030525,0.009643
3,1506367508,올바로치과의원,1519,983,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미사치과 하남치과 치아교정 의식하진정법 어린이치과,,0.33134,0.467562,0.388246,,0.0,49.0,6.0,,0.019447,-0.011165,0.006496
4,1591592775,서울근본치과의원,4759,142,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하남치과 임플란트 사랑니발치 충치보철치료 신장동치과,,0.33134,0.466651,0.388178,,0.0,331.0,2.0,,0.019447,-0.036343,0.004596
5,1914915742,리온치과 교정과치과의원 하남미사점,2394,960,치과,건강의료>병원>병원의원>치과>치과-일반,4.85,,교정치과 인비절라인투명교정 소아주걱턱교정 어린이돌출입치아교정 덧니비발치재교정,,0.33134,0.455048,0.387302,,2.0,321.0,0.0,,0.019447,0.010084,0.0081
6,1965824995,서울더고운치과의원 미사본점,1338,901,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,미사치과 미사역치과 미사임플란트 하남치과 미사앞니교정,,0.33134,0.454804,0.387283,,0.0,52.0,0.0,,0.019447,-0.008018,0.006733
7,1735882513,연세굿플란트치과의원 위례점,3036,255,치과,건강의료>병원>병원의원>치과>치과-일반,4.93,,임플란트 치아교정 사랑니 북위례치과 위례치과,,0.33134,0.449376,0.386874,,3.0,230.0,3.0,,0.019447,0.031504,0.009717
8,1985803858,메디포레치과의원 하남미사점,4511,501,치과,건강의료>병원>병원의원>치과>치과-일반,4.94,,미사치과 하남치과 상일동치과 강일동치과 신장동치과,,0.33134,0.444595,0.386513,,0.0,362.0,3.0,,0.019447,0.003283,0.007587
9,1247959981,연세스마트치과의원 감일본점,2125,541,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,감일치과 위례치과 마천동치과 북위례치과 감일동치과,,0.33134,0.439505,0.386129,,0.0,201.0,5.0,,0.019447,-0.032713,0.00487
10,1885549165,서울아산OK치과의원 미사하남,2375,954,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미사치과 하남임플란트 하남수면치료치과 미사라미네이트 보험스케일링치과,,0.33134,0.428732,0.385316,,0.0,233.0,19.0,,0.019447,0.005258,0.007736
11,1660567105,퍼스트치과의원 미사,1875,478,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,미사치과 미사역치과 하남치과 미사임플란트 미사역치아교정,,0.33134,0.415526,0.384319,,1.0,5.0,1.0,,0.019447,0.007508,0.007905
12,1961059686,365플러스치과의원 하남미사,856,1251,치과,건강의료>병원>병원의원>치과>치과-일반,4.76,,미사치과 미사교정치과 미사임플란트 하남치과 미사충치치과,,0.33134,0.410025,0.383904,,1.0,161.0,5.0,,0.019447,0.009384,0.008047
13,1292412873,서울온정치과의원,1831,548,치과,건강의료>병원>병원의원>치과>치과-일반,4.66,,치과 임플란트 교정치과 충치치료 하남치과,,0.33134,0.379275,0.381583,,0.0,47.0,0.0,,0.019447,-0.033669,0.004798
14,1557437893,미사플란트치과의원,411,399,치과,건강의료>병원>병원의원>치과>치과-일반,4.75,,미사치과 미사강변도시치과 미사신도시치과 미사임플란트 미사역치과,,0.33134,0.35142,0.379481,,0.0,-2.0,0.0,,0.019447,-0.01826,0.005961
15,1629950131,하남맥치과의원,500,68,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,미사치과 하남치과 풍산동치과 임플란트 치아교정,,0.33134,0.341206,0.37871,,0.0,5.0,1.0,,0.019447,0.015386,0.0085
16,1532127702,연세꿈꾸는치과의원 하남미사점,439,1949,치과,건강의료>병원>병원의원>치과>치과-일반,4.79,,미사교정치과 미사어린이치과 인비절라인 영유아구강검진 치아교정,,0.33134,0.325599,0.377532,,2.0,-58.0,3.0,,0.019447,0.016078,0.008552
17,1272730195,서울클리어치과교정과치과의원 하남미사점,664,785,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,소아교정 투명교정 치과교정과전문의 미사인비절라인 돌출입주걱턱어린이,,0.33134,0.315628,0.37678,,5.0,1.0,9.0,,0.019447,0.032411,0.009785
18,1643097093,하남중앙치과의원,73,53,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,하남임플란트 덕풍동임플란트 하남치과 덕풍동치과 덕풍시장치과,,0.33134,0.307149,0.37614,,0.0,0.0,11.0,,0.019447,-0.003057,0.007108
19,13133367,하남본치과의원,1077,682,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치아교정치과 충치신경치료 완전매복사랑니당일발치 임플란트염증재수술 턱관절통증장애장치스플린트치료,,0.33134,0.289955,0.374842,,0.0,0.0,1.0,,0.019447,-0.030131,0.005065
