place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1411615032,동탄센트럴치과병원,4790,565,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,교정치과 임플란트 라미네이트 치아교정 턱관절,,0.33134,0.490465,0.371862,,0.0,417.0,6.0,,0.019447,-0.005165,0.006949
2,1257711496,동탄하나로치과의원,2214,699,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄치과 동탄임플란트 동탄2치과 라미네이트 동탄역치과,,0.33134,0.47577,0.370753,,0.0,206.0,6.0,,0.019447,0.007032,0.00787
3,1763766608,이즈치과의원,4473,1383,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄치과 동탄교정치과 동탄임플란트 동탄야간진료치과 동탄스케일링,,0.33134,0.474118,0.370628,,0.0,123.0,3.0,,0.019447,0.008926,0.008013
4,1418132008,동탄키움치과의원,2249,386,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,동탄사랑니발치 턱관절치과 임플란트 이갈이치료 충치치료,,0.33134,0.456382,0.369289,,5.0,162.0,7.0,,0.019447,0.031413,0.009709
5,1421291330,서울굿플란트치과의원,3179,319,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,치과 임플란트 수면치과 수면임플란트 충치치료,,0.33134,0.452743,0.369015,,2.0,337.0,4.0,,0.019447,0.006589,0.007836
6,1073004496,플란치과의원 경기 동탄점,2945,746,치과,건강의료>병원>병원의원>치과>치과-일반,5.0,,임플란트 동탄치과 동탄임플란트 오산치과 향남치과,,0.33134,0.450332,0.368833,,0.0,393.0,5.0,,0.019447,0.00334,0.007591
7,36648489,동탄주치과의원,3124,638,치과,건강의료>병원>병원의원>치과>치과-일반,4.46,,동탄임플란트 동탄치과 동탄라미네이트 반송동치과 나루마을치과,,0.33134,0.439514,0.368016,,1.0,-4.0,-2.0,,0.019447,-0.002973,0.007114
8,73412905,향남드림치과의원,2574,972,치과,건강의료>병원>병원의원>치과>치과-일반,4.34,,화성치과 화성치아교정 향남지구치과 화성임플란트치과 충치신경치료,,0.33134,0.435183,0.367689,,0.0,-67.0,23.0,,0.019447,-0.014338,0.006256
9,1029040739,채움치과의원 동탄,2163,533,치과,건강의료>병원>병원의원>치과>치과-일반,4.86,,동탄치과 동탄임플란트 동탄역치과 동탄충치치료 동탄역임플란트,,0.33134,0.429213,0.367239,,2.0,270.0,0.0,,0.019447,0.027397,0.009407
10,1265709213,서울베스트치과의원 동탄점,2897,960,치과,건강의료>병원>병원의원>치과>치과-일반,4.82,,동탄치과 경기화성치과 오산동치과 임플란트 치아교정,,0.33134,0.427225,0.367089,,0.0,170.0,3.0,,0.019447,-0.027531,0.005261
11,1643328111,동탄리즈치과의원,1397,607,치과,건강의료>병원>병원의원>치과>치과-일반,4.97,,임플란트 동탄치과 화성치과 산척동치과 야간진료,,0.33134,0.42596,0.366993,,5.0,165.0,13.0,,0.019447,0.036716,0.010109
12,1821344350,바로드림치과의원,1070,128,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,향남충치치료 임플란트 사랑니 무통증마취 치과,,0.33134,0.414225,0.366108,,0.0,32.0,1.0,,0.019447,0.003598,0.007611
13,1452838917,365향남플란트치과의원,738,760,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,향남치과 향남임플란트 일요일치과 향남2지구치과 향남1지구치과,,0.33134,0.407736,0.365618,,0.0,9.0,58.0,,0.019447,0.006462,0.007827
14,1393557729,디유치과의원,586,1033,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 수면임플란트 병점치과 사랑니 동탄치과,,0.33134,0.398348,0.364909,,3.0,224.0,11.0,,0.019447,0.023991,0.009149
15,1844859152,미소진치과의원,362,237,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,봉담치과 화성임플란트 와우리충치치료 기안동임플란트 와우리임플란트,,0.33134,0.38117,0.363613,,7.0,2.0,1.0,,0.019447,0.053505,0.011377
16,2020906157,병점맥스치과의원,710,25,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,병점충치치과 병점치아교정치과 매복사랑니발치치과 틀니보철심미치료 네비게이션임플란트,,0.33134,0.373066,0.363001,,0.0,58.0,1.0,,0.019447,-0.018582,0.005936
17,1541977542,연세참예쁜치과교정과치과의원 동탄,1735,714,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,동탄치과 동탄치아교정 동탄교정치과 교정치과 치아교정,,0.33134,0.372468,0.362956,,0.0,-1.0,3.0,,0.019447,-0.019703,0.005852
18,1128912147,이루다소아치과의원,87,1027,치과,건강의료>병원>병원의원>치과>치과-일반,4.64,,동탄어린이치과 동탄소아치과 용인남사소아치과 동탄웃음가스 동탄인비절라인,,0.33134,0.358625,0.361911,,0.0,0.0,1.0,,0.019447,-0.002109,0.007179
