place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1192020876,서울탑플란트치과의원 청주,2010,805,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 청주임플란트 수면임플란트 수면치과 사랑니발치,,0.33134,0.461883,0.348572,,0,-,-,,-,-,-
2,1460272105,청주웰치과의원,2729,1476,치과,건강의료>병원>병원의원>치과>치과-일반,4.53,,청주치과 청주임플란트치과 청주주말치과 수면임플란트 국가보훈병원,,0.33134,0.449928,0.34767,,0,-,-,,-,-,-
3,35993204,서울좋은치과병원 청주,3861,1423,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,청주치과 청주임플란트 치아교정 수면임플란트 수면치과,,0.33134,0.436173,0.346632,,0,-,-,,-,-,-
4,34760019,새롬탑치과의원,876,215,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,사랑니치과 청주치과 임플란트 치아교정 사랑니발치,,0.33134,0.421288,0.345509,,0,-,-,,-,-,-
5,11387884,에이라인치과병원,3136,1950,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,청주치과 청주교정치과 청주임플란트치과 청주충치치료 청주라미네이트,,0.33134,0.404691,0.344256,,0,-,-,,-,-,-
6,13277876,유디치과의원 청주점,1232,419,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 스케일링 청주치과 청주복대동치과,,0.33134,0.387303,0.342944,,0,-,-,,-,-,-
7,1237511117,생생치과의원,1237,442,치과,건강의료>병원>병원의원>치과>치과-일반,4.7,,청주사랑니발치 청주신경치료치과 청주수면임플란트치과 청주턱관절 청주치아미백,,0.33134,0.382846,0.342607,,0,-,-,,-,-,-
8,35133730,2디자인치과의원,1275,173,치과,건강의료>병원>병원의원>치과>치과-일반,4.38,,청주교정치과 복대동임플란트 지웰시티치과 청주심미보철 충치치료,,0.33134,0.376779,0.342149,,0,-,-,,-,-,-
9,1178657101,엘치과의원,64,351,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,청주교정 청주임플란트 청주치과 지웰시티치과 청주구강검진,,0.33134,0.314839,0.337475,,0,-,-,,-,-,-
10,1185640551,오송다온치과의원,127,339,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,스케일링잇몸치료 틀니임플란트 매복사랑니발치 소아진정치료 클리피씨치아교정,,0.331294,0.304166,0.336652,,0,-,-,,-,-,-
11,13178030,청주쥬니어소아치과의원,26,397,치과,건강의료>병원>병원의원>치과>치과-일반,4.59,,청주소아치과 청주어린이치과 청주주니어치과 청주유아치과 청주어린이신경치료,,0.33134,0.299388,0.336309,,0,-,-,,-,-,-
12,35051235,서울바른치과교정과치과의원,188,452,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,청주교정치과 청주치아교정 소아성장기주걱턱교정 덧니돌출입교정 인비절라인,,0.33134,0.297704,0.336182,,0,-,-,,-,-,-
13,1770573930,바른기준치과의원,343,525,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 치아교정 임플란트 무통마취 투명교정,,0.33134,0.29252,0.33579,,0,-,-,,-,-,-
14,13247702,키즈웰치과의원,14,373,치과,건강의료>병원>병원의원>치과>치과-일반,4.6,,치과 소아치과,,0.33134,0.286112,0.335307,,0,-,-,,-,-,-
15,37991890,연세엔서울치과교정과치과의원,1201,636,치과,건강의료>병원>병원의원>치과>치과-일반,4.65,,치아교정 교정치과 치과 인비절라인 어린이치아교정,,0.33134,0.275971,0.334541,,0,-,-,,-,-,-
16,1962540163,하얀드림치과의원,138,298,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 오송치과 오송임플란트 청주주말진료 청주수면치과,,0.33134,0.274454,0.334427,,0,-,-,,-,-,-
17,1892706948,연세영훈치과교정과치과의원,90,500,치과,건강의료>병원>병원의원>치과>치과-일반,4.71,,청주교정치과 청주치아교정 청주덧니교정 청주돌출입교정 청주치과,,0.33134,0.266696,0.333841,,0,-,-,,-,-,-
18,13247770,청주아미치과의원,7,353,치과,건강의료>병원>병원의원>치과>치과-일반,4.5,,,,0.331294,0.259856,0.333308,,0,-,-,,-,-,-
19,1956994695,율치과의원,7,254,치과,건강의료>병원>병원의원>치과>치과-일반,4.57,,일반진료 소아치료 구강검진 심미치료 임플란트,,0.331294,0.259797,0.333303,,0,-,-,,-,-,-
20,1032834639,이센치과의원,268,261,치과,건강의료>병원>병원의원>치과>치과-일반,4.74,,청주치과 청주임플란트 가경동치과 청주전문의치과 충치치료,,0.33134,0.259304,0.333283,,0,-,-,,-,-,-
21,21005746,연세사랑치과의원,8,574,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가경동치과 연세치과 청주치과,,0.33134,0.259042,0.333264,,0,-,-,,-,-,-
22,35103350,고운얼굴이치과교정과치과의원,245,302,치과,건강의료>병원>병원의원>치과>치과-일반,4.73,,치아교정 교정치과 덧니 돌출입 주걱턱,,0.33134,0.253996,0.332883,,0,-,-,,-,-,-
23,35913749,이끌림치과의원 청주,66,1434,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 복대동치과 어린이치과 치아교정 임플란트,,0.33134,0.244024,0.33213,,0,-,-,,-,-,-
24,1684931709,온마음치과의원,30,325,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,오송구강검진 오송이시림 오송임플란트 오송충치 오송치과,,0.33134,0.243975,0.332126,,0,-,-,,-,-,-
25,19866590,서울치과의원,117,283,치과,건강의료>병원>병원의원>치과>치과-일반,4.31,,오송치과 오송서울치과 오송임플란트 오송교정치과 서울치과,,0.33134,0.240826,0.331889,,0,-,-,,-,-,-
26,1707279974,하나플란트치과의원,71,256,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,가경동치과 청주임플란트 청주충치치료 복대동치과 청주사랑니발치,,0.33134,0.239829,0.331814,,0,-,-,,-,-,-
27,1494471583,행복한웰스치과의원,14,731,치과,건강의료>병원>병원의원>치과>치과-일반,4.45,,행복한웰스치과 지웰시티치과 웰스치과 복대동치과 청주턱관절,,0.33134,0.237703,0.331653,,0,-,-,,-,-,-
28,1608756829,바로온치과의원,4,327,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,청주치과 봉명동치과 청주임플란트 청주충치치료 치과,,0.33134,0.235835,0.331512,,0,-,-,,-,-,-
