rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,2,1,화이트드림치과의원 서울 강남점,2010,4121,0.393421,0.50354,0.426464,1.323425,115,282,0.078477,0.005874,0.054209
2,0,2,티유치과의원,2305,5545,0.393421,0.499744,0.426177,1.319342,11,1087,0.078477,-0.00643,0.053279
3,2,3,고르다치과의원 강남점,1514,7338,0.393421,0.499623,0.426168,1.319212,320,2130,0.078477,-0.006931,0.053242
4,1,1,뉴엔치과의원,1523,3436,0.393421,0.4914,0.425547,1.310368,60,1791,0.078477,0.029689,0.056005
5,2,1,서울리마치과의원,1413,3506,0.393421,0.474019,0.424236,1.291676,129,1641,0.078477,0.041931,0.05693
6,0,2,오늘의치과의원 강남,149,2321,0.393421,0.47349,0.424196,1.291107,14,286,0.078477,0.013924,0.054816
7,3,1,하루플란트치과의원,692,1369,0.393421,0.468938,0.423852,1.286211,39,624,0.078477,0.095004,0.060935
8,4,3,퍼펙트치과의원 강남,1251,7347,0.393421,0.467905,0.423774,1.2851,13,1410,0.078477,-0.00538,0.053359
9,,4,이살리는치과의원 신논현역점,89,985,0.393421,0.467905,0.423774,1.2851,0,0,0.078477,-0.00538,0.053359
10,2,3,똑똑플란트치과의원,2226,1616,0.393421,0.39726,0.418443,1.209124,191,53,0.078477,0.013405,0.054777
11,11,1,젊어지는치과의원,780,2514,0.393421,0.389783,0.417878,1.201082,28,194,0.078477,0.103307,0.061561
12,3,3,사랑이아프니구강악안면외과치과의원 강남점,2009,102,0.393376,0.389614,0.417848,1.200838,29,12,0.078477,0.009533,0.054484
13,2,3,더뉴치과의원,521,1665,0.393421,0.34484,0.414486,1.152747,16,-3,0.078477,-0.016734,0.052502
14,2,3,강남레옹치과의원,1667,1344,0.393421,0.342439,0.414305,1.150165,54,54,0.078477,-0.009216,0.053069
15,4,1,옥스치과의원,220,1551,0.393376,0.324152,0.412908,1.130436,5,208,0.078477,0.019487,0.055236
16,3,3,미소라움치과의원,177,1080,0.393421,0.321557,0.412729,1.127707,6,33,0.078477,-0.015939,0.052562
17,2,3,에이티에이치과의원,1083,913,0.393421,0.319641,0.412585,1.125647,6,13,0.078477,-0.001186,0.053676
18,4,3,미소드림치과의원,857,2385,0.393421,0.311539,0.411973,1.116933,43,101,0.078477,-0.012954,0.052787
19,1,3,원데이치과의원 제3관,217,78,0.393421,0.303926,0.411399,1.108746,103,1,0.078477,-0.003892,0.053472
20,3,3,킹콩치과의원,798,1065,0.393421,0.301538,0.411218,1.106177,-3,35,0.078477,-0.007248,0.053218
21,5,1,에버스마일치과교정과치과의원,180,624,0.393421,0.292625,0.410546,1.096592,3,-3,0.078477,0.023529,0.055541
22,2,1,아인스치과교정과치과의원,654,1136,0.393421,0.291971,0.410496,1.095888,2,65,0.078477,0.015892,0.054964
23,7,1,연세퍼스트구강내과치과의원,762,329,0.393376,0.286138,0.410039,1.089553,27,15,0.078477,0.023729,0.055556
24,3,3,스타28치과의원,222,390,0.393421,0.284483,0.409931,1.087835,1,-5,0.078477,-0.01125,0.052916
25,5,3,연세유라인치과의원 강남역점,478,3031,0.393376,0.280644,0.409624,1.083644,-,23,0.078477,-0.019055,0.052327
26,1,3,원데이치과의원 제1관,1251,498,0.393421,0.274093,0.409147,1.076661,140,2,0.078477,-0.001957,0.053617
27,4,3,원진치과의원 강남,703,463,0.393421,0.273372,0.409093,1.075886,12,-60,0.078477,-0.004697,0.053411
28,5,1,포샤르치과의원,496,148,0.393421,0.272558,0.409031,1.07501,-1,-,0.078477,0.016077,0.054978
29,5,1,포스유치과의원,104,145,0.393421,0.264753,0.408442,1.066616,2,2,0.078477,0.008939,0.05444
30,1,1,서울페이스21치과병원,195,228,0.393421,0.264035,0.408388,1.065844,12,15,0.078477,0.003336,0.054017
31,1,1,강남루덴치과의원,506,645,0.393376,0.263528,0.408332,1.065236,6,8,0.078477,0.00444,0.0541
32,3,1,황순정 구강악안면외과 치과의원,127,252,0.393376,0.262798,0.408277,1.064451,2,8,0.078477,0.010221,0.054536
33,6,3,맥스구강악안면외과치과의원,181,165,0.393376,0.262606,0.408263,1.064245,-4,10,0.078477,-0.004856,0.053399
34,5,3,강남새로치과의원,462,579,0.393421,0.262018,0.408236,1.063675,209,56,0.078477,-0.000779,0.053707
35,2,1,리엔장치과의원,96,56,0.393421,0.261121,0.408168,1.06271,9,1,0.078477,0.016792,0.055032
36,8,3,체리스마일치과의원,351,478,0.393421,0.257904,0.407925,1.05925,13,40,0.078477,-0.006668,0.053262
37,21,3,강남엔터치과의원,243,837,0.393421,0.247877,0.407168,1.048466,62,-52,0.078477,-0.061647,0.049112
38,5,1,사람사랑치과의원,424,257,0.393421,0.243162,0.406813,1.043396,1,5,0.078477,0.013145,0.054758
39,3,3,푸른나무치과의원,301,307,0.393421,0.241937,0.40672,1.042078,3,-4,0.078477,-0.004266,0.053443
40,1,1,화이트스타일치과의원,277,165,0.393421,0.241359,0.406676,1.041456,4,-,0.078477,0.005825,0.054204
41,11,1,닥터프라임치과의원,208,110,0.393421,0.239493,0.406536,1.03945,1,-,0.078477,0.038731,0.056688
42,3,3,미유치과의원,157,882,0.393421,0.238684,0.406475,1.03858,3,-9,0.078477,-0.002959,0.053542
43,7,1,뉴욕연세치과의원,565,1302,0.393421,0.235369,0.406224,1.035014,17,14,0.078477,0.0224,0.055455
44,30,1,원치과의원,294,1164,0.393421,0.429884,0.406023,1.229328,27,851,0.078477,0.107529,0.06188
45,7,3,원데이치과의원 제2관,48,309,0.393421,0.228412,0.405699,1.027532,15,-,0.078477,-0.015805,0.052572
46,6,3,서울위드치과의원,282,11,0.393376,0.228523,0.40569,1.027589,5,-,0.078477,-0.009663,0.053035
47,1,1,크림치과의원,233,14,0.393376,0.228497,0.405689,1.027562,1,-,0.078477,0.011901,0.054664
48,3,3,비타바른이치과의원,496,943,0.393421,0.219063,0.404994,1.017478,-,25,0.078477,-0.005589,0.053343
49,2,3,강남애프터치과의원,458,222,0.393421,0.218003,0.404914,1.016338,4,-42,0.078477,-0.001573,0.053647
50,4,3,워싱턴치과교정과치과의원,301,90,0.393421,0.217497,0.404876,1.015794,5,-10,0.078477,-0.003519,0.0535
51,4,1,화이트이치과의원 강남,209,386,0.393421,0.282947,0.404771,1.081139,3,-13,0.078477,0.023164,0.055513
52,10,3,스마일어게인치과교정과치과의원 강남점,116,10,0.393421,0.211603,0.404431,1.009455,1,-,0.078477,-0.020527,0.052216
53,9,3,제아치과의원,674,1661,0.393421,0.20998,0.404308,1.007709,-19,-2,0.078477,-0.017327,0.052457
54,5,3,베스트덴치과의원,233,8,0.393376,0.20531,0.403939,1.002625,1,-,0.078477,-0.010691,0.052959
55,9,1,런던치과의원,156,2,0.393376,0.198556,0.403429,0.995361,1,-,0.078477,0.029856,0.056018
56,1,1,스마일존치과의원,79,47,0.393421,0.197332,0.403354,0.994107,-,13,0.078477,0.010249,0.054539
57,12,1,강남더블유치과의원,582,3029,0.393421,0.420365,0.403352,1.217138,24,1786,0.078477,0.045192,0.057175
58,5,3,수바른이치과의원,199,4,0.393376,0.202999,0.403292,0.999667,2,-,0.078477,-0.000758,0.053708
59,8,3,강남클리어치과의원,1668,116,0.393421,0.191079,0.402882,0.987382,67,-,0.078477,-0.021227,0.052163
60,6,3,오르세치과의원,477,356,0.393421,0.231408,0.402496,1.027325,9,-,0.078477,-0.00932,0.053061
