date,year,month,day,day_of_week,data_type,name,pv,total_pv,channel_id,channel_type,channel_category,keyword,keyword_id,keyword_type,keyword_category
2024-09-01,2024,9,1,Sunday,channel,네이버지도,18.0,34.0,,,,,,,
2024-09-01,2024,9,1,Sunday,channel,네이버검색,13.0,34.0,,,,,,,
2024-09-01,2024,9,1,Sunday,channel,네이버 블로그,2.0,34.0,,,,,,,
2024-09-01,2024,9,1,Sunday,channel,웹사이트,1.0,34.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,동탄내이튼치과,9.0,34.0,,,,,,,
2024-09-01,2024,9,1,Sunday,keyword,내이튼치과,4.0,34.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버지도,48.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버검색,21.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버 플레이스광고,8.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,channel,네이버 블로그,2.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,동탄내이튼치과,10.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,내이튼치과,8.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,치과,6.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,라스플로레스치과,3.0,79.0,,,,,,,
2024-09-02,2024,9,2,Monday,keyword,근처치과,2.0,79.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,channel,네이버지도,25.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,channel,네이버검색,17.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,channel,네이버 플레이스광고,7.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,내이튼치과,8.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,동탄내이튼치과,5.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,동탄역치과,3.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,동탄치과,2.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,동탄내이튼치괴,2.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,치과,2.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,동탄내이튼,1.0,49.0,,,,,,,
2024-09-03,2024,9,3,Tuesday,keyword,동탄2치과,1.0,49.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,channel,네이버지도,45.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,channel,네이버검색,19.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,channel,네이버 플레이스광고,12.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,channel,웹사이트,1.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,내이튼치과,15.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,동탄역치과,5.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,동탄내이튼치과,4.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,동탄야간치과,3.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,동탄치과야간진료,2.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,동탄치과,1.0,77.0,,,,,,,
2024-09-04,2024,9,4,Wednesday,keyword,치과,1.0,77.0,,,,,,,
