date,year,month,day,day_of_week,data_type,channel_code,channel_name,channel_count,page_visits,booking_requests
2024-10-01,2024,10,1,Tuesday,channel,,플레이스목록,1,1,1
2024-10-02,2024,10,2,Wednesday,channel,,지도,2,3,5
2024-10-02,2024,10,2,Wednesday,channel,,플레이스목록,1,3,5
2024-10-03,2024,10,3,Thursday,channel,,기타,1,1,0
2024-10-04,2024,10,4,Friday,channel,,플레이스목록,1,1,0
2024-10-05,2024,10,5,Saturday,channel,,지도,1,2,0
2024-10-05,2024,10,5,Saturday,channel,,플레이스목록,1,2,0
2024-10-06,2024,10,6,Sunday,channel,,기타,1,1,0
2024-10-07,2024,10,7,Monday,channel,,지도,2,4,4
2024-10-07,2024,10,7,Monday,channel,,기타,1,4,4
2024-10-07,2024,10,7,Monday,channel,,플레이스목록,1,4,4
2024-10-08,2024,10,8,Tuesday,channel,,기타,1,2,2
2024-10-08,2024,10,8,Tuesday,channel,,플레이스상세,1,2,2
2024-10-09,2024,10,9,Wednesday,summary,,,0,0,0
2024-10-10,2024,10,10,Thursday,channel,,지도,2,2,3
2024-10-11,2024,10,11,Friday,channel,,기타,1,2,1
2024-10-11,2024,10,11,Friday,channel,,지도,1,2,1
2024-10-12,2024,10,12,Saturday,channel,,기타,1,1,1
2024-10-13,2024,10,13,Sunday,channel,,플레이스목록,1,1,0
2024-10-14,2024,10,14,Monday,channel,,기타,1,3,0
2024-10-14,2024,10,14,Monday,channel,,외부서비스,1,3,0
2024-10-14,2024,10,14,Monday,channel,,지도,1,3,0
2024-10-15,2024,10,15,Tuesday,channel,,플레이스목록,2,4,4
2024-10-15,2024,10,15,Tuesday,channel,,지도,1,4,4
2024-10-15,2024,10,15,Tuesday,channel,,플레이스상세,1,4,4
2024-10-16,2024,10,16,Wednesday,summary,,,0,0,0
2024-10-17,2024,10,17,Thursday,channel,,플레이스목록,2,6,5
2024-10-17,2024,10,17,Thursday,channel,,기타,1,6,5
2024-10-17,2024,10,17,Thursday,channel,,외부서비스,1,6,5
2024-10-17,2024,10,17,Thursday,channel,,지도,1,6,5
2024-10-17,2024,10,17,Thursday,channel,,네이버기타,1,6,5
2024-10-18,2024,10,18,Friday,channel,,플레이스목록,2,3,1
2024-10-18,2024,10,18,Friday,channel,,지도,1,3,1
2024-10-19,2024,10,19,Saturday,summary,,,0,0,0
2024-10-20,2024,10,20,Sunday,channel,,플레이스목록,2,4,1
2024-10-20,2024,10,20,Sunday,channel,,지도,1,4,1
2024-10-20,2024,10,20,Sunday,channel,,플레이스상세,1,4,1
2024-10-21,2024,10,21,Monday,channel,,지도,2,4,3
2024-10-21,2024,10,21,Monday,channel,,플레이스목록,2,4,3
2024-10-22,2024,10,22,Tuesday,channel,,플레이스목록,2,5,2
2024-10-22,2024,10,22,Tuesday,channel,,외부서비스,1,5,2
2024-10-22,2024,10,22,Tuesday,channel,,지도,1,5,2
2024-10-22,2024,10,22,Tuesday,channel,,네이버기타,1,5,2
2024-10-23,2024,10,23,Wednesday,channel,,플레이스목록,2,2,2
2024-10-24,2024,10,24,Thursday,channel,,기타,1,3,0
2024-10-24,2024,10,24,Thursday,channel,,외부서비스,1,3,0
2024-10-24,2024,10,24,Thursday,channel,,플레이스목록,1,3,0
2024-10-25,2024,10,25,Friday,channel,,지도,2,3,1
2024-10-25,2024,10,25,Friday,channel,,플레이스목록,1,3,1
2024-10-26,2024,10,26,Saturday,channel,,지도,1,3,1
2024-10-26,2024,10,26,Saturday,channel,,플레이스상세,1,3,1
2024-10-26,2024,10,26,Saturday,channel,,플레이스목록,1,3,1
2024-10-27,2024,10,27,Sunday,summary,,,0,0,0
2024-10-28,2024,10,28,Monday,channel,,지도,1,2,3
2024-10-28,2024,10,28,Monday,channel,,플레이스목록,1,2,3
2024-10-29,2024,10,29,Tuesday,channel,,플레이스목록,1,1,0
2024-10-30,2024,10,30,Wednesday,channel,,지도,2,4,1
2024-10-30,2024,10,30,Wednesday,channel,,외부서비스,1,4,1
2024-10-30,2024,10,30,Wednesday,channel,,플레이스목록,1,4,1
2024-10-31,2024,10,31,Thursday,channel,,지도,1,2,2
2024-10-31,2024,10,31,Thursday,channel,,플레이스목록,1,2,2
2024-11-01,2024,11,1,Friday,channel,,외부서비스,1,2,1
2024-11-01,2024,11,1,Friday,channel,,지도,1,2,1
2024-11-02,2024,11,2,Saturday,channel,,외부서비스,1,2,0
2024-11-02,2024,11,2,Saturday,channel,,지도,1,2,0
2024-11-03,2024,11,3,Sunday,channel,,기타,1,3,3
2024-11-03,2024,11,3,Sunday,channel,,지도,1,3,3
2024-11-03,2024,11,3,Sunday,channel,,플레이스목록,1,3,3
2024-11-04,2024,11,4,Monday,channel,,기타,1,2,2
2024-11-04,2024,11,4,Monday,channel,,지도,1,2,2
2024-11-05,2024,11,5,Tuesday,summary,,,0,0,0
2024-11-06,2024,11,6,Wednesday,summary,,,0,0,1
2024-11-07,2024,11,7,Thursday,channel,,플레이스목록,1,1,0
2024-11-08,2024,11,8,Friday,channel,,플레이스상세,1,1,1
2024-11-09,2024,11,9,Saturday,channel,,지도,1,1,1
2024-11-10,2024,11,10,Sunday,channel,,플레이스목록,1,1,0
2024-11-11,2024,11,11,Monday,channel,,지도,1,2,2
2024-11-11,2024,11,11,Monday,channel,,플레이스목록,1,2,2
2024-11-12,2024,11,12,Tuesday,channel,,지도,1,1,0
2024-11-13,2024,11,13,Wednesday,channel,,지도,2,4,1
2024-11-13,2024,11,13,Wednesday,channel,,플레이스목록,2,4,1
2024-11-14,2024,11,14,Thursday,channel,,기타,1,3,1
2024-11-14,2024,11,14,Thursday,channel,,지도,1,3,1
2024-11-14,2024,11,14,Thursday,channel,,플레이스상세,1,3,1
2024-11-15,2024,11,15,Friday,channel,,플레이스목록,2,2,2
2024-11-16,2024,11,16,Saturday,channel,,기타,1,2,2
2024-11-16,2024,11,16,Saturday,channel,,플레이스목록,1,2,2
2024-11-17,2024,11,17,Sunday,summary,,,0,0,0
2024-11-18,2024,11,18,Monday,channel,,지도,2,3,2
2024-11-18,2024,11,18,Monday,channel,,플레이스목록,1,3,2
2024-11-19,2024,11,19,Tuesday,channel,,플레이스목록,1,1,1
2024-11-20,2024,11,20,Wednesday,summary,,,0,0,0
2024-11-21,2024,11,21,Thursday,channel,,외부서비스,1,2,0
2024-11-21,2024,11,21,Thursday,channel,,지도,1,2,0
2024-11-22,2024,11,22,Friday,channel,,지도,1,1,1
2024-11-23,2024,11,23,Saturday,summary,,,0,0,0
2024-11-24,2024,11,24,Sunday,summary,,,0,0,0
2024-11-25,2024,11,25,Monday,channel,,기타,1,1,0
2024-11-26,2024,11,26,Tuesday,channel,,기타,1,3,0
2024-11-26,2024,11,26,Tuesday,channel,,지도,1,3,0
2024-11-26,2024,11,26,Tuesday,channel,,플레이스목록,1,3,0
2024-11-27,2024,11,27,Wednesday,channel,,기타,1,2,0
2024-11-27,2024,11,27,Wednesday,channel,,플레이스목록,1,2,0
2024-11-28,2024,11,28,Thursday,channel,,플레이스목록,1,1,0
2024-11-29,2024,11,29,Friday,channel,,플레이스목록,2,4,1
2024-11-29,2024,11,29,Friday,channel,,외부서비스,1,4,1
2024-11-29,2024,11,29,Friday,channel,,지도,1,4,1
2024-11-30,2024,11,30,Saturday,summary,,,0,0,0
