Category,Label,Matched Expressions
구강,치아,"이가, 이빨, 치아"
대상,소아,"소아, 아이, 어린이, 유치"
대상,연령,70대
방향,수직,수직
방향,수평,수평
병원명,내이튼,"내이튼, 네이튼, 이튼치과"
병원명,윤민정원장,"윤민정, 윤치과"
상태,잔존,잔존
시간,긴급/당일,즉시
시간,당일,당일
외모,얼굴,얼굴
위치,상악,상악
위치,앞니,"앞니, 앞니가, 전치부"
위치,인접면,인접면
위치,치조골,"치조, 치조골"
의도,과정문의,"과정, 기간, 순서"
의도,비용문의,"가격, 비용"
의도,추천요청,"잘하는, 잘하는 곳, 잘하는곳, 추천"
의도,후기문의,후기
장소,랜드마크,호수공원
장소,의료기관,"대학병원, 병원, 치과"
재료,PFM/PFZ,pfm
재료,세라믹,세라믹
재료,수산화칼슘,수산화칼슘
재료,지르코니아,지르코니아
제작,제작,제작
증상,변색,"검게, 까맣, 변색"
증상,염증/고름,"고름, 급성치수염, 농, 물집, 붓기, 염증, 치수염"
증상,외상,외상
증상,원인,"원인, 이유"
증상,치아간격/벌어짐,"다이아스테마, 벌어진, 벌어짐, 사이, 이간"
증상,탈락,탈락
증상,통증,"시림, 시큰, 아파, 아픈, 통증"
증상,퇴축,"내려앉음, 퇴축"
증상,파손/깨짐,"crack, 골드, 금, 금이 간, 깨진, 깨짐, 부러짐, 크랙, 파절"
증상,흔들림,"흔들, 흔들리는"
증상,흡수,흡수
지역,동탄,동탄
지역,동탄2,"2동탄, 2차, 동탄2, 이차"
지역,동탄역,동탄역
지역,오산,오산
지역,화성,화성
진단장비,CT,ct
진단장비,미세현미경,"미세현미경, 현미경"
진단장비,엑스레이,엑스레이
진료,거상술,거상술
진료,교정,교정
진료,교체,교체
진료,근관치료/부근관,부근관
진료,라미네이트,라미네이트
진료,레진,"레진, 아말감"
진료,발치,"발치, 제거"
진료,보철,"보철, 틀니"
진료,브릿지,브릿지
진료,뼈이식,"골이식, 뼈이식"
진료,상악동거상술,상악동
진료,수복,수복
진료,술식,술식
진료,신경치료,"endo, 근관, 근관치료, 신경, 신경치료, 엔도"
진료,실란트,실란트
진료,심미치료,심미
진료,인레이,"온레이, 인레이"
진료,임시치아,임시치아
진료,임플란트,"식립, 임플란트, 픽스쳐"
진료,잇몸치료,잇몸치료
진료,재신경치료,"리엔도, 재신경치료"
진료,충치,"썩은, 썪은, 우식, 충치, 홈메우기"
진료,치근단절제술,치근단절제술
진료,치수절단술,치수절단술
진료,치수절단술/근첨와동,pulpotomy
진료,치아미백,"미백, 실활치, 실활치미백"
진료,크라운,"씌운, 크라운"
진료,포스트,포스트
진료과,보존과,"보존, 보존과"
진료과,전문의,"전문, 전문의"
진료보조,러버댐,러버댐
진료보조,사진,사진
질병,왜소치,왜소치
질병,치수괴사,"괴사, 죽은, 치수괴사"
질병,치주염,치주염
치료시기,치료후,치료후
치아부위,소구치,소구치
치아부위,송곳니,송곳니
치아부위,어금니,어금니
치아부위,측면,옆면
치아부위,치근,"root, 뿌리, 치근, 치근단, 치아뿌리"
치아위치,아랫니,"아래, 아랫니"
치아위치,윗니,윗니
치아종류,영구치,영구치
치아해부학,MB2,mb2
치아해부학,교합면,교합면
치아해부학,치관,치관
치아해부학,치수,치수
치아형태,함입,함입
