Expression,Count
잇몸,341
치료,287
큐레이,32
작은,31
잇몸이,29
으로,26
오래된,23
치질,18
전체,18
안으로,18
심한,17
경우,15
찾기,15
주머니,15
모양,14
미세,14
충전재,13
부분,13
확인,12
증상,11
내부,11
떨어졌어요,11
다시,11
검은,11
절제술,11
초기,11
이맥스,11
살리기,11
치주,11
변한,11
치외치,10
재발,10
안쪽,10
호수,10
교합,10
부딪힘,10
인플란트,10
주위염,10
공간,10
gi,10
20대,10
충전,10
절단술,10
방사선,10
목동,10
려요,10
깨졌어요,9
어른,9
diastema,9
잇몸에,9
정지,9
사랑니,9
깨졌을때,9
덩어리,9
fra,9
ure,9
변함,9
빠졌어요,9
불가,9
수술,9
인한,9
픽스처,9
방법,9
임시,9
mta,8
깨졌는데,8
조직,8
병소,8
간거,8
떼운,8
북광장,8
우측,8
들어가는,8
에서,8
스플린트,8
교합지,8
보험,8
파노라마,8
변했어요,8
양쪽,8
안쪽으로,8
15번,8
마취,8
수원,8
와이어,8
소실,8
intrusion,7
내려간,7
2개월,7
변하는,7
다발성,7
미성숙,7
진단,7
실패,7
나사,7
재수술,7
들뜸,7
앞이,7
수명,7
c형,7
틈새,7
케이스,7
부위,7
검진,7
골소실,7
갑자기,7
14번,7
너무,7
손상,7
자연치,7
형성술,6
의사,6
종류,6
profile,6
vertical,6
성공,6
방치,6
남성,6
밑에,6
재료,6
없이,6
치석,6
검은색,6
색이,6
차폐막,6
되나요,6
측방,6
들어가,6
재치료,6
대구,6
이루다,6
인접,6
숨은,6
촬영,6
절제,6
오른쪽,6
스프린트,6
붓고,6
지연,6
의료보험,5
급성,5
inje,5
ion,5
4개월,5
sinus,5
균열,5
간이,5
길이,5
25번,5
c1,5
이즈,5
나노,5
채움,5
부식,5
썩었어요,5
어르신,5
세팅,5
가능,5
뒤쪽,5
치료방법,5
입천장,5
용어,5
임프란트,5
결손치,5
시간,5
삭제,5
41번,5
그루브,5
마모,5
생기는,5
이식,5
씌우기,5
있는,5
부딪혔는데,5
관리,5
가운데,5
밀려,5
사례,5
씌웠는데,5
emergency,4
튀어나온,4
육안,4
회복,4
치주질환,4
apexification,4
47번,4
캔틸레버,4
2개월만에,4
주변,4
절반,4
까매져요,4
치간,4
매복사랑니,4
mb,4
충격,4
mesial,4
40대,4
의원,4
하악,4
이를,4
사용,4
갈색,4
임시로,4
어떻게,4
넘어져서,4
이질감,4
뒷면,4
육안으로,4
클램프,4
정기검진,4
크기,4
위치,4
기존,4
들어가요,4
음식,4
하나가,4
c2,4
50대,4
넘어짐,4
해도,4
왼쪽,4
드릴,4
치료한,4
치료중,4
임시충전재,4
하방,4
경계,4
마진,4
얼마나,4
수면,4
치경부마모증,4
치간칫솔,4
치경부,4
한달,4
발견,4
폴리싱,4
생긴,4
치실,4
욱신거림,4
노인,4
위쪽,4
탈거,4
노출,4
하는,4
욱신,4
떨어짐,4
두께,4
머리,4
인레인,4
오버덴쳐,3
네오,3
까매졌어요,3
iarpd,3
잇몸이식,3
흰색,3
전치,3
치료법,3
펄포토미,3
절단,3
중요성,3
스케일링,3
각도,3
다른,3
교통사고,3
진료후,3
근처,3
숨어있는,3
여성,3
성곳니,3
creep,3
구치부,3
석회화,3
미소,3
부작용,3
예후,3
까지,3
이에,3
변화,3
자연,3
마무리,3
압통,3
아픔,3
나무,3
하나로,3
인해,3
6개,3
보이지,3
않는,3
칼시펙스,3
gp,3
cone,3
포인트,3
부근,3
거터퍼쳐,3
심하게,3
치료비,3
이와,3
까매짐,3
31번,3
곳이,3
푸른색,3
코어,3
썩음,3
젓가락,3
중절치,3
공기주머니,3
30대,3
불편,3
됐어요,3
피부,3
부산,3
프랩,3
같아요,3
치간이개,3
전악,3
16번,3
교두,3
추적관찰,3
차료,3
찬거,3
계속,3
뿌러짐,3
주위,3
썩으면,3
많이,3
썩어서,3
진료,3
떼우는,3
인레이,3
유지,3
단점,3
없는,3
빠짐,3
칼슘,3
누공,3
혈관손상,3
광범위,3
컨택,3
이멕스,3
흔드림,3
이로운,3
증례,3
마음에,3
세게,3
침범이,3
낭종,3
탈회,3
반점,3
브리지,3
치열,3
색상,3
어른인데,3
했는데,3
깊게,3
하면,3
리고,3
끝부분,3
이동,3
회색,3
결손,3
조술,2
pulptomy,2
기계,2
moulding,2
벌어지고,2
내려간잇몸,2
로덴,2
implant,2
메꿈,2
백선,2
깨졌어,2
찢어짐,2
치아,2
간질,2
가지,2
잇몸경계,2
분리,2
감염,2
임플,2
24번,2
발생,2
빠졌을때,2
가요,2
사용방법,2
부족,2
발생하는,2
흡연,2
36번,2
고난도,2
안면부,2
자르는,2
경희대,2
20살,2
46번,2
내용,2
순소대,2
뼈가루,2
플란,2
꺼끌꺼끌,2
밥먹을때,2
먹을때,2
무통,2
예나,2
하면서,2
마지막,2
22번,2
안아프게,2
이편한,2
있을때,2
가능한가요,2
아랫,2
가이드,2
역할,2
진정,2
하얀,2
없음,2
파열,2
치괴,2
원장,2
임플란트,2
3.5,2
코핑,2
충격으로,2
청구,2
비어진,2
래진,2
벌어졌어요,2
할때,2
분당,2
어버트먼트,2
조정,2
릴때,2
싱글,2
환자,2
더새로운,2
떨어졋어요,2
들어간,2
고민,2
1년,2
경과,2
큐레이진단,2
#15,2
완료,2
공간부족,2
좁은,2
깨물어서,2
무삭제,2
개선,2
하루,2
느낌,2
으로인한,2
위에,2
거리고,2
아닌데,2
턱이,2
안하는,2
고정,2
예방,2
끝에,2
1차,2
살짝,2
되는,2
거멓게,2
tra,2
올리기,2
모를,2
시술,2
썩어,2
침투,2
거같아요,2
떼운거,2
충티,2
출혈,2
바로,2
했던,2
걸리나요,2
한곳,2
쉐이드,2
힘든,2
워터픽,2
해요,2
조기,2
파란색,2
드러난,2
부었다가,2
더바름,2
찬것,2
옆에,2
대학,2
기구,2
exploer,2
안에,2
이후,2
식사,2
착색,2
대신,2
중년,2
내원,2
대전,2
치과,2
2주만에,2
cl,2
아는,2
임시충전,2
치주절단술,2
응급,2
좋은,2
잇몸색이,2
잇몸색,2
입몸,2
잇몸부음,2
찌릿한,2
이란,2
발수,2
청소,2
지속,2
한곳에,2
미세한,2
외부충격으로,2
떨어져,2
합입,2
정도,2
와이어스프린트,2
들어갔을때,2
코드,2
파벌,2
2개월후,2
파절,2
고정력,2
박영준,2
re,2
임시세팅,2
부딪힌후,2
때문에,2
해는데,2
피가나요?,2
부딪힌뒤,2
어둡게,2
브리짓,2
성공률,2
11세,2
성인,2
매복,2
대합치,2
크리운,2
17번,2
욱신욱신,2
이물질,2
쎄라믹,2
혀로,2
어른이,2
센트럴,2
생겼을때,2
충전후,2
lateral,2
천공,2
고난이도,2
인천,2
신호,2
초등,2
영어로,2
시기,2
벌어져있는,2
파고드는,2
브럿지,2
진행,2
청소년,2
아랫이,2
수술후관리,2
내려앉았을때,2
후유증,2
생겨,2
찌르르,2
디지털,2
한후,2
가능성,2
뾰루지,2
돌출,2
복조술,2
치은,2
윗쪽,2
1개월,2
힐링,2
빼고,2
tracing,2
임시재료,2
만성,2
walking,1
bleach,1
무엇인가요,1
20회],1
track,1
치료단점,1
귀밑,1
색변함,1
주머니는,1
관련이,1
있나요,1
아스톡,1
pontic,1
교수,1
심한잇몸,1
마주보는,1
chronic,1
apical,1
periodontitis,1
찢김,1
맥스픽스,1
룽치,1
떨어,1
관찾기,1
살아있는,1
쪽이욱신거려요,1
어떻게하나요,1
성공사례,1
벌어져요,1
첩약,1
ㅊ콰,1
본레벨,1
잇몸레벨픽스쳐,1
대구치,1
4.5mm,1
재생,1
보전치료,1
나사노출,1
진단기계,1
없이치료하는,1
치료는,1
크래,1
해야하나요?,1
크라은,1
되는거,1
떼운곳주,1
까맟게,1
게변했어요,1
크라울,1
니를,1
씌울때,1
마진들뜸,1
수원에,1
이씌우기,1
팔리싱,1
중화작업,1
인체,1
무해,1
가야하나요,1
차있는데,1
욱씬거려요,1
부산대학,1
송곶니,1
파란불빛,1
떼운게,1
검은색이,1
비쳐,1
보이는,1
대체,1
등촌역,1
꼼꼼하게,1
에서의,1
건강한,1
산경치료,1
잇몸이까매져요,1
부전,1
컨택부위,1
실런트,1
대표원장,1
절단면,1
영등포,1
인상변화,1
인대,1
색소침착,1
색변한거,1
생활,1
떼웠던,1
사랑니가,1
동주변,1
후에,1
으로씌우나요,1
이보수,1
쀼리,1
깨젔어요,1
레짘,1
상태로,1
바로되나요?,1
짧으면,1
해야,1
부위를,1
떼우는시술은,1
가서,1
다듬어,1
께진부분치료,1
의치,1
양치,1
이의료보험되나요,1
갈때,1
안해되나요,1
없을때,1
뺀뒤,1
37번,1
임플런트,1
심을때,1
미취,1
한부분,1
삽입,1
좌측,1
모두몇대인가,1
타원에서,1
중단되어,1
안아프게하는,1
한이도,1
마취없이,1
에의한,1
낮으면,1
편해요,1
편한가,1
보다,1
편함,1
로인한잇몸,1
잇몸꺼짐,1
치료로,1
벌레,1
안하고,1
후잇몸붉어짐,1
회색으로변햇어요,1
속에,1
잇몸치로,1
측방접근법을,1
이용한,1
측방접근법,1
정리,1
부릿지,1
부러지면,1
이없는데되나,1
잇몸심한,1
x-ray,1
후잇몸,1
오버텐쳐,1
치주복조술,1
염정치료,1
바른이턱,1
동시에,1
만남았을때,1
완전히시멘트한뒤마음에들지않았을때,1
골절,1
될수있나요?,1
누공절제술,1
마취한,1
이개부병소,1
시야확보,1
치주치려,1
마치후,1
치주치료,1
여드름,1
단단한,1
알보칠,1
긎성,1
치료전후,1
radioluency,1
초진,1
apicoe,1
omy,1
발음,1
이튼,1
정이든,1
건강검진,1
https://blog.naver.com/elza79,1
별문제,1
없다,1
치거ㅏ,1
덩탄,1
기검진,1
어디로,1
길이와,1
수명은가요?,1
픽스펴,1
루나,1
임프레션,1
높낮이,1
메가젠,1
덴티스,1
뼈부족,1
정보,1
틀리면,1
짧은,1
교합력이,1
그냥,1
두기,1
재삭립,1
패스보는방법,1
키트,1
빼내는것,1
보전과,1
한테,1
받는게,1
좋나요,1
듕탄,1
잔문의,1
까만,1
벌어지는,1
다이아스치료,1
안양,1
떨어지지,1
암ㅎ게,1
남겨,1
틈새가,1
떼우기,1
가리는판,1
tbi,1
직후,1
파편,1
본뜨기,1
려서,1
스마트렌즈,1
아프진않은데,1
emergenci,1
흘들리는,1
오래사용,1
뚜껑,1
인플란트가,1
어버트먼트나사부러질경우,1
emergeny,1
싱글크라운,1
블랙트라이앵글,1
치석자연탈거,1
잇몸착색,1
부목,1
한림대,1
주위염이란,1
주위염.,1
하는곳,1
퍼져,1
임플라트한,1
거터퍼처,1
임프란트가,1
둘어가요,1
블로그,1
설측,1
받고,1
안쪽으로들어가,1
하나가안으로들어가요,1
비뚤어진,1
앞티가,1
들어가여,1
많이들어가,1
조절,1
발취,1
j자,1
깨지면,1
파근,1
진단장비있는,1
구강카메라,1
큐레이치료,1
특수카메라,1
카메라,1
붉게,1
정확,1
붉은,1
색이면,1
치료완료,1
푸른빛,1
붉은색,1
방문,1
치료칫과,1
기준,1
페럴,1
이펙트,1
본존과,1
37번47번,1
칙하,1
페럴이펙트,1
공간좁을때,1
기도,1
빈공간,1
체결,1
공간이,1
모자란,1
임상사례,1
임상,1
가깨졌는데치료는,1
라미네으트,1
임상증례,1
경기도,1
치료재발,1
1년보증,1
안됨,1
가성비,1
앞이하나가,1
데어떤치료받나요,1
해도되요,1
앞늬,1
양옆,1
중량,1
달라서,1
해야하나요,1
솟은,1
부딪힐때,1
나아지는법,1
없애는법,1
이전,1
부딪힐ㅋ대,1
극심한,1
동시,1
오프닝,1
2개월완성,1
로인한,1
의료분쟁,1
완성되는,1
나타나,1
거리는데,1
아무는는,1
부러진gp,1
있어서,1
제2,1
아프면,1
으로치료했는데이파요,1
하고,1
정상교합,1
잘된건지,1
동시진행,1
원ㅇㄱㄴ,1
추적,1
관찰,1
통탄2,1
이생기는,1
후몇개월뒤완료되나요,1
좋은가요?,1
강태로,1
가면,1
치료시간,1
치료는?,1
마니간,1
간것은,1
만있나요,1
그르브,1
다물기만해도,1
이생겼다,1
색이변했어요,1
까메졌어오,1
리유는?,1
색이변햇어요,1
상담,1
까만게,1
변한형상,1
두번째,1
돌아감,1
냉온자극,1
짜기,1
37번위치,1
정출된,1
올리디,1
"27,28번",1
다녀온후,1
알글에,1
곳에,1
붓는,1
쒸운곳이,1
이부었는데,1
붙기,1
붇기,1
봇기,1
양배농술,1
부움,1
치로후,1
응급실,1
하는방법,1
차절,1
인대손상,1
치근,1
이갈이,1
빠르게,1
단순,1
벗기니,1
니주변,1
섞고,1
부었다,1
검은때,1
밑이,1
margin,1
불량,1
꿈의,1
실패후,1
평택,1
수원시,1
연대,1
스타,1
세브란스,1
보유,1
관4,1
연세대,1
치려,1
injecion,1
모급,1
건지,1
상아질,1
모습,1
안아팟는데,1
이가,1
모르는,1
증산,1
이치료하얀거,1
치료??,1
와동형성,1
소구지,1
같을,1
같을때,1
멈춘,1
트라이앵글,1
참조은,1
메꿔주기,1
원장님,1
굽어있는,1
c자,1
구강외형과,1
구강질환,1
틈새매우는,1
구강질환확률,1
치간유두,1
왁스,1
모델,1
기흥역,1
4개,1
가온,1
구강스캐너,1
)치료,1
새로,1
플라즈마,1
6개원람에,1
가생길수있나요,1
잇몸과.,1
잇몸과,1
15번은어떤치아인가요,1
롸성,1
보전,1
전체적으로,1
인시충전재.,1
하다말다,1
근질,1
워킹블리치,1
