searchQuery,labels(json),stage
내이튼치과,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}]",4단계:병원인지
동탄 내이튼치과,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
이가 깨졌어요,"[{""matched_expression"": ""깨졌어요"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""이가"", ""label"": ""구강:치아""}]",2단계:정보탐색
송곳니 충치,"[{""matched_expression"": ""송곳니"", ""label"": ""치아부위:송곳니""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
앞니 벌어짐,"[{""matched_expression"": ""벌어짐"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""앞니"", ""label"": ""위치:앞니""}]",2단계:정보탐색
송곳니 레진,"[{""matched_expression"": ""송곳니"", ""label"": ""치아부위:송곳니""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
pulpotomy,"[{""matched_expression"": ""pulpotomy"", ""label"": ""진료:치수절단술/근첨와동""}]",2단계:정보탐색
동탄내이튼치과,"[{""matched_expression"": ""이튼치과"", ""label"": ""병원명:내이튼""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",4단계:병원인지
재신경치료 기간,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""기간"", ""label"": ""의도:과정문의""}]",2단계:정보탐색
치아 옆면 충치,"[{""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}, {""matched_expression"": ""옆면"", ""label"": ""치아부위:측면""}]",2단계:정보탐색
신경치료 후 염증,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""염증"", ""label"": ""증상:염증/고름""}]",2단계:정보탐색
어금니 신경치료 기간,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""기간"", ""label"": ""의도:과정문의""}]",2단계:정보탐색
intrusion,"[{""matched_expression"": ""intrusion"", ""label"": ""증상:치아변위/함입""}]",2단계:정보탐색
치수괴사,"[{""matched_expression"": ""치수괴사"", ""label"": ""질병:치수괴사""}]",2단계:정보탐색
동탄 보존과,"[{""matched_expression"": ""보존과"", ""label"": ""진료과:보존과""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
동탄 재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
어른 유치,"[{""matched_expression"": ""유치"", ""label"": ""대상:소아""}, {""matched_expression"": ""어른"", ""label"": ""대상:성인""}]",2단계:정보탐색
치수절단술,"[{""matched_expression"": ""치수절단술"", ""label"": ""진료:치수절단술""}]",2단계:정보탐색
어금니 사이 충치,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""사이"", ""label"": ""증상:치아간격/벌어짐""}, {""matched_expression"": ""충치"", ""label"": ""진료:충치""}]",2단계:정보탐색
어금니 레진 깨짐,"[{""matched_expression"": ""어금니"", ""label"": ""치아부위:어금니""}, {""matched_expression"": ""깨짐"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""레진"", ""label"": ""진료:레진""}]",2단계:정보탐색
깨진 이,"[{""matched_expression"": ""깨진"", ""label"": ""증상:파손/깨짐""}]",2단계:정보탐색
이가 까맣게,"[{""matched_expression"": ""이가"", ""label"": ""구강:치아""}, {""matched_expression"": ""까맣"", ""label"": ""증상:변색""}]",2단계:정보탐색
동탄 실활치미백,"[{""matched_expression"": ""실활치미백"", ""label"": ""진료:치아미백""}, {""matched_expression"": ""동탄"", ""label"": ""지역:동탄""}]",3단계:지역탐색
신경치료 후 잇몸 변색,"[{""matched_expression"": ""신경치료"", ""label"": ""진료:신경치료""}, {""matched_expression"": ""잇몸"", ""label"": ""위치:잇몸""}, {""matched_expression"": ""변색"", ""label"": ""증상:변색""}]",2단계:정보탐색
재신경치료,"[{""matched_expression"": ""재신경치료"", ""label"": ""진료:재신경치료""}]",2단계:정보탐색
수직치근파절,"[{""matched_expression"": ""수직"", ""label"": ""방향:수직""}, {""matched_expression"": ""파절"", ""label"": ""증상:파손/깨짐""}, {""matched_expression"": ""치근"", ""label"": ""치아부위:치근""}]",2단계:정보탐색
치아 브릿지 교체,"[{""matched_expression"": ""브릿지"", ""label"": ""진료:브릿지""}, {""matched_expression"": ""치아"", ""label"": ""치아:치아""}, {""matched_expression"": ""교체"", ""label"": ""진료:교체""}]",2단계:정보탐색
