검색어,월,네이버 전체 검색량,우리 블로그 검색 유입량,검색 점유율,임의검색량설정여부
내이튼치과,2024-06,560.0,37,0.06607142857142857,0
내이튼치과,2024-07,560.0,43,0.07678571428571429,0
내이튼치과,2024-08,590.0,41,0.06949152542372881,0
내이튼치과,2024-09,720.0,69,0.09583333333333334,0
내이튼치과,2024-10,690.0,74,0.1072463768115942,0
내이튼치과,2024-11,590.0,44,0.07457627118644068,0
내이튼치과,2024-12,690.0,97,0.14057971014492754,0
내이튼치과,2025-01,830.0,46,0.05542168674698795,0
내이튼치과,2025-02,700.0,39,0.055714285714285716,0
내이튼치과,2025-03,780.0,70,0.08974358974358974,0
내이튼치과,2025-04,990.0,74,0.07474747474747474,0
내이튼치과,2025-05,920.0,96,0.10434782608695652,0
내이튼치과,2025-06,1100.0,99,0.09,0
동탄 내이튼치과,2024-06,670.0,60,0.08955223880597014,0
동탄 내이튼치과,2024-07,600.0,54,0.09,0
동탄 내이튼치과,2024-08,720.0,57,0.07916666666666666,0
동탄 내이튼치과,2024-09,540.0,45,0.08333333333333333,0
동탄 내이튼치과,2024-10,800.0,60,0.075,0
동탄 내이튼치과,2024-11,670.0,36,0.05373134328358209,0
동탄 내이튼치과,2024-12,550.0,45,0.08181818181818182,0
동탄 내이튼치과,2025-01,450.0,13,0.028888888888888888,0
동탄 내이튼치과,2025-02,720.0,27,0.0375,0
동탄 내이튼치과,2025-03,640.0,29,0.0453125,0
동탄 내이튼치과,2025-04,480.0,11,0.022916666666666665,0
동탄 내이튼치과,2025-05,470.0,23,0.04893617021276596,0
동탄 내이튼치과,2025-06,280.0,19,0.06785714285714285,0
이가 깨졌어요,2024-06,420.0,0,0.0,0
이가 깨졌어요,2024-07,400.0,0,0.0,0
이가 깨졌어요,2024-08,440.0,0,0.0,0
이가 깨졌어요,2024-09,300.0,54,0.18,0
이가 깨졌어요,2024-10,390.0,75,0.19230769230769232,0
이가 깨졌어요,2024-11,290.0,17,0.05862068965517241,0
이가 깨졌어요,2024-12,320.0,25,0.078125,0
이가 깨졌어요,2025-01,340.0,25,0.07352941176470588,0
이가 깨졌어요,2025-02,260.0,11,0.04230769230769231,0
이가 깨졌어요,2025-03,230.0,3,0.013043478260869565,0
이가 깨졌어요,2025-04,200.0,0,0.0,0
이가 깨졌어요,2025-05,68.0,0,0.0,0
이가 깨졌어요,2025-06,48.0,0,0.0,0
송곳니 충치,2024-06,360.0,4,0.011111111111111112,0
송곳니 충치,2024-07,450.0,3,0.006666666666666667,0
송곳니 충치,2024-08,450.0,1,0.0022222222222222222,0
송곳니 충치,2024-09,350.0,2,0.005714285714285714,0
송곳니 충치,2024-10,390.0,2,0.005128205128205128,0
송곳니 충치,2024-11,380.0,1,0.002631578947368421,0
송곳니 충치,2024-12,410.0,1,0.0024390243902439024,0
송곳니 충치,2025-01,430.0,4,0.009302325581395349,0
송곳니 충치,2025-02,450.0,4,0.008888888888888889,0
송곳니 충치,2025-03,410.0,1,0.0024390243902439024,0
송곳니 충치,2025-04,280.0,6,0.02142857142857143,0
송곳니 충치,2025-05,260.0,3,0.011538461538461539,0
송곳니 충치,2025-06,300.0,1,0.0033333333333333335,0
앞니 벌어짐,2024-06,3200.0,0,0.0,0
앞니 벌어짐,2024-07,3220.0,0,0.0,0
앞니 벌어짐,2024-08,3180.0,0,0.0,0
앞니 벌어짐,2024-09,3140.0,0,0.0,0
앞니 벌어짐,2024-10,3720.0,0,0.0,0
앞니 벌어짐,2024-11,3270.0,0,0.0,0
앞니 벌어짐,2024-12,3030.0,0,0.0,0
앞니 벌어짐,2025-01,3350.0,0,0.0,0
앞니 벌어짐,2025-02,3370.0,18,0.005341246290801187,0
앞니 벌어짐,2025-03,3490.0,64,0.01833810888252149,0
앞니 벌어짐,2025-04,2970.0,61,0.02053872053872054,0
앞니 벌어짐,2025-05,3040.0,69,0.022697368421052633,0
앞니 벌어짐,2025-06,2560.0,65,0.025390625,0
송곳니 레진,2024-06,140.0,16,0.11428571428571428,0
송곳니 레진,2024-07,160.0,16,0.1,0
송곳니 레진,2024-08,130.0,15,0.11538461538461539,0
송곳니 레진,2024-09,160.0,7,0.04375,0
송곳니 레진,2024-10,140.0,7,0.05,0
송곳니 레진,2024-11,160.0,9,0.05625,0
송곳니 레진,2024-12,150.0,23,0.15333333333333332,0
송곳니 레진,2025-01,180.0,18,0.1,0
송곳니 레진,2025-02,130.0,20,0.15384615384615385,0
송곳니 레진,2025-03,160.0,13,0.08125,0
송곳니 레진,2025-04,150.0,11,0.07333333333333333,0
송곳니 레진,2025-05,120.0,5,0.041666666666666664,0
송곳니 레진,2025-06,110.0,4,0.03636363636363636,0
pulpotomy,2024-06,550.0,7,0.012727272727272728,0
pulpotomy,2024-07,570.0,4,0.007017543859649123,0
pulpotomy,2024-08,480.0,4,0.008333333333333333,0
pulpotomy,2024-09,350.0,1,0.002857142857142857,0
pulpotomy,2024-10,470.0,1,0.002127659574468085,0
pulpotomy,2024-11,440.0,1,0.0022727272727272726,0
pulpotomy,2024-12,420.0,3,0.007142857142857143,0
pulpotomy,2025-01,400.0,2,0.005,0
pulpotomy,2025-02,470.0,2,0.00425531914893617,0
pulpotomy,2025-03,550.0,0,0.0,0
pulpotomy,2025-04,480.0,0,0.0,0
pulpotomy,2025-05,460.0,1,0.002173913043478261,0
pulpotomy,2025-06,480.0,0,0.0,0
동탄내이튼치과,2024-06,670.0,5,0.007462686567164179,0
동탄내이튼치과,2024-07,600.0,1,0.0016666666666666668,0
동탄내이튼치과,2024-08,720.0,2,0.002777777777777778,0
동탄내이튼치과,2024-09,540.0,1,0.001851851851851852,0
동탄내이튼치과,2024-10,800.0,1,0.00125,0
동탄내이튼치과,2024-11,670.0,0,0.0,0
동탄내이튼치과,2024-12,550.0,8,0.014545454545454545,0
동탄내이튼치과,2025-01,450.0,2,0.0044444444444444444,0
동탄내이튼치과,2025-02,720.0,2,0.002777777777777778,0
동탄내이튼치과,2025-03,640.0,0,0.0,0
동탄내이튼치과,2025-04,480.0,0,0.0,0
동탄내이튼치과,2025-05,470.0,0,0.0,0
동탄내이튼치과,2025-06,280.0,2,0.007142857142857143,0
재신경치료 기간,2024-06,54.0,7,0.12962962962962962,0
