searchquery,date,searchinflow
내이튼치과,2024-06-01,37
내이튼치과,2024-07-01,43
내이튼치과,2024-08-01,41
내이튼치과,2024-09-01,69
내이튼치과,2024-10-01,74
내이튼치과,2024-11-01,44
내이튼치과,2024-12-01,97
내이튼치과,2025-01-01,46
내이튼치과,2025-02-01,39
내이튼치과,2025-03-01,70
내이튼치과,2025-04-01,74
내이튼치과,2025-05-01,96
내이튼치과,2025-06-01,99
동탄 내이튼치과,2024-06-01,60
동탄 내이튼치과,2024-07-01,54
동탄 내이튼치과,2024-08-01,57
동탄 내이튼치과,2024-09-01,45
동탄 내이튼치과,2024-10-01,60
동탄 내이튼치과,2024-11-01,36
동탄 내이튼치과,2024-12-01,45
동탄 내이튼치과,2025-01-01,13
동탄 내이튼치과,2025-02-01,27
동탄 내이튼치과,2025-03-01,29
동탄 내이튼치과,2025-04-01,11
동탄 내이튼치과,2025-05-01,23
동탄 내이튼치과,2025-06-01,19
이가 깨졌어요,2024-06-01,0
이가 깨졌어요,2024-07-01,0
이가 깨졌어요,2024-08-01,0
이가 깨졌어요,2024-09-01,54
이가 깨졌어요,2024-10-01,75
이가 깨졌어요,2024-11-01,17
이가 깨졌어요,2024-12-01,25
이가 깨졌어요,2025-01-01,25
이가 깨졌어요,2025-02-01,11
이가 깨졌어요,2025-03-01,3
이가 깨졌어요,2025-04-01,0
이가 깨졌어요,2025-05-01,0
이가 깨졌어요,2025-06-01,0
송곳니 충치,2024-06-01,4
송곳니 충치,2024-07-01,3
송곳니 충치,2024-08-01,1
송곳니 충치,2024-09-01,2
송곳니 충치,2024-10-01,2
송곳니 충치,2024-11-01,1
송곳니 충치,2024-12-01,1
송곳니 충치,2025-01-01,4
송곳니 충치,2025-02-01,4
송곳니 충치,2025-03-01,1
송곳니 충치,2025-04-01,6
송곳니 충치,2025-05-01,3
송곳니 충치,2025-06-01,1
앞니 벌어짐,2024-06-01,0
앞니 벌어짐,2024-07-01,0
앞니 벌어짐,2024-08-01,0
앞니 벌어짐,2024-09-01,0
앞니 벌어짐,2024-10-01,0
앞니 벌어짐,2024-11-01,0
앞니 벌어짐,2024-12-01,0
앞니 벌어짐,2025-01-01,0
앞니 벌어짐,2025-02-01,18
